block_id,download_key,doi,n_block_member_islands,n_islands_available_for_assignment,archive_path,archive_sha256,archive_bytes,n_source_rows,n_valid_coordinate_rows,n_exact_island_rows_before_dedup,n_buffer_only_rows,n_rows_retained_after_global_dedup,collection_status,error
gbif_block_cell_w+000.0_s+00.0_001,0013845-260623161305970,10.15468/dl.wu349f,23,23,data/v2/staging/gbif/archives/0013845-260623161305970.zip,a8d38a4d56ba537969cfeb62401b6c084be3854ed59ca30e796bcdca0d057380,2356131,27703,27703,25178,2525,25178,collected,
gbif_block_cell_w+000.0_s+30.0_001,0013846-260623161305970,10.15468/dl.dm3sh6,125,125,data/v2/staging/gbif/archives/0013846-260623161305970.zip,ab54ecc7fd0a533e42dc41c9974811434e7bd14681f90e2a9f55cc3f07b63b79,1056385694,9983501,9983501,8951764,1031737,8951764,collected,
gbif_block_cell_w+000.0_s+30.0_002,0013847-260623161305970,10.15468/dl.7pqk22,125,125,data/v2/staging/gbif/archives/0013847-260623161305970.zip,7c828c105040525c5f9d6ca71858a3bb5d8a2dd2270436dcc036df5766a9fb80,137107368,1259404,1259404,795813,463591,795813,collected,
gbif_block_cell_w+000.0_s+30.0_003,0013894-260623161305970,10.15468/dl.fnrsm5,125,125,data/v2/staging/gbif/archives/0013894-260623161305970.zip,a12d5a59291d3b92dfa75d7d3a88e280ad6c797761dd73cecbcf3989248d36b9,69760072,576403,576403,261059,315344,261059,collected,
gbif_block_cell_w+000.0_s+30.0_004,0014134-260623161305970,10.15468/dl.mjyrav,53,53,data/v2/staging/gbif/archives/0014134-260623161305970.zip,951fc615fd6fd1f3cb783412db3054a79e6adf761400db729111f7bca5d8a752,21064714,177161,177161,74724,102437,74724,collected,
gbif_block_cell_w+000.0_s+60.0_001,0014135-260623161305970,10.15468/dl.xyn3ks,125,125,data/v2/staging/gbif/archives/0014135-260623161305970.zip,12e3a242b15c1a0f1cc050a31ff9bbc00250f22adab2b7377aa25349d2f46dd5,127159129,1022559,1022559,700738,321821,700738,collected,
gbif_block_cell_w+000.0_s+60.0_002,0014220-260623161305970,10.15468/dl.3yajtq,125,125,data/v2/staging/gbif/archives/0014220-260623161305970.zip,e7ca67165a5e13d408e6d6e03ba4288e40f4699f5c1dbf8f62515144a28ca0cb,45929218,389043,389043,155598,233445,155598,collected,
gbif_block_cell_w+000.0_s+60.0_003,0014558-260623161305970,10.15468/dl.kdzue7,125,125,data/v2/staging/gbif/archives/0014558-260623161305970.zip,cd5df19610e1b7ea1a3caa3cdc9192168d99122c82bc0f9f25cac56f9ac386e6,43171449,359067,359067,135575,223492,135575,collected,
gbif_block_cell_w+000.0_s+60.0_004,0014746-260623161305970,10.15468/dl.4e6b3w,47,47,data/v2/staging/gbif/archives/0014746-260623161305970.zip,27a3edc9cace7ddd4bee4eb549175e322b73fb051e579882321312cab6a6cf17,14236738,111557,111557,54180,57377,54180,collected,
gbif_block_cell_w+000.0_s-30.0_001,0014136-260623161305970,10.15468/dl.wuxb5n,2,2,data/v2/staging/gbif/archives/0014136-260623161305970.zip,a9cc27470d9dbd517e7c6ed5b07f158b9d0aac7a66413cb9ba79ee3251ce40a7,49665,600,600,281,319,281,collected,
