source_provider,trait_name,reviewed,accepted_correct,cultivar_contamination,precision,cultivar_contamination_rate
alien_plants_greece,autonomous_selfing_capacity,52,52,0,1.0,0.0
baseflor_2023_10,autonomous_selfing_capacity,49,49,0,1.0,0.0
baseflor_2023_10,flower_primary_color,55,55,0,1.0,0.0
baseflor_2023_10,inflorescence_display,96,96,0,1.0,0.0
direct_reproductive_literature_20260808,autonomous_selfing_capacity,1,1,0,1.0,0.0
direct_reproductive_literature_20260808,self_incompatibility,2,2,0,1.0,0.0
florabase_western_australia,flower_primary_color,200,200,0,1.0,0.0
floraweb_biolflor_snapshot_2026_06_24,autonomous_selfing_capacity,56,56,0,1.0,0.0
floraweb_biolflor_snapshot_2026_06_24,cleistogamy,5,5,0,1.0,0.0
floraweb_biolflor_snapshot_2026_06_24,floral_form,61,61,0,1.0,0.0
floraweb_biolflor_snapshot_2026_06_24,mating_system,30,30,0,1.0,0.0
floraweb_biolflor_snapshot_2026_06_24,self_incompatibility,48,48,0,1.0,0.0
ken_fern_useful_plants,self_incompatibility,48,48,0,1.0,0.0
kew_grassbase,inflorescence_display,200,200,0,1.0,0.0
nhm_adept_flora_of_china_2026,floral_form,10,10,0,1.0,0.0
nhm_adept_flora_of_china_2026,flower_primary_color,20,20,0,1.0,0.0
nhm_adept_flora_of_china_2026,inflorescence_display,67,67,0,1.0,0.0
nhm_adept_flora_of_china_2026,tube_depth_class,103,103,0,1.0,0.0
nhm_adept_flora_of_north_america_2026,floral_form,6,6,0,1.0,0.0
nhm_adept_flora_of_north_america_2026,flower_primary_color,13,13,0,1.0,0.0
nhm_adept_flora_of_north_america_2026,inflorescence_display,74,74,0,1.0,0.0
nhm_adept_flora_of_north_america_2026,tube_depth_class,107,107,0,1.0,0.0
nhm_adept_flora_of_pakistan_2026,floral_form,4,4,0,1.0,0.0
nhm_adept_flora_of_pakistan_2026,floral_symmetry,1,1,0,1.0,0.0
nhm_adept_flora_of_pakistan_2026,flower_primary_color,75,75,0,1.0,0.0
nhm_adept_flora_of_pakistan_2026,inflorescence_display,15,15,0,1.0,0.0
nhm_adept_flora_of_pakistan_2026,tube_depth_class,105,105,0,1.0,0.0
pfaf_ken_fern,self_incompatibility,95,95,0,1.0,0.0
tree_of_sex_dryad,self_incompatibility,24,24,0,1.0,0.0
