accepted_species,axis,trait_name,normalized_value,quality,source_group,provider,source_url,candidate_id,source_citation,exact_supporting_quote,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason
Alcea rugosa,floral_structural_complexity,flower_size_class,large,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0000525187,WFOM-8a904d120d44bfeb7758,Alcea rugosa species treatment (flora north america),"corolla not doubled, 8–10 cm diam., petals pale yellow, usually drying greenish, notched, narrowed to base, 5 cm;",species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0000525187,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Bergerocactus emoryi,floral_structural_complexity,flower_size_class,large,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0000564302,WFOM-aed7140c28de09953787,Bergerocactus emoryi species treatment (flora north america),Flowers 2.5–4.5 cm diam.;,species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0000564302,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Callisia cordifolia,floral_structural_complexity,flower_size_class,small,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0000343256,WFOM-47102363dc0107d6b2f1,Callisia cordifolia species treatment (flora north america),"Flowers odorless, 4–5 mm wide, pedicillate;",species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0000343256,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Carnegiea gigantea,floral_structural_complexity,flower_size_class,large,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0000588147,WFOM-dd844a228094a163a800,Carnegiea gigantea species treatment (flora north america),"Flowers usually terminal, 6.5–8.5 cm diam.;",species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0000588147,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Carpobrotus chilensis,floral_structural_complexity,flower_size_class,large,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0000588256,WFOM-7b553f958ce664bd3980,Carpobrotus chilensis species treatment (flora north america),Flowers 3–5 cm diam.;,species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0000588256,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Cotoneaster conspicuus,floral_structural_complexity,flower_size_class,medium,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0001016558,WFOM-83f4c67fc6347c0a7f57,Cotoneaster conspicuus species treatment (flora north america),Flowers 9–13 mm diam.;,species_direct,wfo_id_species_rank_synonym_name_exact,provider_treatment:flora_north_america:wfo-0001016558,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Cotoneaster dammeri,floral_structural_complexity,flower_size_class,medium,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0001011673,WFOM-7f2d1245e6bf50c9a053,Cotoneaster dammeri species treatment (flora north america),"Flowers slightly pendent, 10–12 mm diam.;",species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0001011673,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Cotoneaster pannosus,floral_structural_complexity,flower_size_class,small,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0001004048,WFOM-883d63bfa21d2d23f7b3,Cotoneaster pannosus species treatment (flora north america),Flowers [7–]8.5–10 mm diam.;,species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0001004048,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Cotoneaster salicifolius,floral_structural_complexity,flower_size_class,small,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0001006234,WFOM-ffa3b62970268d9a8c97,Cotoneaster salicifolius species treatment (flora north america),Flowers (5–)6–9 mm diam.;,species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0001006234,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
Crataegus aprica,floral_structural_complexity,flower_size_class,medium,high,latest_public_web,flora_north_america,https://list.worldfloraonline.org/wfo-0001011402,WFOM-ed9d7ddd57a94a39c957,Crataegus aprica species treatment (flora north america),Flowers 13–15 mm diam.;,species_direct,wfo_id_species_rank_accepted_name_exact,provider_treatment:flora_north_america:wfo-0001011402,provider_treatment_wfo_id,wfo-official-bulk-morphology-recovery-20260808,wfo_bulk_morphology_recovery_20260808,wfo_morphology_recovered_evidence.csv.gz,wfo_morphology_subject_gate_plus_quote_audit_v1,True,wild_or_flora_treatment,codex_gpt5_wfo_morphology_full_census_quote_audit_20260808,2026-08-08T10:37:56.763775Z,accepted_after_full_census_exact_quote_review
