"candidate_id","accepted_species","trait_name","normalized_value","provider","source_url","source_lineage","source_citation","exact_supporting_quote","name_match_method","cultivar_status","accepted_correct","reviewer","reviewed_at_utc","audit_reason"
"plantnet-nsw-a1af5ff68f3a3c5fe0c914e4","Asystasia gangetica","floral_form","bell_campanulate|tubular","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Asystasia~gangetica","plantnet-text:319547dcf86883a3324c61dbb007ce57","PlantNET NSW FloraOnline; Text by J. Everett and D. Crayn (2001); edited KL Wilson (May 2009, December 2023), R.M. Barker and P. Lu-Irving (Oct. 2024), P. Lu-Irving (2026)","Flowers borne in one-sided racemes to 10 cm long; corolla tubular-campanulate, exceeding calyx lobes, 3-4 cm long (subsp. gangetica ) or up to 2.5 cm (subsp. micrantha ), lobes flaring (subsp. gangetica ) to more or less reflexed (subsp. micrantha ), blue, mauve, yellow, white, often yellow in throat, the mid lower lobe sometimes darker in colour (subsp. gangetica ) or the flower white with the middle lobe usually with two lines of purple stripes (subsp. micrantha ).","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-56d578627938e44eecec72eb","Boerhavia tetrandra","floral_form","bell_campanulate","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Boerhavia~tetrandra","plantnet-text:b4c804bcec17561f3118e1b3dab6b567","PlantNET NSW FloraOnline; Text by K.D. Hill","Perianth base sparsely glandular; upper part campanulate, 2 mm long, wh ite, pink or lilac.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-cda3b6b1f9c10ff14b52163c","Verbascum virgatum","floral_form","open_radial","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Verbascum~virgatum","plantnet-text:e9f587d76be0bc26305b48d0d0190ffa","PlantNET NSW FloraOnline; Text by W. R. Barker & G. J. Harden","Corolla yellow with purple centre, rotate, 3-4 cm diam., upper lobes shortest.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-d454f98725dcbda7989002c5","Polypremum procumbens","floral_form","bell_campanulate","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Polypremum~procumbens","plantnet-text:8167853e9256e503ead2c100bc11b649","PlantNET NSW FloraOnline; Text by B.J. Conn (2006)","Corolla white, shorter than calyx, campanulate, with a ring of hairs in throat.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-4f0723ca4facc171ceaeddf2","Ipomoea lonchophylla","floral_form","funnel_trumpet","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Ipomoea~lonchophylla","plantnet-text:1afd565ae537bc1890333a3f6b92dab3","PlantNET NSW FloraOnline; Text by R. W. Johnson","Corolla funnel-shaped, white, glabrous except for tuft of hairs at tip of mid-petaline band; tube 1-1.2 cm long; limb 1-2 cm diam.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-146579b1aa54b64b22318003","Ipomoea plebeia","floral_form","funnel_trumpet","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Ipomoea~plebeia","plantnet-text:41c9db10deb145f4d00aad6be53c0545","PlantNET NSW FloraOnline; Text by R. W. Johnson","Corolla funnel-shaped, white, with hairy mid-petaline bands; 1-1.2 cm long; limb 0.7-0.9 cm diam.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-e10d384a195d6339dd161d1b","Geniostoma petiolosum","floral_form","tubular","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Geniostoma~petiolosum","plantnet-text:7ad3e8144529616ad93c0267e220236f","PlantNET NSW FloraOnline","Corolla tubular at base, distally expanded to subrotate, 4-5 mm long; tube 2-3 mm long, with inner surface sparsely minute-hairy in distally.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-84ea33efadbb0cc99ecf617a","Echium italicum","floral_symmetry","actinomorphic","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Echium~italicum","plantnet-text:cd90bb9dd8534dfea0f8f0596b84ec65","PlantNET NSW FloraOnline; Text by Peter G. Wilson","Corolla ± actinomorphic, 10-12 mm long, cream to yellow; lobes half the length of the tube.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-64775158a6cba4f4120488ca","Planchonella myrsinifolia","floral_symmetry","actinomorphic","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Planchonella~myrsinifolia","plantnet-text:4ec2f0b2319e527039e731c1295fd1f1","PlantNET NSW FloraOnline; Text by S. McCune (Aug 2019)","Flowers bisexual, actinomorphic, 5-merous.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
"plantnet-nsw-b934510c676ba4af158a40ba","Watsonia meriana","floral_symmetry","zygomorphic","plantnet_nsw_flora_source_scale","https://plantnet.rbgsyd.nsw.gov.au/cgi-bin/NSWfl.pl?page=nswfl&lvl=sp&name=Watsonia~meriana","plantnet-text:74abf7fb14b1abcc5fc238e7a626b4c3","PlantNET NSW FloraOnline; Text by T. A. James & E. A. Brown (1993); edited KL Wilson (Oct 2015)","Flowers zygomorphic.","accepted_name_exact_plus_family_exact","wild_or_naturalised_flora_treatment","true","codex_manual_quote_value_identity_audit_20260809","2026-08-09T11:59:05Z","accepted: exact accepted-name and family identity; quote directly supports trait/value; provenance complete; no cultivar contamination"
