accepted_species,axis,trait_name,normalized_value,quality,source_group,provider,source_url,candidate_id,source_citation,exact_supporting_quote,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason
Ajuga integrifolia,floral_structural_complexity,floral_form,tubular,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-9ab459ca676b0cca5a97957a,"Flora of China, official WFO/eFloras archive","Corolla purple or purplish with dark purple spots, tubular, slightly exserted, puberulent, yellowish glandular, villous annulate inside; upper lip straight, apex emarginate; middle lobe of lower lip obcordate, lateral lobes oblong.",species_direct,wfo_synonym_cluster_from_exact_fixed_name,provider_treatment:flora_of_china:Ajuga integrifolia,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Ania hongkongensis,floral_structural_complexity,floral_form,spurred,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-e3dcdabfa107507428665ef7,"Flora of China, official WFO/eFloras archive","Petals obovate-lanceolate, ca. 20 × 3 mm, 5-veined, base contracted, apex acuminate; lip obovate, ca. 11 × 6 mm, ± embracing column below middle, spurred at base, entire, mucronate; disk with 3 narrow lamellae; spur projecting beyond base of lateral sepals, suboblong, ca. 3 × 2.5 mm.",species_direct,wfo_synonym_cluster_from_exact_fixed_name,provider_treatment:flora_of_china:Ania hongkongensis,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Cyrtandra umbellifera,floral_structural_complexity,floral_form,tubular,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-564ed9acdc3a41e058a7a800,"Flora of China, official WFO/eFloras archive","Corolla white, 1-1.3 cm; tube funnelform tubular, 6-8 mm; adaxial lip slightly longer than abaxial lip; abaxial lip central lobe suborbicular, ca. 4 X 4 mm, lateral lobes ca. 2 X 4 mm.",species_direct,wfo_june_2026_exact_accepted_species_family_consistent,provider_treatment:flora_of_china:Cyrtandra umbellifera,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Eritrichium sericeum,floral_structural_complexity,floral_form,bell_campanulate|open_radial,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-569966acc6f01479ec879dfa,"Flora of China, official WFO/eFloras archive","Corolla light blue, campanulate-rotate; tube shorter; throat yellow or orange; appendages trapeziform or low trapeziform; lobes suborbicular, ca. 3 mm wide.",species_direct,wfo_accepted_usage_from_exact_fixed_synonym,provider_treatment:flora_of_china:Eritrichium sericeum,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Evolvulus alsinoides,floral_structural_complexity,floral_form,open_radial,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-ccb9e27f3ecd20ffe80e9887,"Flora of China, official WFO/eFloras archive","Corolla rotate, 7-10 mm in diam.",species_direct,wfo_june_2026_exact_accepted_species_family_consistent,provider_treatment:flora_of_china:Evolvulus alsinoides,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Hibiscus syriacus,floral_structural_complexity,floral_form,bell_campanulate,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-db9327b0d642b6f20b4d2fb5,"Flora of China, official WFO/eFloras archive","Corolla blue-purple, violet, white, pink, or reddish, sometimes with darker center, campanulate, sometimes double, 5-6 cm in diam.; petals obovate, 3.5-4.5 cm, pilose and stellate villous abaxially.",species_direct,wfo_june_2026_exact_accepted_species_family_consistent,provider_treatment:flora_of_china:Hibiscus syriacus,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Jasminum extensum,floral_structural_complexity,floral_form,salverform,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-d648a5b6556a87232f012f5c,"Flora of China, official WFO/eFloras archive","Corolla white, salverform; tube slender, 1-2 cm; lobes 6-8, narrowly lanceolate, 0.8-1.7 cm.",species_direct,wfo_synonym_cluster_from_exact_fixed_name,provider_treatment:flora_of_china:Jasminum extensum,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Paralasianthus hainanensis,floral_structural_complexity,floral_form,tubular,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-bae53cf8ad893e6cc77a59c5,"Flora of China, official WFO/eFloras archive","Corolla tubular-funnelform, glabrous outside, villous in throat and on lobes inside; tube 4-4.5 mm; lobes ovate, ca. 1.5 mm.",species_direct,wfo_synonym_cluster_from_exact_fixed_name,provider_treatment:flora_of_china:Paralasianthus hainanensis,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Viburnum foetidum,floral_structural_complexity,floral_form,open_radial,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-fa9ee75aea5dd4181ca1ab5f,"Flora of China, official WFO/eFloras archive","Corolla white, rotate, ca. 5 mm in diam., sparsely pubescent; tube 2-2.5 mm; lobes spreading, orbicular-ovate, ca. 1.5 mm, exceeding tube, apex rounded, margin very minutely glandular ciliate.",species_direct,wfo_june_2026_exact_accepted_species_family_consistent,provider_treatment:flora_of_china:Viburnum foetidum,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Vincetoxicum purpureum,floral_structural_complexity,floral_form,open_radial,high,latest_public_web,flora_of_china,https://files.worldfloraonline.org/files/eFloras/Flora_Of_China/Flora_Of_China.zip,wfo-fna-foc-822d59bfe55135fead934fee,"Flora of China, official WFO/eFloras archive","Corolla purple, rotate, glabrous; tube ca. 1 mm; lobes linear-lanceolate, 5-10 × 1.5-2 mm.",species_direct,wfo_accepted_usage_from_exact_fixed_synonym,provider_treatment:flora_of_china:Vincetoxicum purpureum,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,Flora_Of_China.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
Arctostaphylos manzanita,floral_structural_complexity,floral_form,urn_urceolate,high,latest_public_web,fna,https://files.worldfloraonline.org/files/eFloras/FNA/FNA.zip,wfo-fna-foc-7819680d90cf2a59f72cb2e3,"Flora of North America Association, official WFO/eFloras archive","Flowers: corolla white, conic to urceolate; ovary glabrous or minutely stipitate glandular-hairy.",species_direct,wfo_june_2026_exact_accepted_species_family_consistent,provider_treatment:fna:Arctostaphylos manzanita,provider_accepted_species_treatment,wfo-fna-foc-africa-20260810,wfo-fna-foc-africa-official-dwca-20260810,FNA.zip::description.txt,official_wfo_dwca_exact_species_description_quote_v1,,,,,
