accepted_species,axis,trait_name,normalized_value,quality,source_group,provider,source_url,candidate_id,source_citation,exact_supporting_quote,evidence_scope,name_match_method,source_lineage,lineage_method,source_run_id,source_artifact,source_file,acceptance_contract,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason
Allium cepa,floral_structural_complexity,floral_form,bell_campanulate|urn_urceolate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-e490c27db0529536e96ec31b,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive",Flowers sub-campanulate to urceolate; tepals greenish to whitish; stamens not or slighdy exceeding tepals.,species_direct,wfo_june_2026_exact_accepted_xml_species_family_consistent,florml-content:Allium cepa:9730b6ebc5aaba75290d84a53b2646c6f1072de3168b090332d512111bde2762,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol11_part2_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Antidesma ghaesembilla,floral_structural_complexity,floral_form,urn_urceolate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-b911902fb3077a746ccb80fb,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Perianth urceolate, greenish yellow, tube (2-) 2.5-3 mm long, lobes recurved, 0.5 mm.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Antidesma ghaesembilla:686eb70df0fbe3492dc40c9dd1ccae37bf361dd8c1455e047252524f0d6a8383,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol10_part1_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Archidendron harmsii,floral_structural_complexity,floral_form,funnel_trumpet,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-0bdfabfce384960fd295ada5,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla green, narrowly funnel-shaped, 22.5-30 mm, glabrous; lobes oblong-lanceolate, acute, often unequal, 6-8 mm.",species_direct,wfo_june_2026_exact_accepted_xml_species_family_consistent,florml-content:Archidendron harmsii:668e1500c3c5c5a09550d3680258a01c5790a49c932e7b306ee2f4c81055ed80,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol11_part1_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Argusia argentea,floral_structural_complexity,floral_form,bell_campanulate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-b96086e049e844104d57cf7f,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla white to pinkish white, 3-4 mm long, 4-7 mm in diam., salver-shaped, tube campanulate, about as long as calyx, lobes ovate to orbicular, pubescent outside.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Argusia argentea:c3b123b5abe77027db522db9f1181571f8adaba2de8dae83844355b2e0c0e155,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol13_final2.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Dimorphanthera macbainii,floral_structural_complexity,floral_form,bell_campanulate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-efe78e3642107c7da044971c,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla campanulate, 5-lobed ± halfway, fleshy, pink or reddish pink, or pinkish white with darker tips, paler inside, (7-)8(-9) mm.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Dimorphanthera macbainii:d165629739e2f59d767739db26a09acb71e45880bb4dc1719324aabb2636ed6a,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol6_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Euploca strigosa,floral_structural_complexity,floral_form,bell_campanulate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-ef5dd53f7d781223dd09ef9d,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla campanulate, white, 2.5 mm long, hairy outside, tube shorter than calyx, lobes broadly ovoid, rounded.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Euploca strigosa:315ffdafa648545de6662e0452cf548bd0bb8284d2e2a2e59360500adef602b6,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol13_final2.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Gaultheria aperta,floral_structural_complexity,floral_form,urn_urceolate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-e2830a9d791c8e99e1cbb6c0,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla elongate- urceolate, 8-9 mm long, c. 2.5 mm ø, red or rose, glabrous, lobes pale, 1.5 mm.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Gaultheria aperta:39de2ca14372f61948414798ebded61e80d7c791f93f1df69de7d235e023fda2,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol6_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Gaultheria pendens,floral_structural_complexity,floral_form,urn_urceolate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-61bd01fdc18240d1235dbf80,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla urceolate, tube light green, purplish towards the lobes, glabrous, 3 mm.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Gaultheria pendens:182dc3718a450cbffa963a4d607f42b6e4e4a86661b38bfeb141a419165f036c,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol6_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Gaultheria rupicola,floral_structural_complexity,floral_form,urn_urceolate,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-f11281f5700212579fe45baf,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla urceolate-cylindric, glabrous, scarlet or pink, or orange-red, with greenish white lobes, honey-scented, (7-)8-10 by 3-4 mm, lobes pale green, 1.5 mm.",species_direct,wfo_june_2026_exact_synonym_xml_species_family_consistent,florml-content:Gaultheria rupicola:f2ca5c20383c76338bef80a2e4561fd961a4e3ea8c693160382ce497643ef217,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol6_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
Parsonsia lata,floral_structural_complexity,floral_form,salverform,high,latest_public_web,flora_malesiana,https://files.worldfloraonline.org/files/Flora%20Malesiana/github/Flora%20Malesiana%20final%20files/Flora%20Malesiana%20final%20files.zip,florml-a6f4bc4aa4253b8e4aa54a11,"Flora Malesiana, Foundation Flora Malesiana, official FlorML archive","Corolla cream or yellowish, buds cylindrical with an acuminate head, lobes slightly overlapping, open corolla salverform; tube 2.8-5.7 mm long, 1-2.4 times as long as sepals, 1.1-2.5 times as long as lobes; lobes triangular, 1.8-3 by 0.9-1.2 mm, apex acuminate, papillose inside; pubescent outside on tube and lobes, bearded in throat and in 5 rows down tube.",species_direct,wfo_june_2026_exact_accepted_xml_species_family_consistent,florml-content:Parsonsia lata:524fd6bd49ec56de3349a8c9c23a674f8ffd97cac9c2895428ec3fec064646b9,accepted_species_normalized_content_fingerprint,wfo-florml-malesiana-guianas-20260810,wfo-florml-malesiana-guianas-official-20260810,fmvol18_final.xml::description,official_florml_exact_species_description_quote_v1,,,,,
