accepted_species,genus,family,n_islands,n_records
Avicennia marina,Avicennia,Acanthaceae,230,4412
Actinidia arguta,Actinidia,Actinidiaceae,56,2124
Atriplex prostrata,Atriplex,Amaranthaceae,645,95705
Allium schoenoprasum,Allium,Amaryllidaceae,365,10193
Mangifera indica,Mangifera,Anacardiaceae,255,5389
Annona squamosa,Annona,Annonaceae,146,1075
Anthriscus sylvestris,Anthriscus,Apiaceae,617,394863
Catharanthus roseus,Catharanthus,Apocynaceae,438,6910
Ilex aquifolium,Ilex,Aquifoliaceae,286,344129
Lemna minor,Lemna,Araceae,433,146027
Hedera helix,Hedera,Araliaceae,360,386834
Cocos nucifera,Cocos,Arecaceae,467,10267
Aristolochia rotunda,Aristolochia,Aristolochiaceae,43,728
Convallaria majalis,Convallaria,Asparagaceae,407,21816
Dianella ensifolia,Dianella,Asphodelaceae,139,3812
Achillea millefolium,Achillea,Asteraceae,954,451700
Impatiens glandulifera,Impatiens,Balsaminaceae,282,199544
Begonia cucullata,Begonia,Begoniaceae,36,558
Berberis vulgaris,Berberis,Berberidaceae,161,13230
Betula pubescens,Betula,Betulaceae,572,174362
Tecoma stans,Tecoma,Bignoniaceae,176,2732
Myosotis arvensis,Myosotis,Boraginaceae,546,190152
Capsella bursa-pastoris,Capsella,Brassicaceae,747,227511
Ananas comosus,Ananas,Bromeliaceae,141,952
Bursera simaruba,Bursera,Burseraceae,126,3009
Opuntia stricta,Opuntia,Cactaceae,173,1875
Calophyllum inophyllum,Calophyllum,Calophyllaceae,239,2489
Campanula rotundifolia,Campanula,Campanulaceae,656,146625
Capparis spinosa,Capparis,Capparaceae,172,2413
Linnaea borealis,Linnaea,Caprifoliaceae,551,13248
Stellaria media,Stellaria,Caryophyllaceae,904,281518
Euonymus japonicus,Euonymus,Celastraceae,169,7534
Chrysobalanus icaco,Chrysobalanus,Chrysobalanaceae,147,2110
Cistus creticus,Cistus,Cistaceae,125,6492
Clusia rosea,Clusia,Clusiaceae,72,2075
Terminalia catappa,Terminalia,Combretaceae,379,7092
Commelina diffusa,Commelina,Commelinaceae,186,3542
Ipomoea pes-caprae,Ipomoea,Convolvulaceae,586,8675
Cordia subcordata,Cordia,Cordiaceae,156,1142
Sedum acre,Sedum,Crassulaceae,597,85683
Momordica charantia,Momordica,Cucurbitaceae,227,6519
Pterophylla fraxinea,Pterophylla,Cunoniaceae,25,200
Eriophorum angustifolium,Eriophorum,Cyperaceae,778,127129
Dillenia indica,Dillenia,Dilleniaceae,40,442
Dioscorea bulbifera,Dioscorea,Dioscoreaceae,188,2245
Dipterocarpus grandiflorus,Dipterocarpus,Dipterocarpaceae,34,292
Diospyros maritima,Diospyros,Ebenaceae,108,861
Elaeocarpus angustifolius,Elaeocarpus,Elaeocarpaceae,52,621
Empetrum nigrum,Empetrum,Ericaceae,754,83709
Eriocaulon cinereum,Eriocaulon,Eriocaulaceae,35,455
Ricinus communis,Ricinus,Euphorbiaceae,407,12626
Trifolium repens,Trifolium,Fabaceae,993,514031
Quercus robur,Quercus,Fagaceae,395,380115
Centaurium pulchellum,Centaurium,Gentianaceae,305,12937
Geranium robertianum,Geranium,Geraniaceae,565,384277
Chrysothemis pulchella,Chrysothemis,Gesneriaceae,51,446
Scaevola taccada,Scaevola,Goodeniaceae,412,7575
Heliotropium curassavicum,Heliotropium,Heliotropiaceae,187,1917
Hypericum perforatum,Hypericum,Hypericaceae,482,142611
Iris pseudacorus,Iris,Iridaceae,553,206508
Luzula multiflora,Luzula,Juncaceae,742,127871
Prunella vulgaris,Prunella,Lamiaceae,822,389528
Cassytha filiformis,Cassytha,Lauraceae,359,2737
Barringtonia asiatica,Barringtonia,Lecythidaceae,218,2019
Pinguicula vulgaris,Pinguicula,Lentibulariaceae,473,67698
Gagea lutea,Gagea,Liliaceae,157,10093
Geniostoma rupestre,Geniostoma,Loganiaceae,89,1242
Scurrula parasitica,Scurrula,Loranthaceae,26,187
Lythrum salicaria,Lythrum,Lythraceae,470,119746
Magnolia grandiflora,Magnolia,Magnoliaceae,64,584
Tristellateia australasiae,Tristellateia,Malpighiaceae,56,288
Talipariti tiliaceum,Talipariti,Malvaceae,407,6068
Donax canniformis,Donax,Marantaceae,70,463
Melastoma malabathricum,Melastoma,Melastomataceae,171,7631
Melia azedarach,Melia,Meliaceae,337,6177
Cocculus orbiculatus,Cocculus,Menispermaceae,137,4279
Hedycarya dorstenioides,Hedycarya,Monimiaceae,22,161
Ficus carica,Ficus,Moraceae,273,13559
Myristica fragrans,Myristica,Myristicaceae,48,231
Psidium guajava,Psidium,Myrtaceae,268,6491
Nepenthes mirabilis,Nepenthes,Nepenthaceae,62,1612
Mirabilis jalapa,Mirabilis,Nyctaginaceae,290,5309
Fraxinus excelsior,Fraxinus,Oleaceae,414,509608
Chamaenerion angustifolium,Chamaenerion,Onagraceae,767,311697
Dactylorhiza maculata,Dactylorhiza,Orchidaceae,570,197024
Rhinanthus minor,Rhinanthus,Orobanchaceae,605,135790
Oxalis corniculata,Oxalis,Oxalidaceae,544,45022
Pandanus tectorius,Pandanus,Pandanaceae,187,3415
Fumaria officinalis,Fumaria,Papaveraceae,364,60971
Passiflora foetida,Passiflora,Passifloraceae,281,3546
Eurya japonica,Eurya,Pentaphylacaceae,137,6679
Phyllanthus amarus,Phyllanthus,Phyllanthaceae,194,2129
Peperomia pellucida,Peperomia,Piperaceae,129,1594
Pittosporum tobira,Pittosporum,Pittosporaceae,237,14399
Plantago major,Plantago,Plantaginaceae,894,395413
Armeria maritima,Armeria,Plumbaginaceae,535,67083
Festuca rubra,Festuca,Poaceae,891,243123
Polygala vulgaris,Polygala,Polygalaceae,359,57982
Rumex acetosella,Rumex,Polygonaceae,888,200826
Potamogeton natans,Potamogeton,Potamogetonaceae,443,80932
Lysimachia maritima,Lysimachia,Primulaceae,656,43823
Grevillea robusta,Grevillea,Proteaceae,62,2264
Ranunculus repens,Ranunculus,Ranunculaceae,732,554397
Frangula alnus,Frangula,Rhamnaceae,283,31586
Argentina anserina,Argentina,Rosaceae,849,289276
Galium aparine,Galium,Rubiaceae,700,459848
Murraya paniculata,Murraya,Rutaceae,176,5018
Salix caprea,Salix,Salicaceae,569,199659
Acer pseudoplatanus,Acer,Sapindaceae,378,442918
Mimusops elengi,Mimusops,Sapotaceae,119,719
Saxifraga oppositifolia,Saxifraga,Saxifragaceae,361,17976
Verbascum thapsus,Verbascum,Scrophulariaceae,415,82044
Smilax china,Smilax,Smilacaceae,131,6074
Solanum nigrum,Solanum,Solanaceae,527,74690
Symplocos cochinchinensis,Symplocos,Symplocaceae,57,1738
Camellia japonica,Camellia,Theaceae,122,6901
Daphne mezereum,Daphne,Thymelaeaceae,124,4876
Urtica dioica,Urtica,Urticaceae,663,641497
Lantana camara,Lantana,Verbenaceae,425,16723
Viola palustris,Viola,Violaceae,554,96549
Viscum album,Viscum,Viscaceae,58,45415
Parthenocissus quinquefolia,Parthenocissus,Vitaceae,160,6819
Alpinia zerumbet,Alpinia,Zingiberaceae,151,6602
Pangium edule,Pangium,Achariaceae,46,320
Sesuvium portulacastrum,Sesuvium,Aizoaceae,358,4832
Alisma plantago-aquatica,Alisma,Alismataceae,307,98966
Alstroemeria aurea,Alstroemeria,Alstroemeriaceae,29,1035
Dendrotrophe varians,Dendrotrophe,Amphorogynaceae,23,184
Anisophyllea disticha,Anisophyllea,Anisophylleaceae,11,270
Aponogeton distachyos,Aponogeton,Aponogetonaceae,15,1144
Anacolosa frutescens,Anacolosa,Aptandraceae,12,133
Corokia cotoneaster,Corokia,Argophyllaceae,6,2185
Astelia pumila,Astelia,Asteliaceae,20,85
Balanophora fungosa,Balanophora,Balanophoraceae,38,128
Burmannia coelestis,Burmannia,Burmanniaceae,19,118
Buxus sempervirens,Buxus,Buxaceae,83,26454
Calceolaria tripartita,Calceolaria,Calceolariaceae,13,331
Humulus lupulus,Humulus,Cannabaceae,244,70129
Gonocaryum litorale,Gonocaryum,Cardiopteridaceae,16,203
Casuarina equisetifolia,Casuarina,Casuarinaceae,411,6024
Sarcandra glabra,Sarcandra,Chloranthaceae,58,3269
Arivela viscosa,Arivela,Cleomaceae,226,2408
Clethra alnifolia,Clethra,Clethraceae,27,1560
Gloriosa superba,Gloriosa,Colchicaceae,102,946
Rourea minor,Rourea,Connaraceae,36,546
Coriaria arborea,Coriaria,Coriariaceae,21,3720
Cornus suecica,Cornus,Cornaceae,488,12386
Arachnitis uniflora,Arachnitis,Corsiaceae,4,23
Hellenia speciosa,Hellenia,Costaceae,145,2936
Carludovica palmata,Carludovica,Cyclanthaceae,15,59
Halodule uninervis,Halodule,Cymodoceaceae,128,14805
Daphniphyllum teijsmannii,Daphniphyllum,Daphniphyllaceae,42,1026
Dichapetalum timoriense,Dichapetalum,Dichapetalaceae,24,151
Portulacaria afra,Portulacaria,Didiereaceae,25,229
Drosera rotundifolia,Drosera,Droseraceae,673,75921
Bourreria succulenta,Bourreria,Ehretiaceae,98,2073
Hippophae rhamnoides,Hippophae,Elaeagnaceae,215,26058
Elatine hydropiper,Elatine,Elatinaceae,44,1119
Erythroxylum rotundifolium,Erythroxylum,Erythroxylaceae,38,243
Escallonia rubra,Escallonia,Escalloniaceae,85,7400
Frankenia pulverulenta,Frankenia,Frankeniaceae,77,1404
Ribes nigrum,Ribes,Grossulariaceae,322,38255
Gunnera tinctoria,Gunnera,Gunneraceae,76,9533
Xiphidium caeruleum,Xiphidium,Haemodoraceae,49,254
Myriophyllum spicatum,Myriophyllum,Haloragaceae,325,35492
Distylium racemosum,Distylium,Hamamelidaceae,40,1301
Hanguana malayana,Hanguana,Hanguanaceae,21,199
Heliconia psittacorum,Heliconia,Heliconiaceae,117,1529
Hernandia nymphaeifolia,Hernandia,Hernandiaceae,144,609
Humiria balsamifera,Humiria,Humiriaceae,10,47
Hydrangea macrophylla,Hydrangea,Hydrangeaceae,106,8026
Halophila ovalis,Halophila,Hydrocharitaceae,183,14224
Phacelia tanacetifolia,Phacelia,Hydrophyllaceae,154,17872
Hydrostachys distichophylla,Hydrostachys,Hydrostachyaceae,1,105
Curculigo capitulata,Curculigo,Hypoxidaceae,45,965
Iodes philippinensis,Iodes,Icacinaceae,11,80
Juglans regia,Juglans,Juglandaceae,134,25418
Triglochin maritima,Triglochin,Juncaginaceae,683,34320
Akebia quinata,Akebia,Lardizabalaceae,90,2853
Linum catharticum,Linum,Linaceae,434,128461
Torenia crustacea,Torenia,Linderniaceae,143,3338
Mentzelia aspera,Mentzelia,Loasaceae,25,374
Orchidantha maxillarioides,Orchidantha,Lowiaceae,2,4
Norantea guianensis,Norantea,Marcgraviaceae,11,58
Mazus pumilus,Mazus,Mazaceae,97,2689
Paris quadrifolia,Paris,Melanthiaceae,299,23173
Menyanthes trifoliata,Menyanthes,Menyanthaceae,618,69375
Platea excelsa,Platea,Metteniusaceae,21,256
Mollugo verticillata,Mollugo,Molluginaceae,83,918
Montia fontana,Montia,Montiaceae,521,67217
Musa paradisiaca,Musa,Musaceae,163,1075
Delarbrea paradoxa,Delarbrea,Myodocarpaceae,22,257
Myrica gale,Myrica,Myricaceae,406,48345
Nama jamaicensis,Nama,Namaceae,30,118
Narthecium ossifragum,Narthecium,Nartheciaceae,317,88464
Nothofagus betuloides,Nothofagus,Nothofagaceae,22,472
Nymphaea alba,Nymphaea,Nymphaeaceae,258,38191
Nyssa sylvatica,Nyssa,Nyssaceae,25,1188
Ochna serrulata,Ochna,Ochnaceae,41,580
Olax imbricata,Olax,Olacaceae,31,173
Opilia amentacea,Opilia,Opiliaceae,55,415
Paeonia officinalis,Paeonia,Paeoniaceae,24,1500
Sphenostemon papuanus,Sphenostemon,Paracryphiaceae,8,307
Sesamum indicum,Sesamum,Pedaliaceae,65,245
Pentaphragma grandiflorum,Pentaphragma,Pentaphragmataceae,12,88
Pera glabrata,Pera,Peraceae,18,119
Erythranthe guttata,Erythranthe,Phrymaceae,128,13873
Phytolacca americana,Phytolacca,Phytolaccaceae,241,10535
Picramnia pentandra,Picramnia,Picramniaceae,27,392
Petalostigma pubescens,Petalostigma,Picrodendraceae,43,422
Tristicha trifaria,Tristicha,Podostemaceae,6,33
Polemonium caeruleum,Polemonium,Polemoniaceae,146,6418
Pontederia crassipes,Pontederia,Pontederiaceae,176,2758
Portulaca oleracea,Portulaca,Portulacaceae,556,11602
Drypetes deplanchei,Drypetes,Putranjivaceae,88,1048
Rafflesia tuan-mudae,Rafflesia,Rafflesiaceae,2,64
Reseda lutea,Reseda,Resedaceae,132,42368
Centrolepis strigosa,Centrolepis,Restionaceae,31,773
Rhizophora mangle,Rhizophora,Rhizophoraceae,237,6160
Meliosma oldhamii,Meliosma,Sabiaceae,39,354
Exocarpos latifolius,Exocarpos,Santalaceae,98,791
Leptolaena pauciflora,Leptolaena,Sarcolaenaceae,2,1100
Kadsura japonica,Kadsura,Schisandraceae,55,1856
Schoepfia schreberi,Schoepfia,Schoepfiaceae,45,286
Ailanthus altissima,Ailanthus,Simaroubaceae,160,14161
Rhopalocarpus louvelii,Rhopalocarpus,Sphaerosepalaceae,2,286
Staphylea japonica,Staphylea,Staphyleaceae,72,2561
Stemona tuberosa,Stemona,Stemonaceae,13,636
Gomphandra mappioides,Gomphandra,Stemonuraceae,27,159
Nuxia pachyphylla,Nuxia,Stilbaceae,5,102
Stylidium graminifolium,Stylidium,Stylidiaceae,23,3264
Styrax japonicus,Styrax,Styracaceae,105,5390
Talinum paniculatum,Talinum,Talinaceae,97,2550
Tamarix gallica,Tamarix,Tamaricaceae,65,3938
Thesium chinense,Thesium,Thesiaceae,61,1105
Sciaphila tenella,Sciaphila,Triuridaceae,17,55
Turnera ulmifolia,Turnera,Turneraceae,252,3041
Typha latifolia,Typha,Typhaceae,429,160162
Ulmus glabra,Ulmus,Ulmaceae,299,170931
Xerophyta dasylirioides,Xerophyta,Velloziaceae,1,278
Viburnum opulus,Viburnum,Viburnaceae,365,124267
Vochysia ferruginea,Vochysia,Vochysiaceae,9,27
Nilssoniopteris tenuinervis,Nilssoniopteris,Williamsoniaceae,2,14
Drimys winteri,Drimys,Winteraceae,25,271
Xyris complanata,Xyris,Xyridaceae,42,333
Zostera marina,Zostera,Zosteraceae,509,21354
Tribulus terrestris,Tribulus,Zygophyllaceae,173,1885
Atherosperma moschatum,Atherosperma,Atherospermataceae,8,5490
Crypteronia paniculata,Crypteronia,Crypteroniaceae,15,181
Cyrilla racemiflora,Cyrilla,Cyrillaceae,15,251
