accepted_species,genus,family,n_islands,n_records,reproductive_wikimedia_status,reproductive_wikimedia_attempts,reproductive_wikimedia_wave_id,reproductive_wikimedia_candidate_count,reproductive_wikimedia_last_error,reproductive_openalex_status,reproductive_openalex_attempts,reproductive_openalex_wave_id,reproductive_openalex_candidate_count,reproductive_openalex_last_error,floral_access_wikimedia_status,floral_access_wikimedia_attempts,floral_access_wikimedia_wave_id,floral_access_wikimedia_candidate_count,floral_access_wikimedia_last_error,alternative_guild_openalex_status,alternative_guild_openalex_attempts,alternative_guild_openalex_wave_id,alternative_guild_openalex_candidate_count,alternative_guild_openalex_last_error,machine_biotic_candidate,alternative_guild_wikimedia_status,alternative_guild_wikimedia_attempts,alternative_guild_wikimedia_wave_id,alternative_guild_wikimedia_candidate_count,alternative_guild_wikimedia_last_error,reproductive_multilingual_recovery_status,reproductive_multilingual_recovery_attempts,reproductive_multilingual_recovery_wave_id,reproductive_multilingual_recovery_candidate_count,reproductive_multilingual_recovery_last_error,reproductive_multilingual_sitelink_recovery_status,reproductive_multilingual_sitelink_recovery_attempts,reproductive_multilingual_sitelink_recovery_wave_id,reproductive_multilingual_sitelink_recovery_candidate_count,reproductive_multilingual_sitelink_recovery_last_error
Thunbergia alata,Thunbergia,Acanthaceae,93,2173,processed,1,wave_00010_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Annona glabra,Annona,Annonaceae,94,751,processed,1,wave_00003_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Trachelospermum asiaticum,Trachelospermum,Apocynaceae,99,4280,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Xanthosoma sagittifolium,Xanthosoma,Araceae,76,1023,processed,1,wave_00016_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Adonidia merrillii,Adonidia,Arecaceae,97,684,processed,1,wave_00002_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Achillea millefolium,Achillea,Asteraceae,954,451700,processed,1,wave_00001_reproductive_wikimedia,0,,processed,1,wave_00004_reproductive_openalex,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Capsella bursa-pastoris,Capsella,Brassicaceae,747,227511,processed,1,wave_00001_reproductive_wikimedia,0,,processed,1,wave_00004_reproductive_openalex,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Eriophorum angustifolium,Eriophorum,Cyperaceae,778,127129,processed,1,wave_00001_reproductive_wikimedia,2,,processed,1,wave_00004_reproductive_openalex,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Pyrola grandiflora,Pyrola,Ericaceae,93,869,processed,1,wave_00022_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
Euphorbia peplis,Euphorbia,Euphorbiaceae,90,1619,processed,1,wave_00025_reproductive_wikimedia,0,,pending,0,,0,,not_applicable,0,,0,,not_applicable,0,,0,,False,not_applicable,0,,0,,processed,1,wave_00037_reproductive_multilingual_recovery,0,,pending,0,,0,
