accepted_species,genus,family,n_islands,n_records
Halenia deflexa,Halenia,Gentianaceae,13,84
Ophrys fusca,Ophrys,Orchidaceae,50,3683
Astrantia major,Astrantia,Apiaceae,57,4040
Drimia maritima,Drimia,Asparagaceae,42,1832
Lobelia siphilitica,Lobelia,Campanulaceae,15,158
Hopea odorata,Hopea,Dipterocarpaceae,6,27
Tectona grandis,Tectona,Lamiaceae,87,857
Lecythis minor,Lecythis,Lecythidaceae,2,15
Lilium concolor,Lilium,Liliaceae,9,26
Grevillea juniperina,Grevillea,Proteaceae,6,21
Ranunculus arcticus,Ranunculus,Ranunculaceae,58,364
Brugmansia arborea,Brugmansia,Solanaceae,31,94
Sambucus palmensis,Sambucus,Viburnaceae,4,147
Gentiana cruciata,Gentiana,Gentianaceae,11,128
Anacamptis coriophora,Anacamptis,Orchidaceae,50,1245
