accepted_species,genus,family,n_islands,n_records
Cypripedium calceolus,Cypripedium,Orchidaceae,38,1098
Eleutherococcus senticosus,Eleutherococcus,Araliaceae,8,203
Artemisia campestris,Artemisia,Asteraceae,162,10539
Parkinsonia aculeata,Parkinsonia,Fabaceae,120,1665
Teucrium fruticans,Teucrium,Lamiaceae,66,2335
Ludwigia alternifolia,Ludwigia,Onagraceae,12,62
Bistorta plumosa,Bistorta,Polygonaceae,24,109
Protea neriifolia,Protea,Proteaceae,4,16
Pulsatilla cernua,Pulsatilla,Ranunculaceae,33,238
Cephalanthera rubra,Cephalanthera,Orchidaceae,36,3654
Ophrys holosericea,Ophrys,Orchidaceae,35,1652
