accepted_species,genus,family,n_islands,n_records
Anacamptis collina,Anacamptis,Orchidaceae,23,898
Farfugium japonicum,Farfugium,Asteraceae,112,4041
Tarenna gracilipes,Tarenna,Rubiaceae,23,634
Lupinus angustifolius,Lupinus,Fabaceae,84,2362
Digitaria setigera,Digitaria,Poaceae,128,1042
Fimbristylis tristachya,Fimbristylis,Cyperaceae,71,1165
Verticordia cunninghamii,Verticordia,Myrtaceae,13,38
Euphorbia lasiocarpa,Euphorbia,Euphorbiaceae,22,138
Rubus nemoralis,Rubus,Rosaceae,63,6634
Eriostemma coronaria,Eriostemma,Apocynaceae,14,66
Satureja montana,Satureja,Lamiaceae,42,244
Chaetogastra ornata,Chaetogastra,Melastomataceae,5,108
Corchorus capsularis,Corchorus,Malvaceae,19,136
Lyonia lucida,Lyonia,Ericaceae,13,158
Rhapis humilis,Rhapis,Arecaceae,7,14
Strobilanthes anisophylla,Strobilanthes,Acanthaceae,6,37
Lindera praecox,Lindera,Lauraceae,6,2460
Ardisia forbesii,Ardisia,Primulaceae,7,260
Aeschynanthus wallichii,Aeschynanthus,Gesneriaceae,3,7
Glochidion marchionicum,Glochidion,Phyllanthaceae,7,104
Caladium humboldtii,Caladium,Araceae,7,14
Ranunculus biternatus,Ranunculus,Ranunculaceae,17,247
Uvaria lobbiana,Uvaria,Annonaceae,4,47
Aubrieta deltoidea,Aubrieta,Brassicaceae,37,11086
Mischocarpus lachnocarpus,Mischocarpus,Sapindaceae,7,56
Amyris ignea,Amyris,Rutaceae,6,33
Sabulina rosei,Sabulina,Caryophyllaceae,29,262
Anethum ridolfia,Anethum,Apiaceae,23,237
Touchardia oahuensis,Touchardia,Urticaceae,6,87
Populus tomentiglandulosa,Populus,Salicaceae,12,21
Paratrophis philippinensis,Paratrophis,Moraceae,13,133
Peperomia australana,Peperomia,Piperaceae,4,13
Dopatrium junceum,Dopatrium,Plantaginaceae,14,240
Hydrocotyle comocarpa,Hydrocotyle,Araliaceae,5,77
Solanum aethiopicum,Solanum,Solanaceae,11,40
Sundamomum hastilabium,Sundamomum,Zingiberaceae,3,11
Ruscus hypophyllum,Ruscus,Asparagaceae,12,72
Sideroxylon mirmulans,Sideroxylon,Sapotaceae,3,54
Begonia gracilicyma,Begonia,Begoniaceae,1,86
Amaranthus polygonoides,Amaranthus,Amaranthaceae,19,135
Ipomoea muricata,Ipomoea,Convolvulaceae,11,40
Benstonea korthalsii,Benstonea,Pandanaceae,2,28
Clermontia grandiflora,Clermontia,Campanulaceae,4,81
Quercus takatorensis,Quercus,Fagaceae,4,96
Coccoloba microstachya,Coccoloba,Polygonaceae,12,151
Peripterygia marginata,Peripterygia,Celastraceae,3,230
Stenocarpus tremuloides,Stenocarpus,Proteaceae,2,31
Euphrasia venusta,Euphrasia,Orobanchaceae,9,160
Colubrina oppositifolia,Colubrina,Rhamnaceae,4,31
Didymocheton papuanus,Didymocheton,Meliaceae,5,59
Echium aculeatum,Echium,Boraginaceae,6,768
Sloanea celebica,Sloanea,Elaeocarpaceae,2,7
Linociera compacta,Chionanthus,Oleaceae,4,5
Diospyros subbullata,Diospyros,Ebenaceae,2,39
Aeonium decorum,Aeonium,Crassulaceae,5,162
Anthocleista microphylla,Anthocleista,Gentianaceae,3,34
Buchanania palawensis,Buchanania,Anacardiaceae,4,6
Vitis koberi,Vitis,Vitaceae,4,25
Viola hirta x odorata,Viola,Violaceae,6,62
Hopea bilitonensis,Hopea,Dipterocarpaceae,3,11
Adenocalymma acutissimum,Adenocalymma,Bignoniaceae,3,14
Neobrochoneura madagascariensis,Neobrochoneura,Myristicaceae,2,52
Allium chinense,Allium,Amaryllidaceae,6,82
Cyclanthera brachystachya,Cyclanthera,Cucurbitaceae,3,21
Epilobium obscurum x parviflorum,Epilobium,Onagraceae,6,20
Heteropterys aenea,Heteropterys,Malpighiaceae,2,7
Dendropemon bicolor,Dendropemon,Loranthaceae,2,47
Crocus cancellatus,Crocus,Iridaceae,6,9
Daphne composita,Daphne,Thymelaeaceae,2,62
Ferocactus chrysacanthus,Ferocactus,Cactaceae,3,20
Garcinia sulphurea,Garcinia,Clusiaceae,2,7
Limonium braunii,Limonium,Plumbaginaceae,2,10
Tillandsia polystachya,Tillandsia,Bromeliaceae,3,9
Xanthophyllum bracteatum,Xanthophyllum,Polygalaceae,2,15
Haworthiopsis hybrida,Haworthiopsis,Asphodelaceae,2,3
Dacryodes crassipes,Dacryodes,Burseraceae,2,4
Lomelosia variifolia,Lomelosia,Caprifoliaceae,4,45
Impatiens viguieri,Impatiens,Balsaminaceae,1,8
Juncus pusillus,Juncus,Juncaceae,8,169
Pterophylla eriocarpa,Pterophylla,Cunoniaceae,1,115
Isotrema tanzawanum,Isotrema,Aristolochiaceae,1,132
Amischotolype hirsuta,Amischotolype,Commelinaceae,2,48
Micranthes ursina,Micranthes,Saxifragaceae,4,4
Hypericum tosaense,Hypericum,Hypericaceae,2,5
Verbascum densiflorum x nigrum,Verbascum,Scrophulariaceae,2,12
Terminalia calcicola,Terminalia,Combretaceae,1,159
Macleaya kewensis,Macleaya,Papaveraceae,4,10
Saurauia brassii,Saurauia,Actinidiaceae,1,3
Erodium touchyanum,Erodium,Geraniaceae,2,13
Kayea hexapetala,Kayea,Calophyllaceae,1,27
Ilex victorinii,Ilex,Aquifoliaceae,1,15
Eurya kanehirai,Eurya,Pentaphylacaceae,1,6
Hibbertia podocarpifolia,Hibbertia,Dilleniaceae,1,127
Paratinospora dentata,Paratinospora,Menispermaceae,1,28
Adenia firingalavensis,Adenia,Passifloraceae,1,39
Tacca havilandii,Tacca,Dioscoreaceae,1,9
Duranta buxifolia,Duranta,Verbenaceae,2,2
Geniostoma imbricatum,Geniostoma,Loganiaceae,1,37
Gagea lojaconoi,Gagea,Liliaceae,2,4
Pittosporum loniceroides,Pittosporum,Pittosporaceae,1,50
Paepalanthus ekmanii,Paepalanthus,Eriocaulaceae,1,6
Tambourissa moheliensis,Tambourissa,Monimiaceae,1,6
Potamogeton apertus,Potamogeton,Potamogetonaceae,2,20
Lagerstroemia vanosii,Lagerstroemia,Lythraceae,1,5
Symplocos molobros,Symplocos,Symplocaceae,1,9
Viscum katikianum,Viscum,Viscaceae,1,4
Goeppertia umbrosa,Goeppertia,Marantaceae,1,3
Euploca madurensis,Euploca,Heliotropiaceae,1,2
Boerhavia gracillima,Boerhavia,Nyctaginaceae,1,2
Capparis cerasifolia,Capparis,Capparaceae,1,5
Cordia obtusa,Cordia,Cordiaceae,1,2
Scaevola verticillata,Scaevola,Goodeniaceae,1,2
Nepenthes monticola,Nepenthes,Nepenthaceae,1,2
Magnolia capellinii,Magnolia,Magnoliaceae,1,5
Smilax prolifera,Smilax,Smilacaceae,1,5
Couepia paraensis,Couepia,Chrysobalanaceae,1,1
Utricularia orbiculata,Utricularia,Lentibulariaceae,1,4
Betula prisca,Betula,Betulaceae,1,2
Camellia fraterna,Camellia,Theaceae,1,1
Oxalis albicans,Oxalis,Oxalidaceae,1,1
Berberis emarginata,Berberis,Berberidaceae,1,1
Cistus brevifolius,Cistus,Cistaceae,1,1
Bonnaya veronicaefolia,Bonnaya,Linderniaceae,1,1
Erythroxylon areolatum,Erythroxylum,Erythroxylaceae,1,2
Couroupita nicaraguarensis,Couroupita,Lecythidaceae,1,1
Ouratea acunae,Ouratea,Ochnaceae,1,1
Viburnum nordenskioeldi,Viburnum,Viburnaceae,1,1
Orchis anatolica,Orchis,Orchidaceae,23,800
Jacobaea pseudoarnica,Jacobaea,Asteraceae,112,935
Neolamarckia cadamba,Neolamarckia,Rubiaceae,23,292
Phaseolus vulgaris,Phaseolus,Fabaceae,84,1998
Zoysia matrella,Zoysia,Poaceae,127,697
Cyperus distans,Cyperus,Cyperaceae,71,834
Syzygium richii,Syzygium,Myrtaceae,13,27
Claoxylon tenerifolium,Claoxylon,Euphorbiaceae,22,90
Aronia melanocarpa,Aronia,Rosaceae,63,668
Metastelma blodgettii,Metastelma,Apocynaceae,14,40
Mentha villosa,Mentha,Lamiaceae,41,1237
Bellucia pentamera,Bellucia,Melastomataceae,5,106
Pterocymbium tinctorium,Pterocymbium,Malvaceae,19,133
Epacris microphylla,Epacris,Ericaceae,13,99
Calamus viminalis,Calamus,Arecaceae,7,10
Dicliptera verticillata,Dicliptera,Acanthaceae,6,35
Lindera sericea,Lindera,Lauraceae,6,1770
Heberdenia excelsa,Heberdenia,Primulaceae,7,209
Cyrtandra lagunae,Cyrtandra,Gesneriaceae,3,7
Phyllanthus juglandifolius,Phyllanthus,Phyllanthaceae,7,95
Alocasia sanderiana,Alocasia,Araceae,7,13
Ranunculus aconitifolius,Ranunculus,Ranunculaceae,17,173
