accepted_species,trait_layer,trait_name,provisional_candidate_value,matched_term,candidate_class,source,source_type,source_url,raw_description,evidence_scope,wild_or_cultivated,review_status,evidence_quote,source_chunk_id,source_text_sha256,extraction_method,model_provider,model_id,prompt_version,prompt_sha256,packet_input_sha256,ontology_sha256,extraction_run_id,confidence
Aglaia cucullata,M1_reproductive_assurance_pollen_vector,pollen_vector_mode,biotic,Pollinators. Insects.,reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Aglaia+cucullata,Pollinators. Insects.,species_direct,unknown,unreviewed_llm_extraction,Pollinators. Insects.,src_2fc0fa157e549c9fd3f1,60ec3e42b90afb0490942f4353999164d652fabb8db6893913419426b661c099,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Aglaia cucullata,M0_other_reported_trait,sex_system,dioecious,"A dioecious species, both male and female forms need to be grown if fruit and seed are required",reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Aglaia+cucullata,"A dioecious species, both male and female forms need to be grown if fruit and seed are required",species_direct,unknown,unreviewed_llm_extraction,"A dioecious species, both male and female forms need to be grown if fruit and seed are required",src_2fc0fa157e549c9fd3f1,60ec3e42b90afb0490942f4353999164d652fabb8db6893913419426b661c099,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Allium cassium,M0_floral_phenotype,flower_primary_color,multicolored_variable,Its flowers are white or light pink and bell-shaped.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_cassium,Its flowers are white or light pink and bell-shaped.,species_direct,unknown,unreviewed_llm_extraction,Its flowers are white or light pink and bell-shaped.,src_641c5b03674aaa866faf,71186a72e38e67662c8b43b7c150f1ff00a5c19bc5b802a8746effe9bcd339dd,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Allium cassium,M0_floral_phenotype,floral_form,bell_campanulate,Its flowers are white or light pink and bell-shaped.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_cassium,Its flowers are white or light pink and bell-shaped.,species_direct,unknown,unreviewed_llm_extraction,Its flowers are white or light pink and bell-shaped.,src_641c5b03674aaa866faf,71186a72e38e67662c8b43b7c150f1ff00a5c19bc5b802a8746effe9bcd339dd,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Allium cassium,M0_other_reported_trait,flower_size_class,small,"Additionally, they are 7 to 10mm long.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_cassium,"Additionally, they are 7 to 10mm long.",species_direct,unknown,unreviewed_llm_extraction,"Additionally, they are 7 to 10mm long.",src_641c5b03674aaa866faf,71186a72e38e67662c8b43b7c150f1ff00a5c19bc5b802a8746effe9bcd339dd,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Allium unifolium,M0_floral_phenotype,flower_primary_color,multicolored_variable,Flowers are up to 15 mm across; tepals usually pink but occasionally white; anthers yellow or purple.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_unifolium,Flowers are up to 15 mm across; tepals usually pink but occasionally white; anthers yellow or purple.,species_direct,unknown,unreviewed_llm_extraction,Flowers are up to 15 mm across; tepals usually pink but occasionally white; anthers yellow or purple.,src_572c1a0e152d849cb9ae,0cd493aac74a4af14494b090de3ff7fd93965bd6fb30da0d10b6a23fca9b4bde,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Allium unifolium,M0_other_reported_trait,flower_size_class,medium,Flowers are up to 15 mm across,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_unifolium,Flowers are up to 15 mm across,species_direct,unknown,unreviewed_llm_extraction,Flowers are up to 15 mm across,src_572c1a0e152d849cb9ae,0cd493aac74a4af14494b090de3ff7fd93965bd6fb30da0d10b6a23fca9b4bde,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Alternanthera echinocephala,M0_other_reported_trait,inflorescence_display,composite_display,"The flowers are grouped into somewhat rounded spikes (""heads"") about 10–15 mm (0.4–0.6 in) across.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Alternanthera_echinocephala,"The flowers are grouped into somewhat rounded spikes (""heads"") about 10–15 mm (0.4–0.6 in) across.",species_direct,unknown,unreviewed_llm_extraction,"The flowers are grouped into somewhat rounded spikes (""heads"") about 10–15 mm (0.4–0.6 in) across.",src_5f8e1b4d8861ebf1525d,f17e71770f14689af9b0dcf53c8b255e6df7a6cf884167386686b5030782ce87,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,high
Alternanthera echinocephala,M0_floral_phenotype,flower_primary_color,multicolored_variable,"The bracts are greenish-white, sometimes with pinkish tones. The small sepals are similar in colour",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Alternanthera_echinocephala,"The bracts are greenish-white, sometimes with pinkish tones. The small sepals are similar in colour",species_direct,unknown,unreviewed_llm_extraction,"The bracts are greenish-white, sometimes with pinkish tones. The small sepals are similar in colour",src_5f8e1b4d8861ebf1525d,f17e71770f14689af9b0dcf53c8b255e6df7a6cf884167386686b5030782ce87,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,medium
Alternanthera echinocephala,M0_other_reported_trait,flower_size_class,small,"The small sepals are similar in colour, only 5–10 mm (0.2–0.4 in) long.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Alternanthera_echinocephala,"The small sepals are similar in colour, only 5–10 mm (0.2–0.4 in) long.",species_direct,unknown,unreviewed_llm_extraction,"The small sepals are similar in colour, only 5–10 mm (0.2–0.4 in) long.",src_5f8e1b4d8861ebf1525d,f17e71770f14689af9b0dcf53c8b255e6df7a6cf884167386686b5030782ce87,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,bccb818f5155bb07805a576064c3a1224826afbe7850438d67fcbe2ccbabe3a1,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_6c49b56b8187b07b49d7,medium
