accepted_species,trait_layer,trait_name,provisional_candidate_value,matched_term,candidate_class,source,source_type,source_url,raw_description,evidence_scope,wild_or_cultivated,review_status,evidence_quote,source_chunk_id,source_text_sha256,extraction_method,model_provider,model_id,prompt_version,prompt_sha256,packet_input_sha256,ontology_sha256,extraction_run_id,confidence
Allium neriniflorum,M0_floral_phenotype,flower_primary_color,multicolored_variable,"Umbels contain only a few flowers, usually red or red-violet but sometimes white.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_neriniflorum,"Umbels contain only a few flowers, usually red or red-violet but sometimes white.",species_direct,unknown,unreviewed_llm_extraction,"Umbels contain only a few flowers, usually red or red-violet but sometimes white.",src_b7623ecd757bda733f5d,00113eee080d799233932b9d1f139c3b77343eb3eb4ab3788c8cdcfaacc19403,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Allium neriniflorum,M0_other_reported_trait,inflorescence_display,umbel_corymb,"Umbels contain only a few flowers, usually red or red-violet but sometimes white.",reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Allium_neriniflorum,"Umbels contain only a few flowers, usually red or red-violet but sometimes white.",species_direct,unknown,unreviewed_llm_extraction,"Umbels contain only a few flowers, usually red or red-violet but sometimes white.",src_b7623ecd757bda733f5d,00113eee080d799233932b9d1f139c3b77343eb3eb4ab3788c8cdcfaacc19403,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acacia longispicata,M0_floral_phenotype,flower_primary_color,yellow_orange,packed with golden flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_longispicata,packed with golden flowers,species_direct,unknown,unreviewed_llm_extraction,packed with golden flowers,src_4a64232ebbb947dec106,19a14ee09170393d3ac710951c8ce07649343b6451d69e3d1e8149f96ccf7f10,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acacia longispicata,M0_other_reported_trait,inflorescence_display,raceme_spike_panicle,producing flower-spikes that are 6 to 12 cm (2.4 to 4.7 in) in length,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_longispicata,producing flower-spikes that are 6 to 12 cm (2.4 to 4.7 in) in length,species_direct,unknown,unreviewed_llm_extraction,producing flower-spikes that are 6 to 12 cm (2.4 to 4.7 in) in length,src_4a64232ebbb947dec106,19a14ee09170393d3ac710951c8ce07649343b6451d69e3d1e8149f96ccf7f10,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acacia mangium,M1_reproductive_assurance_pollen_vector,self_incompatibility,SC,Self-fertile. Yes.,reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Acacia+mangium,Self-fertile. Yes.,species_direct,unknown,unreviewed_llm_extraction,Self-fertile. Yes.,src_66e79f44b08d189cc446,24ee8a8b04259eb2d27d4ad523454ee72905a4b03e8cf6ccea3cc2eb2bce0ed9,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acacia mangium,M1_reproductive_assurance_pollen_vector,pollen_vector_mode,biotic,Pollinators. Insects.,reported,llm_evidence_extraction,horticulture_site,https://tropical.theferns.info/viewtropical.php?id=Acacia+mangium,Pollinators. Insects.,species_direct,unknown,unreviewed_llm_extraction,Pollinators. Insects.,src_66e79f44b08d189cc446,24ee8a8b04259eb2d27d4ad523454ee72905a4b03e8cf6ccea3cc2eb2bce0ed9,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acacia truncata,M0_floral_phenotype,flower_primary_color,yellow_orange,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_truncata,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,species_direct,unknown,unreviewed_llm_extraction,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,src_f4cf5119740f2c271fb5,0f10b13a874585fd9db6783d6ce0eb24e5e9add7636a46019c8f16313c01589d,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acacia truncata,M0_floral_phenotype,floral_form,composite_head,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_truncata,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,species_direct,unknown,unreviewed_llm_extraction,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,src_f4cf5119740f2c271fb5,0f10b13a874585fd9db6783d6ce0eb24e5e9add7636a46019c8f16313c01589d,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,medium
Acacia truncata,M0_other_reported_trait,inflorescence_display,composite_display,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acacia_truncata,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,species_direct,unknown,unreviewed_llm_extraction,Flowerheads are globe-shaped and composed of 7-16 pale yellow flowers,src_f4cf5119740f2c271fb5,0f10b13a874585fd9db6783d6ce0eb24e5e9add7636a46019c8f16313c01589d,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,high
Acalypha ostryifolia,M0_floral_phenotype,flower_primary_color,multicolored_variable,The male flowers have four ovate greenish sepals often tinged red and no petals. The female flowers are also petal-less but have three styles which subdivide into white hairs which give the inflorescence a furry appearance.,reported,llm_evidence_extraction,wikipedia_extract,https://en.wikipedia.org/wiki/Acalypha_ostryifolia,The male flowers have four ovate greenish sepals often tinged red and no petals. The female flowers are also petal-less but have three styles which subdivide into white hairs which give the inflorescence a furry appearance.,species_direct,unknown,unreviewed_llm_extraction,The male flowers have four ovate greenish sepals often tinged red and no petals. The female flowers are also petal-less but have three styles which subdivide into white hairs which give the inflorescence a furry appearance.,src_55e39d0ae85ef42ab28a,726440da1520778996b799a1624671249dfeedd73a0e72785936fe3a99c96454,provider_neutral_llm_from_frozen_source_text,openai_codex_app,gpt-5,v2_llm_evidence_v1,90e71ff9c9cf7a64d8fb075a5ffbdba363b6e9cfa888398aaf801fe024580531,dbb3851b47204ea4fd112eddb0b76c9aeebe42a484ee2f82c1ac5a89c16e6572,65d38869476404aaaa7e6ae2392d94e60a6bbb83ea281d19756f806737175de1,llm_4d0511aa7bac74490359,medium
