candidate_id,trait_name,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,accepted_species,normalized_value,source_url,source_lineage,source_excerpt,deterministic_order
GRB1-0002,autonomous_selfing_capacity,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Vaccinium cylindraceum,autonomous,https://doi.org/10.1139/B07-136,doi:10.1139/B07-136,"The reproductive biology of Vaccinium cylindraceum Smith, an endemic species confined to the islands of the Azores archipelago, was studied in populations from seven islands. Data indicate that the breeding system of the species is facultative xenogamy with spontaneous autogamy playing a minor role in fruit development.",3c4bde3e6d82ba1ab1f36e7ade8ea2e06f730e584b86b7c6262c977d41f90776
WFO8-00259,floral_form,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Listia bainesii,papilionaceous,https://list.worldfloraonline.org/wfo-0000749699,provider_treatment:e_flora_south_africa:wfo-0000749699,"Corolla reddish, three times as long as the calyx, the keel and standard subequal, the wings small and shorter. Pod not seen.",1ae5bd17bc9fd5bacdbcb2a1aa576f0ea9cdd86a0a5d1ac1d3428e64eac11978
WFO8-00275,floral_form,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Millettia usaramensis,papilionaceous,https://list.worldfloraonline.org/wfo-0000200818,provider_treatment:flora_zambesiaca_kew:wfo-0000200818,"Corolla purple-blue or rose-coloured; standard 1.1 × 1.3 cm, cordate, not thickened or folded at the base, thinly white silky outside; claw 2–3 mm long; wing-blades 8–10 × 3.5–4 mm, narrowly oblong, pubescent at the tips with claw 6.5 mm long; blades of keel petals 10 × 5.5–7 mm, oblong-elliptic, pubescent at the tips, with claw 5.5 mm long.",922c09c89c2a103855b8c72f940139b12b1bd275c72bad7e2d535a1ba5bb7d4a
WFO8-00394,floral_form,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Xanthium spinosum,tubular,https://list.worldfloraonline.org/wfo-0000032434,provider_treatment:e_flora_south_africa:wfo-0000032434,"corolla tubular, 5-toothed",97f6b07281ae335d0d86d07729ee4581f1aef3bdfe43af9e30964555824a0f21
SEQ1-0001,floral_form,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Sicyos mawhai,open_radial,https://www.nzpcn.org.nz/flora/species/sicyos-mawhai/,provider:nzpcn_species_factsheet,"Male flowers: pedicels 3.5–27 mm long; hypanthium broadly campanulate, 3.8–4.2 mm diameter; calyx lobes linear, c.1.2mm long; corolla rotate, 7–13 mm in diameter, 5-lobed, the lobes rounded–triangular, 2.0–3.5 mm long; disc c.2 mm diameter; staminal column 1.8–2.2 mm long; staminal head 1.9–2.4 mm diameter.",af098181165e736dd370e9c8e40d9bd47cbf9f02291c482b3910bcadc8942a2f
SEQ3-0151,floral_form,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Valeriana excelsa,funnel_trumpet|tubular,https://pladias.cz/en/taxon/data/Valeriana%20excelsa,provider:pladias_corolla_shape,"Shape of the sympetalous corolla or syntepalous perianth : funnel-shaped, tubular",b57187c3d63f0521e5b50c80b500621cb44d67677f76615a91ec387dfcd3f44d
SEQ5-0099,floral_form,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Picris hieracioides,other_described,https://pladias.cz/en/taxon/data/Picris%20hieracioides,provider:pladias_corolla_shape,Shape of the sympetalous corolla or syntepalous perianth : ligulate,cb14dcba86c48a1fccedb74479a1fbf9eb7503d060dd0664d61500028adc83ff
SEQ3-0149,floral_symmetry,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Valeriana excelsa,zygomorphic,https://pladias.cz/en/taxon/data/Valeriana%20excelsa,provider:pladias_flower_symmetry_2017,Flower symmetry : zygomorphic,01fc067297e913e882d7f2a8348b124b1b96e4df814335461082058033f703d3
SEQ5-0097,floral_symmetry,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Picris hieracioides,zygomorphic,https://pladias.cz/en/taxon/data/Picris%20hieracioides,provider:pladias_flower_symmetry_2017,Flower symmetry : zygomorphic,11a8a1462661c46f2c36804595006de432c3bb27f8338450b58ca36cf3da5f4f
WFO8-03108,flower_primary_color,true,wild,Codex cached-artifact trait-specific recovery audit,2026-08-13T15:10:00Z,"Accepted-name species-direct record; exact source excerpt, stable URL, same-trait ontology mapping, provenance and source lineage rechecked.",Tetragonia echinata,green_brown_inconspicuous,https://list.worldfloraonline.org/wfo-0001292979,provider_treatment:e_flora_south_africa:wfo-0001292979,"Flowers subsessile, 2-4 in axils, greenish, stamens as many as sepals",054b7dd92aae7341f41d102a4bbe8b5a5ed6d75a652f05a103c6af4260284f62
