candidate_id,trait_name,accepted_species,normalized_value,source_url,source_excerpt,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,audit_hash
efloras-medium:e3dfe68f41edde3a53cb78f5,floral_form,Evolvulus alsinoides,open_radial,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200018836,"Corolla rotate, 7-10 mm in diam",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,0c23f967b4abec14bcdc475624dd8491040095e79a083346787a7d355b7226fc
efloras-medium:611b12ea92fdad555d95b699,floral_form,Premna serratifolia,bilabiate,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=210001755,"Corolla yellowish green, outside glandular, villous in throat, slightly 2-lipped;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,3542eb77b26c96a3126c5b6e91f4b772a40e10b25ce91b9b85b1f6a4435c33cb
efloras-medium:46ca9467940b2fd347ccaf51,floral_form,Spiranthes cernua,urn_urceolate,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=242101948,"Flowers white to ochroleucous, creamy, or ivory, occasionally green or rarely yellowish, nodding only at base of perianth or occasionally ascending, urceolate to gaping, base usually appearing only slightly inflated, claw of lip at low (less than 30°) angle to lamina, or occasionally not opening;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,395da4f498d92b4dbdcf5fa1fa798e6010804f71a59dcc6bd37b36688f32f530
efloras-medium:003e0c4a50a3910a78760d6d,floral_form,Fagraea ceilanica,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=210000541,"Corolla white, funnelform, tube 3--3.5 cm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,39ee551dbe859dd6b113ef748e8dc23f3f5e89506e5087b436c8b409eebfcd54
efloras-medium:aaba1a6335dc755328f9509b,floral_form,Mussaenda frondosa,salverform,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=220008890,"Corolla salverform, outside hirsute;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,3e98f274a6272f9fd2d08f7e7dfe75310fed2de3d27d4f1fa526de0161e93991
efloras-medium:1f712ba78a95c913db093c52,floral_form,Marah macrocarpa,open_radial,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250100814,"petals (1–)3–10(–12) mm (pistillate) or 5–8(–10) mm (staminate), corolla white, shallowly cupulate to rotate;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,4070addf37d250faa039fc622c1fbbd58540c43005a898da9f1e7847511a99c8
efloras-medium:0a98ebdbbeeb1c298081c2f7,floral_form,Disporum uniflorum,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=240001220,Flowers cylindric-campanulate,true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,40b438390655166bfeba255d4003cc0a21c12a04b92ba4d406c7eaaff592e99d
efloras-medium:0c98c87acda24beda12b44b9,floral_form,Cordia subcordata,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200018956,"Corolla orange, funnelform, 3.4-4.5 cm;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,45228ed25fa1c3af92b1877feba1c5b2e03cc2707bd32a78dc23e32cfa408a86
efloras-medium:54981e4b5589ecd0f814e00b,floral_form,Cuscuta californica,bell_campanulate,http://www.efloras.org/florataxon.aspx?flora_id=1&taxon_id=250131293,"corolla white, drying creamy white, 3–5 mm, tube cylindric-campanulate to obconic, 1.6–2.4 mm, not saccate or with horizontal ridges between stamen attachments, lobes reflexed, narrowly lanceolate, equaling or longer than corolla tube length, margins entire, apex acute, straight;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,47debeb2d9b87726e345d71598bff756c95c90b80b1255b6ffdd24940f024e09
efloras-medium:bc57b6dc5b73ee0a76a73eb7,floral_form,Gossypium hirsutum,funnel_trumpet,http://www.efloras.org/florataxon.aspx?flora_id=2&taxon_id=200013695,"Corolla white or yellowish, fading to reddish or purple, funnelform;",true,wild_species_description,OpenAI Codex evidence audit,2026-08-10T16:34:00.086436Z,accepted: exact species treatment quote supports normalized trait value; no cultivar context,4feea31672b2b1dea111b9edcc88405265c8cca12ca0b1a131b114ba7a82c27c
