candidate_id,accepted_species,trait_name,normalized_value,source_url,page_title,source_citation,source_tier,source_type,domain,language,supporting_excerpt,normalized_excerpt_sha256,content_fingerprint,name_match_method,wild_cultivated_cultivar_status,decision,species_identity_correct,value_correct,provenance_complete,cultivar_contamination,false_positive_reason,decision_reason,reviewer,reviewed_at_utc
2e3260db407a492a8c015dd3,Syzygium jambos,floral_symmetry,actinomorphic,https://plantsofhawaii.org/detail/%7BF83E4802-A6EC-49F2-98A0-9B18D74CEDE8%7D,Syzygium jambos (L.) Alston,"Bernice Pauahi Bishop Museum, Plants of Hawai'i species profile",A,museum_species_database,plantsofhawaii.org,en,"Flowers bisexual (perfect), actinomorphic.",7cc3ba5b989343feb8fbab04e0549d5a0c3065cf7f21aff1f1cb145045feb311,0eb1b067b731024826f1764d287f2aa29fe15b957b11c6538892f4e24aef09d6,accepted_name_exact,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
03f29550367af4151fa6030f,Erigeron canadensis,autonomous_selfing_capacity,autonomous,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/efetch.fcgi?db=pubmed&id=15502914&retmode=xml,Inheritance of evolved glyphosate resistance in Conyza canadensis,"Zelaya, Owen & VanGessel (2004), Theoretical and Applied Genetics 110:58-70, DOI 10.1007/s00122-004-1804-8",A,peer_reviewed_primary_article,eutils.ncbi.nlm.nih.gov,en,The autogamous nature of C. canadensis,cce4e0ab941c447808badf5b5299d3e996e3d86630d1e042bd406a8eb8a12be6,2ed095c28190b08a623378f643ce5ddc4374aa630b298640ba112f4cfcf786ab,exact_synonym,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
d68eddb03a9c1c6b7ddd3d3d,Aster kantoensis,mating_system,predominantly_outcrossing,https://oup.silverchair-cdn.com/article-minimal/2186764,Inbreeding depression and outcrossing rate in the endangered autotetraploid plant Aster kantoensis,"Inoue, Masuda & Maki (1998), Journal of Heredity 89:559-562, DOI 10.1093/jhered/89.6.559",A,peer_reviewed_primary_article,oup.silverchair-cdn.com,en,The multilocus estimate of outcrossing rate in the population is 0.883 +/- 0.064. The high value of inbreeding depression is consistent with the predominant outcrossing of the population.,0a8ee98c2ba9c99a9e6ce46dcaba58da6237d9e1bf24a769a4ac8a76d15807a9,5cda099dfc97ac4f2557549f79bcdd2e40f8b9448657d8932af4ff99f99e2ba3,accepted_name_exact,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
899fb26d7327bb9d39cf7548,Convolvulus sepium,mating_system,predominantly_outcrossing,https://natuurtijdschriften.nl/pub/551742,Over de middelen tot verspreiding van Calystegia (Convolvulus L.) Sepium R. Br.,"Vuyck (1895), Nederlandsch Kruidkundig Archief",A,historical_primary_natural_history_article,natuurtijdschriften.nl,fr,C. sepium est une plante exclusivement xenogame,ee041798b07a1a282d124d15610af02b2ce8c907dd90e7858ae507fd1e99548b,2423077fa9f9442e00870a7184406ec402ad7130c0b014221ac1fe20f4b0cfab,accepted_name_exact,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
6ac70ddb36582775a5b2ae7f,Lolium temulentum,autonomous_selfing_capacity,autonomous,https://pure.aber.ac.uk/ws/portalfiles/portal/29213471/Thomas_2019_Plants_People_Planet.pdf,Grass blindness,"Thomas (2019), Plants, People, Planet, DOI 10.1002/ppp3.28",A,peer_reviewed_species_review,pure.aber.ac.uk,en,L. temulentum is one of a group of three weedy self-fertile (autogamous) species.,85e94e00796c3448ad525c316ada8d25c4e91107c16a8ae7be399e65bd1f66ed,9ab62c79e09e7c1dd46dd27f9c10b2e9ad6bf78fff42a470fb982038ab51a73e,accepted_name_exact,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
9f34d2dab2379219ab3f3977,Festuca rubra,autonomous_selfing_capacity,autonomous,https://rid.unrn.edu.ar/bitstream/20.500.12049/3523/1/Gundel%20%282014%29%20Fungal%20endophyte%20mediated%20occurrence%20of%20seminiferous%20and%20pseudoviviparous%20panicles%20in%20Festuca%20rubra.pdf,Fungal endophyte mediated occurrence of seminiferous and pseudoviviparous panicles in Festuca rubra,"Gundel et al. (2014), Fungal Diversity 66:69-76, DOI 10.1007/s13225-014-0290-9",A,peer_reviewed_pollinator_exclusion_experiment,rid.unrn.edu.ar,en,"Two panicles in plants with four or more panicles were individually closed in waxed bags. In contrast to the presumption that F. rubra is strictly cross pollinated, 38 out of 664 bagged panicles produced seeds revealing that self-pollination frequently occur.",91f556f12801a37a547f8b5dd4f20a01d5bc82886a9a46ce4bbacb777d4a5305,cd9abfd64b84e6a4d679dd336b33756c547b776bf3f4217a3b71cafdd60af89d,accepted_name_exact,wild_source_populations_common_garden_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
90621fc93ae5ac18aaa6d100,Lactuca canadensis,autonomous_selfing_capacity,autonomous,https://dr.lib.iastate.edu/server/api/core/bitstreams/f7cd5881-f4d4-4a06-9432-c019cac76a01/content,Pollinators maintain biodiversity in assembling plant communities,"Soley & Wilsey (2026), Ecology 107:e70369, DOI 10.1002/ecy.70369; species statement cites Parrish & Bazzaz (1979)",A,peer_reviewed_article_species_statement,dr.lib.iastate.edu,en,"Three volunteer species were not treated because their seed production is not dependent on pollinators: Conyza canadensis and Lactuca canadensis, primarily autogamous annual forbs.",ee13c9ba1f74cb6a2330059e9fea7ff6e28560512c1df63dde9f0a4069cb4e03,5bb6322ac3e37fcb6fd7fa9fa9ba1c6833620a4320161bc0ab3d84c9e9488f90,accepted_name_exact,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
5cdb79c9fd8af31e41e0ca70,Nephelium lappaceum,self_incompatibility,SI,https://oup.silverchair-cdn.com/article-minimal/2660262,Reproductive patterns of selected understorey trees in the Malaysian rain forest: the sexual species,"Ha, Sands, Soepadmo & Jong (1988), Botanical Journal of the Linnean Society 97:295-316, DOI 10.1111/j.1095-8339.1988.tb01585.x",A,peer_reviewed_primary_article,oup.silverchair-cdn.com,en,the self-incompatible androdioecious Nephelium lappaceum,30adb30f26de5243fb84d73d1c63240f0fb1d80cf19d056aa1f94540be8de6d0,b77f6d4e9a52f04a7d8736d9db8484193c24844abad49a7f7a22df92f2361db4,accepted_name_exact,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
1a4a9174a12358b6f31ddbd4,Erigeron bonariensis,autonomous_selfing_capacity,autonomous,https://kops.uni-konstanz.de/server/api/core/bitstreams/75919609-eccf-4fc4-a176-06a43b25d151/content,A test of Baker's law: breeding systems of invasive species of Asteraceae in China,"Hao et al. (2011), Biological Invasions 13:571-580, DOI 10.1007/s10530-010-9850-4",A,peer_reviewed_pollinator_exclusion_experiment,kops.uni-konstanz.de,en,"Conyza bonariensis ... Self-compatible, autogamous",28a6c87e4b5740ef7b36f75e37a772a68e6337991ea87ee67ae0c717ed8b9279,4c6de2d7609ead0353ff2ac7be420880192a7d6eb7a11ba77ab773643d1f0da3,exact_synonym,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
9a19c2adbcd694aa419f6d3e,Erigeron sumatrensis,autonomous_selfing_capacity,autonomous,https://kops.uni-konstanz.de/server/api/core/bitstreams/75919609-eccf-4fc4-a176-06a43b25d151/content,A test of Baker's law: breeding systems of invasive species of Asteraceae in China,"Hao et al. (2011), Biological Invasions 13:571-580, DOI 10.1007/s10530-010-9850-4",A,peer_reviewed_pollinator_exclusion_experiment,kops.uni-konstanz.de,en,"Conyza sumatrensis ... Self-compatible, autogamous",87d4f918811bd14e53e89007fc744a0393bd5c410f9dd2079ee8818adca79375,08b9b87215855f225f942d473df773df65d350a4da5f597aa981d7625f03e5d7,exact_synonym,wild_species_not_cultivar_limited,accept,true,true,true,false,,"Accepted species or exact source-stated synonym identity, exact source statement, trait-specific mapping, source URL and retrieved-content hash rechecked; no cultivar, family inference, cross-trait substitution or global fallback.",Codex source-backed independent-lineage evidence audit,2026-08-13T09:42:00Z
