candidate_id,accepted_species,trait_name,normalized_value,source_url,page_title,exact_supporting_quote,content_fingerprint,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason,source_lineage,source_provider,source_citation,source_excerpt,audit_hash
iospe-colour:bf75c1c2a05df1f229b134d3,Epidendrum wrightii,flower_primary_color,red_pink|white,https://www.orchidspecies.com/epidwrightii.htm,IOSPE PHOTOS,"has lanceolate, acute leaves, rhombic, straight, 5-veined petals, the elliptic, acute, straight, 5-veined sepals and the subquadrate lip in general outline, slightly longer than wide, the outline irregular dentate-laciniate, the lip formed by subequal, suborbicular lobes, the apical ones being somewhat larger; the flowers are pink, with a white blotch on the disc covering more than the callus. It resembles",c00cf75f11e6c5e81d7c44e9897a26b609195c94de03d593c705b06a402abbdd,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/epidwrightii.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Epidendrum wrightii","has lanceolate, acute leaves, rhombic, straight, 5-veined petals, the elliptic, acute, straight, 5-veined sepals and the subquadrate lip in general outline, slightly longer than wide, the outline irregular dentate-laciniate, the lip formed by subequal, suborbicular lobes, the apical ones being somewhat larger; the flowers are pink, with a white blotch on the disc covering more than the callus. It resembles",043582f6c62ddd02cfa22c97e5876fc2d073215259a95bf2e3d9fd6afefcc516
iospe-colour:aaafc6d8191df78c7ae299c6,Epidendrum laucheanum,flower_primary_color,blue_purple|green_brown_inconspicuous|yellow_orange,https://www.orchidspecies.com/epilaucheanum.htm,IOSPE PHOTOS,"which is characterized by the caespitose habit, short, unbranched, laterally compressed stems, thick, coriaceous leaves, and the long, arching, nutant, rat-tail-like inflorescence with a long bracts at the base, and the numerous, successive flowers. The species is recognized by the large plants 28 to 36"" [70 to 90 cm] tall with linear-lanceolate, acuminate leaves up to 8.6"" [21.5 cm] long, the margin revolute, the long, racemose, rat-tail inflorescence 10 to 32"" [25 to 80 cm] long), up to 80 flowered, the flowers fleshy, ochre to purple-brown, with the lip apple-green, and the column ending in a pair of lateral teeth.",5576df19ab7a2afa570d6f75f46c87b16f7628d0799d9c14a618ab3380dd9496,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/epilaucheanum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Epidendrum laucheanum","which is characterized by the caespitose habit, short, unbranched, laterally compressed stems, thick, coriaceous leaves, and the long, arching, nutant, rat-tail-like inflorescence with a long bracts at the base, and the numerous, successive flowers. The species is recognized by the large plants 28 to 36"" [70 to 90 cm] tall with linear-lanceolate, acuminate leaves up to 8.6"" [21.5 cm] long, the margin revolute, the long, racemose, rat-tail inflorescence 10 to 32"" [25 to 80 cm] long), up to 80 flowered, the flowers fleshy, ochre to purple-brown, with the lip apple-green, and the column ending in a pair of lateral teeth.",0fb88d261ab3f60594288c02b3acd92d5bc8acd0858b65b1fea1de2c27edc7bc
iospe-colour:e681d46826841d53c3c17a2c,Bulbophyllum simile,flower_primary_color,red_pink|white,https://www.orchidspecies.com/bulberythrochilum.htm,IOSPE PHOTOS,Schlechter states that the flowers of B erythrochilum are white with a cinnabar red lip .,6b5c53cfb048ac6adaf077f57278311c23f5f5ff1dd213dac3a89feec95ac30f,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/bulberythrochilum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Bulbophyllum simile",Schlechter states that the flowers of B erythrochilum are white with a cinnabar red lip .,0fc745c371c340ad3e12a10a915fb5178ed9eec40914b5cd8d5dd8ff67eb92ed
iospe-colour:16f6b2bead1d5252bffa25d8,Oberonia arcuata,flower_primary_color,yellow_orange,https://www.orchidspecies.com/oberarcuata.htm,IOSPE PHOTOS,"Found in New Guinea at elevations around 800 to 1000 meters as a mini-miniature sized, warm growing epiphyte with a very short rhizome giving rise to an erect, subflexuous, short, densely leafy stem carrying 7 to 8, erect-patent, linear, acute, somewhat falcate-oblique, glabrous leaves that blooms in the spring on an arcuate, short, to 1.4"" [3.5 cm] long, densely many flowered inflorescence with lanceolate, acuminate, subdentate margin, glabrous, more or less equal to the ovary floral bracts and carrying pale terracotta with a yellow spot on the lip.",9733685f3c9edb51903015933cac416828fcc6b715963edef4340a649974dab5,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/oberarcuata.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Oberonia arcuata","Found in New Guinea at elevations around 800 to 1000 meters as a mini-miniature sized, warm growing epiphyte with a very short rhizome giving rise to an erect, subflexuous, short, densely leafy stem carrying 7 to 8, erect-patent, linear, acute, somewhat falcate-oblique, glabrous leaves that blooms in the spring on an arcuate, short, to 1.4"" [3.5 cm] long, densely many flowered inflorescence with lanceolate, acuminate, subdentate margin, glabrous, more or less equal to the ovary floral bracts and carrying pale terracotta with a yellow spot on the lip.",1965a6a803f7d40c5af4c675d60fc334dc711695109391aa91f2d9f3a9b94172
iospe-colour:99c1d8ab913ac10cba375913,Ceratostylis robusta,flower_primary_color,white,https://www.orchidspecies.com/ceratrobusta.htm,IOSPE PHOTOS,. The Comber specimen has whiter cupped sepals and petals and a much longer rounded lip that appears to be cleft at the apex. This species photo does agree nicely with Hooker's and Seidenfaden's drawings.,c334c1504928dbebe3ecc8669e53c5e5e966cb0bacb03fcbd9abdeba704795fa,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/ceratrobusta.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Ceratostylis robusta",. The Comber specimen has whiter cupped sepals and petals and a much longer rounded lip that appears to be cleft at the apex. This species photo does agree nicely with Hooker's and Seidenfaden's drawings.,2c5419b7d49899ed9fb24d4dd79b04d087fa8188c7c73e4db4cb3a3b4f0b378c
iospe-colour:27fd501085be8283d717095b,Epidendrum cryptopateras,flower_primary_color,red_pink|yellow_orange,https://www.orchidspecies.com/epicryptopateras.htm,IOSPE PHOTOS,"which is characterized by the caespitose habit, erect, simple, cane-like stems, a normally elongate peduncle of the inflorescence, an erect raceme of generally resupinate, showy, colorful flowers, and a lip adorned by two calli and a median narrow keel. The new species is recognized by the terrestrial habit, bright red non-resupinate flowers with the anther, apical lobes of the column, calli and mid-rib of the lip yellow, petals oblong-elliptic, obtuse, lip deeply 3-lobed, base somewhat cordate; lateral lobes sub-quadrate, mid-lobe formed by a narrow isthmus in the basal half, apical half bilobed the lobes divergent, sub-quadrate, the distal margin dentate-laciniate, with a mucro in the apical sinus. At first sight it appears to be the XIX century hybrid",6a601b17d72a5aa3f0a6620d8285f5e51eb4cad3c56bbebd1fc02c8501685ddb,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/epicryptopateras.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Epidendrum cryptopateras","which is characterized by the caespitose habit, erect, simple, cane-like stems, a normally elongate peduncle of the inflorescence, an erect raceme of generally resupinate, showy, colorful flowers, and a lip adorned by two calli and a median narrow keel. The new species is recognized by the terrestrial habit, bright red non-resupinate flowers with the anther, apical lobes of the column, calli and mid-rib of the lip yellow, petals oblong-elliptic, obtuse, lip deeply 3-lobed, base somewhat cordate; lateral lobes sub-quadrate, mid-lobe formed by a narrow isthmus in the basal half, apical half bilobed the lobes divergent, sub-quadrate, the distal margin dentate-laciniate, with a mucro in the apical sinus. At first sight it appears to be the XIX century hybrid",2ce9fd689b6bc0f62510b81b524a41067ecb49081ff91017b3fde81b29e2c41b
iospe-colour:ce2ffd979c907699ad0a412a,Epidendrum dodii,flower_primary_color,white,https://www.orchidspecies.com/epidodii.htm,IOSPE PHOTOS,"Found in the northern part of Dominican Republic on trees at elevations around 300 meters as a miniature sized, hot growing epiphyte with cane-like, simple, laterally compressed stems carrying 5 to 8, narrowly elliptic-oblong, retuse leaves that blooms in the fall on a terminal, occuring only once, arising on a mature stem, to 1"" [2.5 cm] long, single flowered inflorescence with shorter than the ovary, ovate, acute floral bracts and carrying resupinate, cream colored flowers.",2180d340eb640eba151b4f1fa086aba154f27878f9f54f0ddfc667285bbcdb7a,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/epidodii.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Epidendrum dodii","Found in the northern part of Dominican Republic on trees at elevations around 300 meters as a miniature sized, hot growing epiphyte with cane-like, simple, laterally compressed stems carrying 5 to 8, narrowly elliptic-oblong, retuse leaves that blooms in the fall on a terminal, occuring only once, arising on a mature stem, to 1"" [2.5 cm] long, single flowered inflorescence with shorter than the ovary, ovate, acute floral bracts and carrying resupinate, cream colored flowers.",397017feb8b5c7c59d9695a9ac2fadff7d0eb47d9278cbf366b1d2877e679cc1
iospe-colour:e09fcd34fa287150a7e6c770,Epidendrum neoporpax,flower_primary_color,green_brown_inconspicuous|white,https://www.orchidspecies.com/epineoporpax.htm,IOSPE PHOTOS,"differs by the larger plant, slightly thickened stems, 1 to 2, apical, linear-oblong or linear-lanceolate, suberect, very fleshy-thickened leaves, and the white (rarely greenish white) flowers, the sepals .3 to .4"" [7.5 to 10 mm] long, and the triangular-cordiform lip with two very small calli."" Adapted from E octomerioides Icones 9 Plate 967 Hagsater etal 2007",218213f791597fddc3cea6ff81a91f4f2b18f32d9ba755e2caaf54887200f017,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/epineoporpax.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Epidendrum neoporpax","differs by the larger plant, slightly thickened stems, 1 to 2, apical, linear-oblong or linear-lanceolate, suberect, very fleshy-thickened leaves, and the white (rarely greenish white) flowers, the sepals .3 to .4"" [7.5 to 10 mm] long, and the triangular-cordiform lip with two very small calli."" Adapted from E octomerioides Icones 9 Plate 967 Hagsater etal 2007",3f7fce20345c82698aee37b74b73b0bb00342b28497a4884313ac0eac3621817
iospe-colour:57fad56dbd5d970a1824c284,Habenaria vanoverberghii,flower_primary_color,green_brown_inconspicuous,https://www.orchidspecies.com/habvanoverbergii.htm,IOSPE PHOTOS,"Found in Luzon the Philippines in wet soils at elevations around 1300 meters as a small to medium sized, cool growing terrestrial with spheroid to slightly elongate tuber giving rise to an erect, stem carrying 2 to 4, basal, in a rosette, lanceolate, acute, variable in size, sessile leaves that blooms in the later summer on an erect, terminal, peduncle, 4 to 12"" [10 to 30 cm] long, provided with 2 to 4 adpressed, acuminate, acute, tubular bracts, rachis lax, 1.6 to 2.8"" [4 to 7 cm] long, 3 to 9 flowered inflorescence with shorter than the ovary, narrowly lanceolate, long acuminate floral bracts and carrying green flowers.",b9a73c54583a479445e2b4a405adedf059000bf8e07b42f9cd9f2c027aa330e0,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/habvanoverbergii.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Habenaria vanoverberghii","Found in Luzon the Philippines in wet soils at elevations around 1300 meters as a small to medium sized, cool growing terrestrial with spheroid to slightly elongate tuber giving rise to an erect, stem carrying 2 to 4, basal, in a rosette, lanceolate, acute, variable in size, sessile leaves that blooms in the later summer on an erect, terminal, peduncle, 4 to 12"" [10 to 30 cm] long, provided with 2 to 4 adpressed, acuminate, acute, tubular bracts, rachis lax, 1.6 to 2.8"" [4 to 7 cm] long, 3 to 9 flowered inflorescence with shorter than the ovary, narrowly lanceolate, long acuminate floral bracts and carrying green flowers.",48edb506bac5a6939e4962a0a3436c3b3c429dc64bb6d7246634c67d8df57274
iospe-colour:7c6e3dcf3cbb1b0078352582,Angraecum humblotianum,flower_primary_color,white,https://www.orchidspecies.com/anghumblotianum.htm,IOSPE PHOTOS,"Found in eastern Madagascar and the Comoros Islands at elevations of sea level to 900 meters as a miniature sized, hot to warm growing epiphyte with an erect, rigid, simple to branched stem carrying numerous, alternate 2 ranked, very thick, fleshy, linear-cylindric, narrow leaves that blooms in the summer on an axillary, single flowered inflorescence with an obtuse and very wide floral bract and carrying a small white flower",4465766ecf1b5a14f1a1e7c42bab7405f1ab91b9c294584a3a426d5d5cb9bb98,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/anghumblotianum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Angraecum humblotianum","Found in eastern Madagascar and the Comoros Islands at elevations of sea level to 900 meters as a miniature sized, hot to warm growing epiphyte with an erect, rigid, simple to branched stem carrying numerous, alternate 2 ranked, very thick, fleshy, linear-cylindric, narrow leaves that blooms in the summer on an axillary, single flowered inflorescence with an obtuse and very wide floral bract and carrying a small white flower",5df1820d077f2981b010a88f2fc4253451dfaf5d9d71d60d8f0ec28eb640b574
iospe-colour:bdf9ab4bbf06d02548cdf72c,Liparis ambohimangana,flower_primary_color,green_brown_inconspicuous|yellow_orange,https://www.orchidspecies.com/lipambohimagana.htm,IOSPE PHOTOS,"Found in east central Madagascar in shady areas by rocks in clay at elevations around 1000 to 1600 meters as a mini-miniature sized, cool growing terrestrial with a very short rhizome giving rise to several filiform, white, very long stolons developing into a new plant at the apex, with 2, very small, enveloped by whitish sheaths and the newest pseudobulbcarrying a single, lanceolate-acute, attenuate towards both ends leaf that blooms in the late summer and fall on an erect, 1 to 7 flowered inflorescence with 1/2 as long to as long as the pedicel floral bracts and carrying greenish to pale yellow flowers",0ad363f7243c6c88edd8af8663e1dee32308e4b8c4008414f200eefe09f6c2b4,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/lipambohimagana.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Liparis ambohimangana","Found in east central Madagascar in shady areas by rocks in clay at elevations around 1000 to 1600 meters as a mini-miniature sized, cool growing terrestrial with a very short rhizome giving rise to several filiform, white, very long stolons developing into a new plant at the apex, with 2, very small, enveloped by whitish sheaths and the newest pseudobulbcarrying a single, lanceolate-acute, attenuate towards both ends leaf that blooms in the late summer and fall on an erect, 1 to 7 flowered inflorescence with 1/2 as long to as long as the pedicel floral bracts and carrying greenish to pale yellow flowers",5eca053275b11f3bebce38778ca25536131f0f397e92b8b4ef61e2b3473b06ad
iospe-colour:1cca246db251aab1124a4f11,Dendrobium globiflorum,flower_primary_color,red_pink|white|yellow_orange,https://www.orchidspecies.com/denglobiferum.htm,IOSPE PHOTOS,"Schlechter states that the flowers are white, the papillae at the base of the lip are orange red and the column is yellow with a darker striped foot.",24217f7c8288eef92179368e4d89396077da26f6af076c55877268c2116703e2,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/denglobiferum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Dendrobium globiflorum","Schlechter states that the flowers are white, the papillae at the base of the lip are orange red and the column is yellow with a darker striped foot.",605a569ac692ede26e49b7333c32a8d3a8f95b42b67e4e5c69c8541b3f50fa74
iospe-colour:39fbbfd7cf1a9e03decc77b1,Angraecum undulatum,flower_primary_color,green_brown_inconspicuous|yellow_orange,https://www.orchidspecies.com/angundulatum.htm,IOSPE PHOTOS,"Found in Reunion in humid forests without elevational data as a small sized, higher elevation, cool to cold growing epiphyte with an erect, short stem carrying 2 ranked , well spaced, .4 to .6"" [1 to 1.5 cm] apart, lanceolate, basally twisted leaves to lie in one plane, obliquely bilobed apically, undulate margined leaves that blooms on short to 1"" [2.5 cm] long, 2 to 3 flowered inflorescence carrying small greenish-yellow flowers.",09879439872fe800ee685e4baeed5c8ee8c9f1a3c8ea0ce5431874dfeb4c31fd,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/angundulatum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Angraecum undulatum","Found in Reunion in humid forests without elevational data as a small sized, higher elevation, cool to cold growing epiphyte with an erect, short stem carrying 2 ranked , well spaced, .4 to .6"" [1 to 1.5 cm] apart, lanceolate, basally twisted leaves to lie in one plane, obliquely bilobed apically, undulate margined leaves that blooms on short to 1"" [2.5 cm] long, 2 to 3 flowered inflorescence carrying small greenish-yellow flowers.",6160770f638ac14b6ed82f13badba74189b2d2a785b4c0e343727a113409f3a1
iospe-colour:1e73a00777cf783ca8152e28,Dendrobium pulvinatum,flower_primary_color,blue_purple|red_pink|yellow_orange,https://www.orchidspecies.com/denpulvinatum.htm,IOSPE PHOTOS,"Schlechter states that the flowers are pale yellow, the lip has small violet tubercles, orange red crests and a violet callus and the column foot has an orange spot.",c6854689840195d6c3593fa5cc1fd7bad8d0cfcb34e63c938f625f9b67313b7b,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/denpulvinatum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Dendrobium pulvinatum","Schlechter states that the flowers are pale yellow, the lip has small violet tubercles, orange red crests and a violet callus and the column foot has an orange spot.",618663a7aa1c61c9c15c2a6ec3f0b12000744076782656a9b7849a5eb5804194
iospe-colour:c37f24f91f7fa73590367a54,Dendrobium kaniense,flower_primary_color,white|yellow_orange,https://www.orchidspecies.com/denkaniense.htm,IOSPE PHOTOS,"Schlechter states that the flowers are yellowish on the outside, white internally and the lip is golden yellow in the center.",7960c889b56e90abce25e73b29a6afdccae381f60d4a9489e0e537a9bd6930a1,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/denkaniense.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Dendrobium kaniense","Schlechter states that the flowers are yellowish on the outside, white internally and the lip is golden yellow in the center.",618d58a95b0c1366d602d5c763ec87bc2d13283e5fbcf5912730eb5e70659625
iospe-colour:f582b71b9392bccf0379f8e7,Glomera grandiflora,flower_primary_color,red_pink|white,https://www.orchidspecies.com/glomgrandiflora.htm,IOSPE PHOTOS,Schlechter states the flowers are white with cinnabar red bar across the apex of the lip.,7e35f77e0b124b43b666e3db3bcbbff74758061594cd4d8f41ecf9e404938b5b,true,wild_or_unspecified_species_treatment,OpenAI Codex direct source-text final holdout review,2026-08-12T03:35:17Z,accepted_exact_species_heading_and_explicit_orchid_flower_colour_quote,url:https://www.orchidspecies.com/glomgrandiflora.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Glomera grandiflora",Schlechter states the flowers are white with cinnabar red bar across the apex of the lip.,6242df0294d8bfedf018381e48d92e7163e8cb81f98b5562d5973ed56f012698
