accepted_correct,accepted_species,audit_hash,audit_reason,audit_row,candidate_id,content_fingerprint,cultivar_status,development_row,exact_supporting_quote,normalized_value,page_title,reviewed_at_utc,reviewer,source_citation,source_excerpt,source_lineage,source_provider,source_url,trait_name
True,Epidendrum insulanum,000cec5ccb66631d6de716050b96c52d64e5c2f364bcf660f469266827b6f6a0,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:8c50ec50688b06c7deb83298,941fa23e70a92c8afc7c4782af2e0024f5b107541524b2d26428209b2d4a5c45,wild_or_unspecified_species_treatment,1,which has long laterally flattened stems which produce short secondary flowering stems with 1 to 3 white to greenish white flowers with 3-veined sepals; and,green_brown_inconspicuous|white,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Epidendrum insulanum",which has long laterally flattened stems which produce short secondary flowering stems with 1 to 3 white to greenish white flowers with 3-veined sepals; and,url:https://www.orchidspecies.com/epiinsulanum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/epiinsulanum.htm,flower_primary_color
True,Habenaria congesta,00542acc5df7866c727a5cbebeffa3179761839fe85e0414c535617f43d19db3,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:5b8d9e9316c3bb5d8dab163d,cba991ccc013bf6a4e2e1ede121abe826ecaeccbdcc057f383e87e062167cb33,wild_or_unspecified_species_treatment,2,"Found in the Philippines on dry hilltops and open areas near sea level to 88 meters as a small sized, hot to warm growing growing terrestrial withtubers giving rise to a graceful, erect stem carrying linear, grass-like, acute, grading to bracts above leaves that blooms in the later fall and winter on a dense, cylindrical to spicate, congested, many flowered inflorescence carrying white flowers",white,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Habenaria congesta","Found in the Philippines on dry hilltops and open areas near sea level to 88 meters as a small sized, hot to warm growing growing terrestrial withtubers giving rise to a graceful, erect stem carrying linear, grass-like, acute, grading to bracts above leaves that blooms in the later fall and winter on a dense, cylindrical to spicate, congested, many flowered inflorescence carrying white flowers",url:https://www.orchidspecies.com/habcongesta.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/habcongesta.htm,flower_primary_color
True,Hymenorchis caulina,008443965b90646aad43a3cf6c5f3ec8f3464236314b9c61cdadf30a61e761a5,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:5c45a0d9b1bc24e4625a3dfd,2988a77c0208bdf5539acde115f7e87f49246aee2a4f2b39253cda41571fef8d,wild_or_unspecified_species_treatment,3,Schlechter stated that the flowers are pale yellow with a green lip lamina.,green_brown_inconspicuous|yellow_orange,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Hymenorchis caulina",Schlechter stated that the flowers are pale yellow with a green lip lamina.,url:https://www.orchidspecies.com/hymcaulina.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/hymcaulina.htm,flower_primary_color
True,Bulbophyllum quasimodo,008ae1101cf1e9917a603c2e831e9086e1547490513843c1289e3daeb02624e1,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:138b0dc126ad5c0ddd06e609,680107a82dfb44a8c5f827960cf225ee83719714633b67549623179345840158,wild_or_unspecified_species_treatment,4,"Found in New Guinea in primary forests at elevations of 100 to 2000 meters as a mini-miniature sized, hot to cool growing epiphyte with a creeping rhizome with .04 to 1.2"" [.1 to 3 cm] between each discoid to ovoid, not flattened pseudobulb carrying a single , apical, elliptic, obtuse apically, shortly petiolate base leaf that blooms in the summer and winter on a usually single to few, peduncle .32 to .8"" [.8 to 2 cm] long, with 2 to 3 bracts, .6 to 2.6"" [1.5 to 6.5 cm] long overall, rachis erect to arching, distinctly zig zag bent, to 1.8"" [to 4.5 cm] long, successively single, to 20 flowered inflorescence with triangular, acute apically floral bracts and carrying scattered, moderately opening, pale green to greenish brown flowers.",green_brown_inconspicuous,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Bulbophyllum quasimodo","Found in New Guinea in primary forests at elevations of 100 to 2000 meters as a mini-miniature sized, hot to cool growing epiphyte with a creeping rhizome with .04 to 1.2"" [.1 to 3 cm] between each discoid to ovoid, not flattened pseudobulb carrying a single , apical, elliptic, obtuse apically, shortly petiolate base leaf that blooms in the summer and winter on a usually single to few, peduncle .32 to .8"" [.8 to 2 cm] long, with 2 to 3 bracts, .6 to 2.6"" [1.5 to 6.5 cm] long overall, rachis erect to arching, distinctly zig zag bent, to 1.8"" [to 4.5 cm] long, successively single, to 20 flowered inflorescence with triangular, acute apically floral bracts and carrying scattered, moderately opening, pale green to greenish brown flowers.",url:https://www.orchidspecies.com/bulbquasimodo.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/bulbquasimodo.htm,flower_primary_color
True,Liparis bibullata,00bcb93028d358ede871955568196305b53e0713902beb342a547cc7f50f84d8,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:e3d70430e3194854101470c1,cbf5a862656a56a54463dd5e08751322e788d249771201902ce96654500fcc53,wild_or_unspecified_species_treatment,5,"Found in northern Sumatra in Gayo Lues Regency as a warm to cool growing terrestrial with small compressed, ovoid pseudobulbs carrying a single apical, linear, acute leaf blooming on pale yellowish green with the margins suffused with orange brown, peduncle flattened, sword like, 3.2 to 7.2"" [8 to 18 cm] long, , the rachis flattened, quadrangular in coss-section, 1.2 to 1.6"" [3 to 4 cm] long, successively single, several flowered inflorescence carrying pale brick red flowers.",red_pink,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Liparis bibullata","Found in northern Sumatra in Gayo Lues Regency as a warm to cool growing terrestrial with small compressed, ovoid pseudobulbs carrying a single apical, linear, acute leaf blooming on pale yellowish green with the margins suffused with orange brown, peduncle flattened, sword like, 3.2 to 7.2"" [8 to 18 cm] long, , the rachis flattened, quadrangular in coss-section, 1.2 to 1.6"" [3 to 4 cm] long, successively single, several flowered inflorescence carrying pale brick red flowers.",url:https://www.orchidspecies.com/lipbibullata.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/lipbibullata.htm,flower_primary_color
False,Ceratostylis malintangensis,01b613867ca573e2e1cd1c007ef13a9aa4d5fcaf4015bed5f3fa9e982edbe7c0,rejected_incomplete_multistate_value_mapping,,iospe-colour:fe991a950d6ce17ed445f192,1873b9814e8e18434e0b9c10548af8d54ef5fdabc946a281e50fc5efd66d1838,wild_or_unspecified_species_treatment,6,"Found in western Sumatra at elevations around 1800 to 2000 meters as a small sized, cool growing epiphyte with a long pendulous, branching rhizome giving rise to fleshy, truncate pseudobulbs carrying a single linear, margins shortly incurved, acute leaf that blooms on fasciles of peduncles thin, 1.16"" [2.9 cm] long, hairy, single flowered inflorescence carrying fleshy, mostly yellow with red stripes, mostly externally hairy flowers.",red_pink,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Ceratostylis malintangensis","Found in western Sumatra at elevations around 1800 to 2000 meters as a small sized, cool growing epiphyte with a long pendulous, branching rhizome giving rise to fleshy, truncate pseudobulbs carrying a single linear, margins shortly incurved, acute leaf that blooms on fasciles of peduncles thin, 1.16"" [2.9 cm] long, hairy, single flowered inflorescence carrying fleshy, mostly yellow with red stripes, mostly externally hairy flowers.",url:https://www.orchidspecies.com/ceratmalitangensis.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/ceratmalitangensis.htm,flower_primary_color
False,Vanilla madagascariensis,01d68e960717e84cffd8ece369d712e481fe85b756c814f8db3893aa8902ef56,rejected_comparative_or_negated_not_species_direct,,iospe-colour:5daae24c32acaa85599fecbb,39c3178ff2d66da7ee9227e11c0a24dfa3a33a00cc80023f97840cb47ac1c771,wild_or_unspecified_species_treatment,7,"from E Africa. All three have large, white flowers with pink to apricot throat to the lip, but they differ in the lip lobing. They have some of the most spectacular flowers in Vanilla."" Soto Arenas & Cribb 2010",red_pink|white,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Vanilla madagascariensis","from E Africa. All three have large, white flowers with pink to apricot throat to the lip, but they differ in the lip lobing. They have some of the most spectacular flowers in Vanilla."" Soto Arenas & Cribb 2010",url:https://www.orchidspecies.com/vanmadagascarensis.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/vanmadagascarensis.htm,flower_primary_color
True,Bulbophyllum hystricinum,020fb8500ef1eaaedea4c7e2dbe03eddfc860a55c8b9f0c9d9a7de2f392e9f8c,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:5b4c952ac015e372a6f4fc4b,4b761d409cd1b3ed884ddb3a2872c88c95a54caa9fa2550f379dd64adb768e92,wild_or_unspecified_species_treatment,8,Schlechter states that the flowers are yellow the upper half of the petals are dark purple and the lip is dark purple with a yellow apex.,blue_purple|yellow_orange,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Bulbophyllum hystricinum",Schlechter states that the flowers are yellow the upper half of the petals are dark purple and the lip is dark purple with a yellow apex.,url:https://www.orchidspecies.com/bulbhystracinum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/bulbhystracinum.htm,flower_primary_color
True,Bulbophyllum theiochroma,0278d2eff3eb2f4ccd20d5995a19c48be6b8b5e06faa49d31e7d2f47481f7e1b,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:c17ad410b5fae9cca10c3225,446fbbbe4bfabc8ed8c7a4f2fd54cc7163ede0114ec755e1ead08fcd544bda79,wild_or_unspecified_species_treatment,9,"Found in western New Guinea in subalpine grasslands at elevations around 2400 meters as a mini-miniature sized, cold growing terrestrial with a short rhizome giving rise to close set, initially enclosed by tubular sheaths, elliptic, oblong, to cylindrical, longitudinally rugose-ribbed pseudobulbs carrying a single, apical, oblong-elliptic to lanceolate, obtuse, very shortly obtusely apiculate, coriaceous, midrib above grooved, beneath keel-like, channeled below into the petiolate base leaf that blooms in the summer on fasciculate, many (to c. 18), peduncle filiform, c. 1.88 to 4"" [4.7 to 10 cm] long, provided with a few small, tubular, keeled sheaths, single flowered inflorescence with obliquely narrowly infundibuliform-tubular, laterally compressed, keeled, apiculate floral bracts and carrying yellow flowers.",yellow_orange,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Bulbophyllum theiochroma","Found in western New Guinea in subalpine grasslands at elevations around 2400 meters as a mini-miniature sized, cold growing terrestrial with a short rhizome giving rise to close set, initially enclosed by tubular sheaths, elliptic, oblong, to cylindrical, longitudinally rugose-ribbed pseudobulbs carrying a single, apical, oblong-elliptic to lanceolate, obtuse, very shortly obtusely apiculate, coriaceous, midrib above grooved, beneath keel-like, channeled below into the petiolate base leaf that blooms in the summer on fasciculate, many (to c. 18), peduncle filiform, c. 1.88 to 4"" [4.7 to 10 cm] long, provided with a few small, tubular, keeled sheaths, single flowered inflorescence with obliquely narrowly infundibuliform-tubular, laterally compressed, keeled, apiculate floral bracts and carrying yellow flowers.",url:https://www.orchidspecies.com/bulbtheiochroma.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/bulbtheiochroma.htm,flower_primary_color
True,Bulbophyllum guttatum,02d955d623a939a0df9f7a00e332a97bd8f2ba277097238e32415bc9004bdfe3,accepted_exact_identity_quote_and_complete_value_under_development_rule,,iospe-colour:10a5fe2b079fba4d39f8637d,68e1e175d0200f4976a8651304d1dedc6debdd3d85c3e917706af291d47c9631,wild_or_unspecified_species_treatment,10,"Found in New Guinea on trees in range forests at elevations around 210 to 1300 meters as a small sized, hot to cool growing epiphyte with 6.4 to 8"" [16 to 20 cm] between each cylindrical pseudobulb carrying a single, apical, erect, elliptic-ligulate, dark green to olive green. narrowing below into the petioalte base leaf that blooms in the late winter and early spring on a wiry, short to .24"" to .4"" [.6 to 1 cm] long, single flowered inflorescence with ovate, acute, shorter than the ovary floral bracts and carrying resupinate flowers with yellowish green, green, or olive green petals and sepals with reddish purple spots and, sometimes, veins, a purplish red or whitish lip densely spotted with purplish red except abaxially near the base and a yellowish green column withthe foot pale purple with a few darker spots.",blue_purple|green_brown_inconspicuous|red_pink|white|yellow_orange,IOSPE PHOTOS,2026-08-12T03:30:00Z,OpenAI Codex direct source-text development review,"Pfahl, J. Internet Orchid Species Photo Encyclopedia, species treatment: Bulbophyllum guttatum","Found in New Guinea on trees in range forests at elevations around 210 to 1300 meters as a small sized, hot to cool growing epiphyte with 6.4 to 8"" [16 to 20 cm] between each cylindrical pseudobulb carrying a single, apical, erect, elliptic-ligulate, dark green to olive green. narrowing below into the petioalte base leaf that blooms in the late winter and early spring on a wiry, short to .24"" to .4"" [.6 to 1 cm] long, single flowered inflorescence with ovate, acute, shorter than the ovary floral bracts and carrying resupinate flowers with yellowish green, green, or olive green petals and sepals with reddish purple spots and, sometimes, veins, a purplish red or whitish lip densely spotted with purplish red except abaxially near the base and a yellowish green column withthe foot pale purple with a few darker spots.",url:https://www.orchidspecies.com/bulbguttatum.htm,Internet Orchid Species Photo Encyclopedia (IOSPE),https://www.orchidspecies.com/bulbguttatum.htm,flower_primary_color
