candidate_id,accepted_species,trait_name,normalized_value,source_url,source_excerpt,accepted_correct,cultivar_status,reviewer,reviewed_at_utc,audit_reason
palmpedia-1a3aac6e5f8df95e908d4bc6,Thrinax radiata,flower_primary_color,green_brown_inconspicuous|white,https://web.archive.org/web/20200119073246id_/http://www.palmpedia.net:80/wiki/Thrinax_radiata,The inconspicuous flowers along the stem are bisexual and wind-pollinated.,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-51f9840a8f21083a34d82bef,Thrinax radiata,flower_primary_color,green_brown_inconspicuous|white,https://web.archive.org/web/20200119073246id_/http://www.palmpedia.net:80/wiki/Thrinax_radiata,The bisexual flowers are white.,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-f90d21f46b45d868476aa6dc,Roystonea regia,flower_primary_color,white,https://web.archive.org/web/20200119123734id_/http://www.palmpedia.net:80/wiki/Roystonea_regia,Staminate flowers white;,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-f5e2cb65c90ba50d82a1465b,Roystonea regia,flower_primary_color,white,https://web.archive.org/web/20200119123734id_/http://www.palmpedia.net:80/wiki/Roystonea_regia,"Pistillate flowers white,2-4.5 per cm;",true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-46d2c4415c46932cee06653d,Cyrtostachys renda,flower_size_class,very_small,https://web.archive.org/web/20200123051546id_/http://www.palmpedia.net:80/wiki/Cyrtostachys_renda,"Staminate flowers 2 – 2.5 × 2 – 3 mm, asymmetrical;",true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-776fd95aeda6c783e1f1e64b,Cyrtostachys renda,flower_size_class,very_small,https://web.archive.org/web/20200123051546id_/http://www.palmpedia.net:80/wiki/Cyrtostachys_renda,Pistillate flowers 4 – 5 × 3 – 4 mm;,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-394a2ecdbc03fb70a3fcd9c6,Pritchardia pacifica,inflorescence_display,raceme_spike_panicle,https://web.archive.org/web/20200119124209id_/http://www.palmpedia.net:80/wiki/Pritchardia_pacifica,"inflorescences composed of 1-4 panicles, shorter than to equaling petioles in flower and fruit, panicles branched to 2 orders, rachillae glabrous;",true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-de7d4a41fc524014bac033a1,Arenga pinnata,flower_primary_color,yellow_orange,https://web.archive.org/web/20200124142907id_/http://www.palmpedia.net:80/wiki/Arenga_pinnata,Flower: Showy yellow flowers.,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-e2ec191154138fe710fbaba2,Roystonea oleracea,inflorescence_display,raceme_spike_panicle,https://web.archive.org/web/20200119154842id_/http://www.palmpedia.net:80/wiki/Roystonea_oleracea,flowers born in large-stalked panicles revealed when the leaf-sheaths beneath them drop off;,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
palmpedia-a8d4e0fdfab8f87a54211200,Roystonea oleracea,flower_primary_color,white,https://web.archive.org/web/20200119154842id_/http://www.palmpedia.net:80/wiki/Roystonea_oleracea,Staminate flowers white;,true,wild_species_treatment,Codex source-backed line-by-line evidence audit,2026-08-12T16:10:00Z,accepted: exact species-page identity; quote directly supports the trait and reviewed state; provenance complete; no named cultivar transfer
