accepted_species,axis,trait_name,normalized_value,raw_value,exact_supporting_excerpt,original_source_url,archive_url,archive_timestamp,archive_cdx_digest,retrieved_at,page_response_sha256,page_content_fingerprint,normalized_excerpt_fingerprint,source_lineage,source_citation,source_group,source_type,source_tier,identity_match,cultivar_status,wild_or_cultivated,extraction_rule,review_status
Thrinax radiata,flower_colour,flower_primary_color,green_brown_inconspicuous,The inconspicuous flowers along the stem are bisexual and wind-pollinated.,The inconspicuous flowers along the stem are bisexual and wind-pollinated.,http://www.palmpedia.net:80/wiki/Thrinax_radiata,https://web.archive.org/web/20200119073246id_/http://www.palmpedia.net:80/wiki/Thrinax_radiata,20200119073246,TMSCJP6472KJIPLS4GTJ6NPNCGY7VLJC,2026-08-12T15:28:30.742745+00:00,6691e553929d06ef80bcd9fda889262d45aba6cd2b9e4451cf2059e159f7d88e,df8f18e58f54a83c46fe40e96b53882b5595afcced83b849a63d747384644694,ad8e8be92ffdaa9efb797d70f82fe3292513e03f1bfa6cca5de5e0dddb9e2c62,provider_treatment:palmpedia:Thrinax_radiata,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Thrinax radiata,flower_colour,flower_primary_color,white,The bisexual flowers are white.,The bisexual flowers are white.,http://www.palmpedia.net:80/wiki/Thrinax_radiata,https://web.archive.org/web/20200119073246id_/http://www.palmpedia.net:80/wiki/Thrinax_radiata,20200119073246,TMSCJP6472KJIPLS4GTJ6NPNCGY7VLJC,2026-08-12T15:28:30.742745+00:00,6691e553929d06ef80bcd9fda889262d45aba6cd2b9e4451cf2059e159f7d88e,df8f18e58f54a83c46fe40e96b53882b5595afcced83b849a63d747384644694,bc2851f5673b62fd9dc5e7a5f1162602cf5bf5ca506b37f95d8ca31b4f7cfe26,provider_treatment:palmpedia:Thrinax_radiata,Palmpedia species treatment,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Roystonea regia,flower_colour,flower_primary_color,white,Staminate flowers white;,Staminate flowers white;,http://www.palmpedia.net:80/wiki/Roystonea_regia,https://web.archive.org/web/20200119123734id_/http://www.palmpedia.net:80/wiki/Roystonea_regia,20200119123734,DBO5FAGPEZTSJB2EBCUC3MXIVMUWF7OB,2026-08-12T15:28:33.141476+00:00,30ee20122eddc8ef7039601d132f692e15215dd0625d6599ed1d3f2cbbec0a83,093a4e6b6dadc890f0b44d282936a260a5d445bf5ced92590bb69e3eb9c88838,216ad83bc40066088d5af303be7394f3e76a272204f958f8183ffcdc094e412f,original_citation:sharma_sarkar_1957,"Sharma & Sarkar, 1957",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Roystonea regia,flower_colour,flower_primary_color,white,"Pistillate flowers white,2-4.5 per cm;","Pistillate flowers white,2-4.5 per cm;",http://www.palmpedia.net:80/wiki/Roystonea_regia,https://web.archive.org/web/20200119123734id_/http://www.palmpedia.net:80/wiki/Roystonea_regia,20200119123734,DBO5FAGPEZTSJB2EBCUC3MXIVMUWF7OB,2026-08-12T15:28:33.141476+00:00,30ee20122eddc8ef7039601d132f692e15215dd0625d6599ed1d3f2cbbec0a83,093a4e6b6dadc890f0b44d282936a260a5d445bf5ced92590bb69e3eb9c88838,4b1b2a2fdc26c4b4152363a9ecadfc577be4260bc478ea5b517153ce4ded59ca,original_citation:sharma_sarkar_1957,"Sharma & Sarkar, 1957",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Cyrtostachys renda,floral_structural_complexity,flower_size_class,very_small,"Staminate flowers 2 – 2.5 × 2 – 3 mm, asymmetrical;","Staminate flowers 2 – 2.5 × 2 – 3 mm, asymmetrical;",http://www.palmpedia.net:80/wiki/Cyrtostachys_renda,https://web.archive.org/web/20200123051546id_/http://www.palmpedia.net:80/wiki/Cyrtostachys_renda,20200123051546,P2WM4D5O2PRD43OV3THYHZJXOWDI4EKH,2026-08-12T15:28:34.489102+00:00,2ff4caea6f35f2a1989ba42dd0370acf7bd57d0c7f3d7dbb685388aa8a4da248,5f90a6573ffc19de37d7645a9f768b8d79caaf98441aa234833aa36119a505a0,c02c8b928b2c74cabaac0d7b6fe3c6b9ff449c66d576a00b0ec582ab02781beb,original_citation:ch_d_heatubun_2009,Ch.D. Heatubun. 2009,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_whole_flower_measurement_v1,pending_manual_review
Cyrtostachys renda,floral_structural_complexity,flower_size_class,very_small,Pistillate flowers 4 – 5 × 3 – 4 mm;,Pistillate flowers 4 – 5 × 3 – 4 mm;,http://www.palmpedia.net:80/wiki/Cyrtostachys_renda,https://web.archive.org/web/20200123051546id_/http://www.palmpedia.net:80/wiki/Cyrtostachys_renda,20200123051546,P2WM4D5O2PRD43OV3THYHZJXOWDI4EKH,2026-08-12T15:28:34.489102+00:00,2ff4caea6f35f2a1989ba42dd0370acf7bd57d0c7f3d7dbb685388aa8a4da248,5f90a6573ffc19de37d7645a9f768b8d79caaf98441aa234833aa36119a505a0,78b4fe604722a7fb722444cc74a1423148b18f3d41da4807d5f84ce75a49b7e4,original_citation:ch_d_heatubun_2009,Ch.D. Heatubun. 2009,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_whole_flower_measurement_v1,pending_manual_review
Pritchardia pacifica,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,"inflorescences composed of 1-4 panicles, shorter than to equaling petioles in flower and fruit, panicles branched to 2 orders, rachillae glabrous;","inflorescences composed of 1-4 panicles, shorter than to equaling petioles in flower and fruit, panicles branched to 2 orders, rachillae glabrous;",http://www.palmpedia.net:80/wiki/Pritchardia_pacifica,https://web.archive.org/web/20200119124209id_/http://www.palmpedia.net:80/wiki/Pritchardia_pacifica,20200119124209,UG7F6HRQSNRKFPJRBQGLUYMDOUK27YD4,2026-08-12T15:28:35.206886+00:00,0a372301ce5adcec7a3428e8dc9c15dd62cf59c52649162541d4b984aeef7033,6f118d9f20b2beee884c4408a527b15614d77cda7b4a1f98edaca74e21f98a49,e2f336dca9991f51d583c1af771cc55f53e155eeb345d52fca83662be62eca3f,original_citation:hodel_d_2007,"Hodel, D. 2007",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Arenga pinnata,flower_colour,flower_primary_color,yellow_orange,Flower: Showy yellow flowers.,Flower: Showy yellow flowers.,http://www.palmpedia.net:80/wiki/Arenga_pinnata,https://web.archive.org/web/20200124142907id_/http://www.palmpedia.net:80/wiki/Arenga_pinnata,20200124142907,FX76XHISQPHCHMJJE5JRMWL6U6NVFVXG,2026-08-12T15:28:42.318313+00:00,710ada961fe9e2cafc1411d4e00b29144846017a00c2082436e08220af9f8064,ea62d4f304776de97ba2c2ba507a5bb6f7e87d6a70f441800e6f4cdd631fb0f7,86cdba4ac47236ae6ecc73c3b5b89b1c9fbabe1da6ce0da5f07e9d788dac89e3,original_citation:2003,2003,palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
Roystonea oleracea,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,flowers born in large-stalked panicles revealed when the leaf-sheaths beneath them drop off;,flowers born in large-stalked panicles revealed when the leaf-sheaths beneath them drop off;,http://www.palmpedia.net:80/wiki/Roystonea_oleracea,https://web.archive.org/web/20200119154842id_/http://www.palmpedia.net:80/wiki/Roystonea_oleracea,20200119154842,SLJKEDXQ2UJ4VWC65KBDLSLEMWI2YVVU,2026-08-12T15:28:44.399832+00:00,a42de79cf4f198c9673eec350314510701860eed7f6dd113a701135219a05cc4,c3e5b637315d84d00cf7463376059a0c67ff56e6a2a695886f4a9638b5681c24,a3cce40b4e9f7dae8c1ce27702b354236dd0e5dbd72b88bf85a2fd2fc90553f9,original_citation:bailey_1935_1949_mccurrach_1960_tomlinson_1961,"Bailey, 1935, 1949; McCurrach, 1960; Tomlinson, 1961",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_inflorescence_v1,pending_manual_review
Roystonea oleracea,flower_colour,flower_primary_color,white,Staminate flowers white;,Staminate flowers white;,http://www.palmpedia.net:80/wiki/Roystonea_oleracea,https://web.archive.org/web/20200119154842id_/http://www.palmpedia.net:80/wiki/Roystonea_oleracea,20200119154842,SLJKEDXQ2UJ4VWC65KBDLSLEMWI2YVVU,2026-08-12T15:28:44.399832+00:00,a42de79cf4f198c9673eec350314510701860eed7f6dd113a701135219a05cc4,c3e5b637315d84d00cf7463376059a0c67ff56e6a2a695886f4a9638b5681c24,216ad83bc40066088d5af303be7394f3e76a272204f958f8183ffcdc094e412f,original_citation:bailey_1935_1949_mccurrach_1960_tomlinson_1961,"Bailey, 1935, 1949; McCurrach, 1960; Tomlinson, 1961",palmpedia_palmweb_archive_medium_pilot,specialist_species_treatment_or_original_monograph_republication,B_medium_candidate,exact_species_page_title_and_master,wild_species_treatment,species_treatment_mixed_media_excluded,palmpedia_explicit_flower_colour_v1,pending_manual_review
