candidate_id,accepted_species,trait_name,normalized_value,source_url,page_title,source_citation,source_tier,source_type,domain,language,supporting_excerpt,normalized_excerpt_sha256,content_fingerprint,name_match_method,wild_cultivated_cultivar_status,decision,species_identity_correct,value_correct,provenance_complete,cultivar_contamination,false_positive_reason,decision_reason,reviewer,reviewed_at_utc
6763d77238f6a13be53f5a6f,Acridocarpus longifolius,floral_symmetry,zygomorphic,https://africanplants.senckenberg.de/index.php/item/5952,Acridocarpus longifolius (G. Don) Hook. f. | African Plants Photo Guide,Senckenberg institutional exact-species profile.,B,institutional_exact_species_profile,africanplants.senckenberg.de,de,Acridocarpus longifolius (G. Don) Hook. f. Blüte: Farbe gelb; Symmetrie zygomorph; Blütenstand traubig.,b10f84c50e89b446c13d62e0b048c5b99fddd639c7d13090e481a99163b7862a,caac15b7e6c75c0fd91e085888c25202e61f948988433b64f39052d34a4eb0fe,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
cd0cc87d6c94e36e2bfa2a8b,Acridocarpus longifolius,inflorescence_display,raceme_spike_panicle,https://africanplants.senckenberg.de/index.php/item/5952,Acridocarpus longifolius (G. Don) Hook. f. | African Plants Photo Guide,Senckenberg institutional exact-species profile.,B,institutional_exact_species_profile,africanplants.senckenberg.de,de,Acridocarpus longifolius (G. Don) Hook. f. Blüte: Farbe gelb; Symmetrie zygomorph; Blütenstand traubig.,b10f84c50e89b446c13d62e0b048c5b99fddd639c7d13090e481a99163b7862a,caac15b7e6c75c0fd91e085888c25202e61f948988433b64f39052d34a4eb0fe,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
c8f69e3169359974c2af6b8a,Aeonium appendiculatum,flower_size_class,medium,https://www.bgbm.org/sites/default/files/documents/w29Banares.pdf,Notes on the taxonomy of Aeonium urbicum and A. appendiculatum,"Bañares Baudet 1999. Willdenowia 29:95-103, pp. 98-101; original species description based on wild La Gomera material.",A,primary_taxonomic_species_description,www.bgbm.org,en,"Aeonium appendiculatum Bañares, sp. nova. Inflorescence dome-shaped, 25-40 x 20-30 cm, glabrous; branches 5-15 cm with lanceolate, acuminate bracts and 25-90 flowers; pedicels 1.5-3 mm long, glabrous. Flowers 8-merous, 1.4 cm in diameter; calyx 4 mm wide, base rounded, glabrous; petals lanceolate, entire, 6-6.3 x 2-2.2 mm, white, median portion pink variegated, glabrous.",1122eb2af964254f3e69914bc47a49512f781738f2766d7478df3ba1d7d91e99,c51ed6cf80de8cc88d8accadc0924fd6516cc547f085a69dd430ca290753d187,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
c7ffc83dde652f36570dff2b,Amischotolype tenuis,floral_symmetry,actinomorphic,https://africanplants.senckenberg.de/index.php/item/5830,Amischotolype tenuis (C.B. Clarke) R.S. Rao | African Plants Photo Guide,Senckenberg institutional exact-species profile.,B,institutional_exact_species_profile,africanplants.senckenberg.de,de,Amischotolype tenuis (C.B. Clarke) R.S. Rao. Blüte: Farbe rosa lila rot; Symmetrie radiär-symmetrisch; Blütenstand ährig.,ae60fc0e2ee74d9cad51c337cfd33fe3594d14afad92f48db386beb3c0c577f5,c52015362290710b7dde685f503f6aef85df7bc7d091d4ba532b0b0a9fa16695,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
726743871aba00962f84bdd5,Amischotolype tenuis,flower_primary_color,blue_purple|red_pink,https://africanplants.senckenberg.de/index.php/item/5830,Amischotolype tenuis (C.B. Clarke) R.S. Rao | African Plants Photo Guide,Senckenberg institutional exact-species profile.,B,institutional_exact_species_profile,africanplants.senckenberg.de,de,Amischotolype tenuis (C.B. Clarke) R.S. Rao. Blüte: Farbe rosa lila rot; Symmetrie radiär-symmetrisch; Blütenstand ährig.,ae60fc0e2ee74d9cad51c337cfd33fe3594d14afad92f48db386beb3c0c577f5,c52015362290710b7dde685f503f6aef85df7bc7d091d4ba532b0b0a9fa16695,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
0c4ca3845b3568d6a74a4449,Arytera microphylla,flower_primary_color,white,https://npq.org.au/kingaroy-districts/dryrainforestplants/small-leavedcoogera/,Small-Leaved Coogera - Arytera microphylla,Native Plants Queensland exact-species dry-rainforest profile; page updated 22 January 2025.,B,specialist_regional_native_plant_profile,npq.org.au,en,"Arytera microphylla. Inflorescences axillary, thyrses, 2.5-8 cm long; peduncles sparsely hairy. Flowers functionally unisexual and plants monoecious, white, 2-3 mm diam. Habitat and Distribution: In DRf; north from Yarraman, Qld, to the Bundaberg district, Qld.",d130630fef7971a670953a10d7d3bf25b0a83fe8973e8be27c7deaf9fbdf6836,cb46861d9677d146963e4fab20946dbae467e8cc1749eddb188801ee02ebfe39,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
22cd0560bad5055e6501dd4b,Bocquillonia castaneifolia,flower_primary_color,red_pink,https://endemia.nc/files/Tiebaghi-V-2022.pdf,Tiébaghi: de la flore exceptionnelle de la montagne,"ASPMHNC 2022. Tiébaghi flora guide, p. 44; exact species profile redistributed by Endemia.",B,regional_conservation_guide_exact_species_profile,endemia.nc,fr,BOCQUILLONIA CASTANEIFOLIA. FAMILLE : Euphorbiaceae. Les feuilles sont densément groupées au sommet des tiges. Les jeunes feuilles sont rouges ainsi que les fleurs.,fb0b6cfdb348945cc313e20759ad4ed49d008bcf399bac77bd9f6c104f2ab529,54ef7cf569e71544f57a7cf0561f3ca61eda18b4a5e910694aa20e5c627fae04,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
6c0bac943b6499b438e4f23a,Cassipourea barteri,floral_symmetry,actinomorphic,https://africanplants.senckenberg.de/index.php/item/6023,Cassipourea barteri (Hook. f. ex Oliv.) N.E. Br. | African Plants Photo Guide,Senckenberg institutional exact-species profile.,B,institutional_exact_species_profile,africanplants.senckenberg.de,de,Cassipourea barteri (Hook. f. ex Oliv.) N.E. Br. Blüte: Farbe weiß; Symmetrie radiär-symmetrisch; Blütenstand büschelig.,252452720fa1041252c34d0d3f52fdf772d7c282ce4f2adf0a8d0bafe0086fd2,cdff871b1f9c24700a3af27c5cb75b5817a17e5e9228585303989a0dc909f17a,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
b3e9e3fd237710bb09f1bc4f,Cassipourea barteri,flower_primary_color,white,https://africanplants.senckenberg.de/index.php/item/6023,Cassipourea barteri (Hook. f. ex Oliv.) N.E. Br. | African Plants Photo Guide,Senckenberg institutional exact-species profile.,B,institutional_exact_species_profile,africanplants.senckenberg.de,de,Cassipourea barteri (Hook. f. ex Oliv.) N.E. Br. Blüte: Farbe weiß; Symmetrie radiär-symmetrisch; Blütenstand büschelig.,252452720fa1041252c34d0d3f52fdf772d7c282ce4f2adf0a8d0bafe0086fd2,cdff871b1f9c24700a3af27c5cb75b5817a17e5e9228585303989a0dc909f17a,accepted_name_exact,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after exact fixed-master species/family or strict synonym match, source-page quote review, individual-trait ontology review, source-lineage check, and cultivar/organ screening.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
3fa45c7c7c25d79bba6fbf03,Catesbaea parviflora,floral_form,tubular,https://www.fnai.org/PDFs/FieldGuides/Catesbya_parviflora.pdf,Small-flowered lily thorn - Catesbaea parviflora,Florida Natural Areas Inventory species field guide (2000).,A,official_conservation_species_profile,www.fnai.org,en,"SMALL-FLOWERED LILY THORN. Catesbya parviflora Swartz. Synonyms: Echinodendrum parviflorum (Sw.) A. Rich.; Catesbaea parviflora Sw. Flowers less than 13 mm long, white, tubular with 4 spreading lobes, borne on spur shoots. Habitat: Pine rocklands, hammocks, coastal strands, back dunes.",527d6ecd44cf4f3b1663dc248a34fb5942598965ddb1b36826baf4f82831ae89,956db51d7df2da80b059843274bf4e80e8bd1bb5a39fdc9a6d94260212e2da75,exact_synonym,wild_or_species_level_not_cultivar_limited,accept,true,true,true,false,,"Accepted after the official FNAI page image was rendered and visually checked: it prints both the historic spelling and exact accepted name, then states flower size, colour, and tubular form in the field description.",Codex Wave20 individual source audit,2026-08-21T05:00:00Z
