searched_name,wfo_target,gbif_target,decision,reason,wfo_snapshot_doi,wfo_snapshot_md5,gbif_query_url
Aerva sanguinolenta,Ouret sanguinolenta,Ouret sanguinolenta,accept_two_backbone,"WFO preferred usage and GBIF strict species match agree",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Aerva+sanguinolenta&rank=SPECIES&strict=true&verbose=true
Cleome aculeata,Tarenaya aculeata,Tarenaya aculeata,accept_two_backbone,"WFO preferred usage and GBIF strict species match agree",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Cleome+aculeata&rank=SPECIES&strict=true&verbose=true
Dysoxylum pauciflorum,Didymocheton pauciflorus,Didymocheton pauciflorus,accept_two_backbone,"WFO preferred usage and GBIF strict species match agree",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Dysoxylum+pauciflorum&rank=SPECIES&strict=true&verbose=true
Mitella caulescens,Mitellastra caulescens,Mitellastra caulescens,accept_two_backbone,"WFO preferred usage and both GBIF synonym alternatives resolve to the same target",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Mitella+caulescens&rank=SPECIES&strict=true&verbose=true
Osteomeles schwerinae,Osteomeles schweriniae,Osteomeles schweriniae,accept_wfo_stable_id,"orthographic variant shares the stable WFO identifier with the island accepted name",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Osteomeles+schwerinae&rank=SPECIES&strict=true&verbose=true
Stylocline gnaphaloides,Stylocline gnaphalioides,Stylocline gnaphalioides,accept_wfo_stable_id,"orthographic variant shares the stable WFO identifier with the island accepted name",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Stylocline+gnaphaloides&rank=SPECIES&strict=true&verbose=true
Apocynum venetum,Poacynum venetum|Apocynum cannabinum,Poacynum venetum|Apocynum cannabinum,reject_ambiguous,"strict author-stripped name has multiple accepted targets",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Apocynum+venetum&rank=SPECIES&strict=true&verbose=true
Cinchona pubescens,Melanopsidium nigrum|Cinchona pubescens,Melanopsidium nigrum|Cinchona pubescens,reject_homonym,"author-dependent homonyms resolve to different accepted taxa",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Cinchona+pubescens&rank=SPECIES&strict=true&verbose=true
Mucuna acuminata,Mucuna mindorensis|Mucuna acuminata,Mucuna mindorensis|Mucuna acuminata,reject_homonym,"author-dependent homonyms resolve to different accepted taxa",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Mucuna+acuminata&rank=SPECIES&strict=true&verbose=true
Petunia hybrida,Petunia atkinsiana,Petunia atkinsiana,reject_hybrid,"source name is a horticultural hybrid name",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Petunia+hybrida&rank=SPECIES&strict=true&verbose=true
Sicyos laciniatus,Sicyos hillebrandii|Sechium edule|Sicyos laciniatus,Sicyos hillebrandii|Sechium edule|Sicyos laciniatus,reject_homonym,"author-dependent homonyms resolve to different accepted taxa",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Sicyos+laciniatus&rank=SPECIES&strict=true&verbose=true
Talinum paniculatum,Cistanthe paniculata|Talinum fruticosum|Talinum paniculatum,Cistanthe paniculata|Talinum fruticosum|Talinum paniculatum,reject_homonym,"author-dependent homonyms and a family conflict prevent a strict target",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Talinum+paniculatum&rank=SPECIES&strict=true&verbose=true
Urophyllum parviflorum,Urophyllum streptopodium|Urophyllum parviflorum,Urophyllum streptopodium|Urophyllum parviflorum,reject_homonym,"author-dependent homonyms resolve to different accepted taxa",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Urophyllum+parviflorum&rank=SPECIES&strict=true&verbose=true
Uvaria excelsa,Oxandra laurifolia|Uvaria excelsa,Oxandra laurifolia|Uvaria excelsa,reject_homonym,"author-dependent homonyms resolve to different accepted taxa",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Uvaria+excelsa&rank=SPECIES&strict=true&verbose=true
Zigadenus glaberrimus,Toxicoscordion fremontii|Zigadenus glaberrimus,Toxicoscordion fremontii|Zigadenus glaberrimus,reject_homonym,"author-dependent homonyms resolve to different accepted taxa",10.5281/zenodo.20782718,02F989B01B8EB142EC5934BD634B3876,https://api.gbif.org/v1/species/match?name=Zigadenus+glaberrimus&rank=SPECIES&strict=true&verbose=true
