accepted_species,searched_taxon,axis,trait_name,normalized_value,provider,resource_id,query_url,source_name,source_record_ids,supporting_excerpt,decision,reason,name_match_method,reviewer,reviewed_at_utc
Andrographis echioides,Andrographis echioides,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Andrographis+echioides&limit=100,bhl,zhz03b5fd38b,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Axyris amaranthoides,Axyris amaranthoides,flower_colour,flower_primary_color,white,flora_north_america,dd2dccaf-8cd1-4091-940c-a505ae6cb03f,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=dd2dccaf-8cd1-4091-940c-a505ae6cb03f&q=Axyris+amaranthoides&limit=100,efloras.flora_of_north_america,kls007f7f36a,flower colour = whitish,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Beckmannia syzigachne,Beckmannia syzigachne,floral_structural_complexity,inflorescence_display,raceme_spike_panicle,ecoflora,378435a5-f6d4-42b6-be40-21d3bda73158,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=378435a5-f6d4-42b6-be40-21d3bda73158&q=Beckmannia+syzigachne&limit=100,ecoflora,pnj0bc66996e,inflorescence arrangement = raceme,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Centaurea debeauxii,Centaurea debeauxii,flower_colour,flower_primary_color,blue_purple|multicolored_variable|red_pink,ecoflora,378435a5-f6d4-42b6-be40-21d3bda73158,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=378435a5-f6d4-42b6-be40-21d3bda73158&q=Centaurea+debeauxii&limit=100,ecoflora,pnj0bc669a2e,"flower colour = purple, red",accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Condea verticillata,Condea verticillata,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Condea+verticillata&limit=100,bhl,zhz03b6022d7,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Congea connata,Congea connata,floral_structural_complexity,floral_form,bilabiate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Congea+connata&limit=100,bhl,zhz03b6022dc,corolla tube lipped = lipped,accept,source_specific_structured_cell_reviewed,accepted_name_exact,Codex evidence review,2026-08-27T15:00:00Z
Didymocheton pauciflorus,Dysoxylum pauciflorum,floral_structural_complexity,tube_depth_class,intermediate,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Dysoxylum+pauciflorum&limit=100,bhl,zhz03b6049b7|zhz03b6049b9,corolla tube min/max length [cm] = 1.5 cm | 1.5 cm,accept,source_specific_structured_cell_reviewed,wfo_gbif_two_backbone_strict_synonym,Codex evidence review,2026-08-27T15:00:00Z
Mitellastra caulescens,Mitella caulescens,floral_structural_complexity,floral_form,bell_campanulate,flora_north_america,dd2dccaf-8cd1-4091-940c-a505ae6cb03f,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=dd2dccaf-8cd1-4091-940c-a505ae6cb03f&q=Mitella+caulescens&limit=100,efloras.flora_of_north_america,kls007f80776,flower shape = campanulate,accept,source_specific_structured_cell_reviewed,wfo_gbif_two_backbone_strict_synonym,Codex evidence review,2026-08-27T15:00:00Z
Mitellastra caulescens,Mitella caulescens,flower_colour,flower_primary_color,green_brown_inconspicuous|multicolored_variable|yellow_orange,bhl,cc636680-abfb-4143-9b99-62dcb562f8da,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=cc636680-abfb-4143-9b99-62dcb562f8da&q=Mitella+caulescens&limit=100,bhl,zhz03b60bd3e|zhz03b60bd3f|zhz03b60bd40|zhz03b60bd41|zhz03b60bd43|zhz03b60bd44|zhz03b60bd45|zhz03b60bd46|zhz03b60bd47,"flower colour = greenish || flower colour = yellow, green || flower colour = yellowish, green || petal colour = greenish",accept,source_specific_structured_cell_reviewed,wfo_gbif_two_backbone_strict_synonym,Codex evidence review,2026-08-27T15:00:00Z
Mitellastra caulescens,Mitella caulescens,flower_colour,flower_primary_color,blue_purple|green_brown_inconspicuous|multicolored_variable|white,flora_north_america,dd2dccaf-8cd1-4091-940c-a505ae6cb03f,https://data.nhm.ac.uk/api/3/action/datastore_search?resource_id=dd2dccaf-8cd1-4091-940c-a505ae6cb03f&q=Mitella+caulescens&limit=100,efloras.flora_of_north_america,kls007f80776,"petal colour = greenish, whitish, purple, green",accept,source_specific_structured_cell_reviewed,wfo_gbif_two_backbone_strict_synonym,Codex evidence review,2026-08-27T15:00:00Z
