candidate_id,decision,species_identity_correct,value_correct,provenance_complete,cultivar_contamination,decision_reason,reviewer,reviewed_at_utc
W38-bb985f22c6eb94b93b94b624,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-b75abdbf0db11c9b3d27ee22,accept,true,true,true,false,Cyme is an explicit member of the frozen umbel corymb cyme display class,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-ade5aebb366df7eb27da9c7d,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-da933a046f48ae6f7be6754a,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-37d1d79d2b819ff7e89b816d,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-fc733422e6f86813b7f7f78e,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-ded126a48bcc4b7ee355c7a5,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-cd78ddab65814c9990a532e1,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-2a81b7ba8288a469e0fd2f81,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-d898084df8ee38c1fafe5622,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
W38-47ca69ad4e3e75bde53f2ce0,accept,true,true,true,false,Exact quote supports the focal species and normalized trait value,codex_manual_source_locked_audit,2026-08-28T00:00:00Z
