source_name,local_candidate_accepted_species,master_family,source_providers
Abies borisii,Abies borisii,Pinaceae,goodwillie_2005
Abutilon bedfordianum,Abutilon bedfordianum,Malvaceae,razanajatovo_2016
Acacia anfractuosa,Acacia anfractuosa,Fabaceae,meyer_2026
Acacia carneorum,Acacia carneorum,Fabaceae,meyer_2026
Acacia harpophylla,Acacia harpophylla,Fabaceae,meyer_2026
Acacia sciophanes,Acacia sciophanes,Fabaceae,meyer_2026
Acacia spondylophylla,Acacia spondylophylla,Fabaceae,meyer_2026
Acalypha mexicana,Acalypha mexicana,Euphorbiaceae,meyer_2026
Acanthorrhinum ramosissimum,Acanthorrhinum ramosissimum,Plantaginaceae,ferrer_2024
Acer pictum,Acer pictum,Araliaceae,ferrer_2024
Acianthera limae,Acianthera limae,Orchidaceae,ferrer_2024
Acianthera modestissima,Acianthera modestissima,Orchidaceae,ferrer_2024
Acianthera prolifera,Acianthera prolifera,Orchidaceae,ferrer_2024
Acianthera saurocephala,Acianthera saurocephala,Orchidaceae,ferrer_2024
Aconitum columbianum,Aconitum columbianum,Ranunculaceae,ferrer_2024
Aconitum heterophyllum,Aconitum heterophyllum,Ranunculaceae,razanajatovo_2016
Acradenia euodiiformis,Acradenia euodiiformis,Rutaceae,ferrer_2024
Actaea arizonica,Actaea arizonica,Ranunculaceae,ferrer_2024
Adelobotrys rachidotrichia,Adelobotrys rachidotrichia,Melastomataceae,ferrer_2024
Adesmia aurantiaca,Adesmia aurantiaca,Fabaceae,ferrer_2024|meyer_2026
Adesmia burkartii,Adesmia burkartii,Fabaceae,ferrer_2024|meyer_2026
Adesmia latifolia,Adesmia latifolia,Fabaceae,ferrer_2024
Adesmia parvifolia,Adesmia parvifolia,Fabaceae,ferrer_2024
Adesmia suffocata,Adesmia suffocata,Fabaceae,ferrer_2024|meyer_2026
Adesmia villosa,Adesmia villosa,Fabaceae,ferrer_2024|meyer_2026
Aechmea tuitensis,Aechmea tuitensis,Bromeliaceae,meyer_2026
Aechmea van-houtteana,Aechmea van-houtteana,Bromeliaceae,razanajatovo_2016
Aechmea winkleri,Aechmea winkleri,Bromeliaceae,meyer_2026
Aeschynomene afraspera,Aeschynomene afraspera,Fabaceae,meyer_2026
Aeschynomene deamii,Aeschynomene deamii,Fabaceae,meyer_2026
Aeschynomene denticulata,Aeschynomene denticulata,Fabaceae,meyer_2026
