stratum,context_a,context_b,outcome,n_islands_context_a,n_islands_context_b,kappa,optimizer_success,slope_difference_b_minus_a,cluster_robust_se,p_value
all_observed,northern_midlatitude,tropical,self_compatibility,2076,1257,209.6105915499379,True,0.044064219311139075,0.049873822419306414,0.3769586329077704
all_observed,northern_midlatitude,tropical,selfing_mating_system,1956,915,153.1063539016971,True,0.2158908423944583,0.10690657043336407,0.043442053706406684
all_observed,northern_midlatitude,tropical,autonomous_selfing,1995,1260,51.63348636651453,True,0.1471704096299753,0.06434742477982502,0.022188704221990194
all_observed,northern_midlatitude,tropical,plain_colour,2077,1372,89.83537611213812,True,0.031079517291103847,0.03837993840002651,0.4180634724443063
all_observed,northern_midlatitude,tropical,generalized_form,1976,1146,419.427336780392,True,0.05835537668651357,0.039568300108593,0.14026599713346058
all_observed,northern_midlatitude,tropical,actinomorphic_symmetry,2091,1385,104.96918798852406,True,0.09813255691718137,0.0442844171779461,0.02669414919069566
all_observed,northern_midlatitude,tropical,shallow_open_tube,1800,1064,50.406303505528605,True,-0.012938008272292204,0.07391265235654346,0.8610446142790559
all_native,northern_midlatitude,tropical,self_compatibility,239,135,200.977866821521,True,-0.128178808157397,0.08478007524444343,0.13055986708293874
all_native,northern_midlatitude,tropical,selfing_mating_system,232,113,75.26684000917658,True,-0.12311204172069583,0.13591656011049658,0.3650463109875173
all_native,northern_midlatitude,tropical,autonomous_selfing,238,135,51.88588055949647,True,0.16792919116237046,0.1250047360414875,0.17914810817482335
all_native,northern_midlatitude,tropical,plain_colour,238,136,104.63418009893093,True,-0.008125851194541869,0.07265859194229524,0.9109533891518138
all_native,northern_midlatitude,tropical,generalized_form,234,134,189.48407326454785,True,0.021511119278572185,0.060947374124804075,0.7241290795172513
all_native,northern_midlatitude,tropical,actinomorphic_symmetry,237,136,97.99466040109904,True,-0.039566440412584725,0.06538412681235067,0.5450870970265
all_native,northern_midlatitude,tropical,shallow_open_tube,229,126,51.14316262149985,True,-0.16107933093549331,0.15555009974266829,0.3004138535202595
native_nonendemic,northern_midlatitude,tropical,self_compatibility,239,134,353.34349696124787,True,-0.14690356641198585,0.0764562456869796,0.05468041549525167
native_nonendemic,northern_midlatitude,tropical,selfing_mating_system,232,107,145.43864950692702,True,0.00032523139002934757,0.1069146014488613,0.9975728600110465
native_nonendemic,northern_midlatitude,tropical,autonomous_selfing,238,133,121.43326741287889,True,0.2575765808943015,0.10924799065328343,0.01838737113952587
native_nonendemic,northern_midlatitude,tropical,plain_colour,238,136,238.30496000325437,True,-0.009386307856659452,0.049326383119803065,0.8490820416273808
native_nonendemic,northern_midlatitude,tropical,generalized_form,233,132,371.1617612349888,True,0.05884106523156118,0.06017206833751,0.3281336529018938
native_nonendemic,northern_midlatitude,tropical,actinomorphic_symmetry,237,134,103.97042755384113,True,-0.09561843800126714,0.0754055389733918,0.2047779914394993
native_nonendemic,northern_midlatitude,tropical,shallow_open_tube,228,125,128.09940860503252,True,-0.11827269151569718,0.14801305285285216,0.42425021022534826
