stratum,context,status_original,n_retained_outcomes_original,retained_outcomes_original,n_unique_islands_original,n_clusters_original,joint_wald_chisq_original,joint_df_original,p_value_original,all_optimizers_converged_original,q_value_original,vector_supported_original,status_corrected,n_retained_outcomes_corrected,retained_outcomes_corrected,n_unique_islands_corrected,n_clusters_corrected,joint_wald_chisq_corrected,joint_df_corrected,p_value_corrected,all_optimizers_converged_corrected,q_value_corrected,vector_supported_corrected,_merge
all_native,northern_high_latitude,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
all_native,northern_midlatitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,27.466339226011392,7.0,0.0002746255708904,True,0.0005492511417809,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,35.31993249811328,7.0,9.737507108582213e-06,True,1.9475014217164425e-05,True,both
all_native,southern_extratropical,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
all_native,tropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,11.01131430596254,7.0,0.1381262571664747,True,0.1381262571664747,False,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,9.698383701573444,7.0,0.2063197578226709,True,0.2063197578226709,False,both
all_observed,northern_high_latitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,411.0,63.0,38.34376670236062,7.0,2.6066062742386903e-06,True,2.6066062742386903e-06,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,411.0,63.0,33.19710812535247,7.0,2.432905133271475e-05,True,2.432905133271475e-05,True,both
all_observed,northern_midlatitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,2174.0,86.0,39.22217024177762,7.0,1.7726890792521406e-06,True,2.363585439002854e-06,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,2173.0,86.0,59.86250633363751,7.0,1.6080471379722468e-10,True,3.2160942759444937e-10,True,both
all_observed,southern_extratropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,302.0,41.0,72.80005133568855,7.0,4.0073763377216493e-13,True,1.6029505350886597e-12,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,302.0,41.0,101.14408203035455,7.0,6.260503363414834e-19,True,2.5042013453659336e-18,True,both
all_observed,tropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,1493.0,111.0,44.27807696724126,7.0,1.8878364613089165e-07,True,3.775672922617833e-07,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,1493.0,111.0,43.53979452858487,7.0,2.6234352568226125e-07,True,3.497913675763483e-07,True,both
native_nonendemic,northern_high_latitude,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
native_nonendemic,northern_midlatitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,37.61256437143355,7.0,3.589808576595607e-06,True,3.589808576595607e-06,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,39.126049705082686,7.0,1.8491808081864983e-06,True,3.698361616372997e-06,True,both
native_nonendemic,southern_extratropical,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
native_nonendemic,tropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,37.85078126786407,7.0,3.234652510085333e-06,True,3.589808576595607e-06,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,32.761078439655364,7.0,2.933197060217689e-05,True,2.933197060217689e-05,True,both
