stratum,context,support_tier,threshold_corrected,model,status_corrected,n_retained_colours_corrected,retained_colours_corrected,n_unique_islands_corrected,n_clusters_corrected,wald_chisq_corrected,df_corrected,p_value_corrected,distance_slopes_corrected,threshold_original,status_original,n_retained_colours_original,retained_colours_original,n_unique_islands_original,n_clusters_original,wald_chisq_original,df_original,p_value_original,distance_slopes_original
all_observed,northern_high_latitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,347,61,8.515873265101296,5,0.13000354265984845,white:0.027727897;red_pink:0.0077761054;yellow_orange:0.0054366696;blue_purple:0.0074900378;green_brown_inconspicuous:0.034207575,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,347,61,8.940878441722315,5,0.1114456818486847,white:0.019737568;red_pink:0.0081245844;yellow_orange:0.011913059;blue_purple:0.010130759;green_brown_inconspicuous:0.029047972
all_observed,northern_high_latitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,407,63,12.785825825651479,5,0.025470647765494805,white:0.041594388;red_pink:0.0031207255;yellow_orange:-0.017261858;blue_purple:0.013346163;green_brown_inconspicuous:0.034384702,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,407,63,9.562236344944465,5,0.0886329571983556,white:0.032280698;red_pink:0.0042233964;yellow_orange:-0.007145724;blue_purple:0.015549281;green_brown_inconspicuous:0.02914658
all_observed,northern_high_latitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,347,61,8.515873265101296,5,0.13000354265984845,white:0.027727897;red_pink:0.0077761054;yellow_orange:0.0054366696;blue_purple:0.0074900378;green_brown_inconspicuous:0.034207575,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,347,61,8.940878441722315,5,0.1114456818486847,white:0.019737568;red_pink:0.0081245844;yellow_orange:0.011913059;blue_purple:0.010130759;green_brown_inconspicuous:0.029047972
all_observed,northern_high_latitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,407,63,12.785825825651479,5,0.025470647765494805,white:0.041594388;red_pink:0.0031207255;yellow_orange:-0.017261858;blue_purple:0.013346163;green_brown_inconspicuous:0.034384702,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,407,63,9.562236344944465,5,0.0886329571983556,white:0.032280698;red_pink:0.0042233964;yellow_orange:-0.007145724;blue_purple:0.015549281;green_brown_inconspicuous:0.02914658
all_observed,northern_midlatitude,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1986,85,25.9459372146291,5,9.141630901755831e-05,white:-0.011829291;red_pink:-0.033158608;yellow_orange:-0.013339658;blue_purple:-0.0092434262;green_brown_inconspicuous:0.02890975,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1987,85,28.33032673340629,5,3.136719488923699e-05,white:-0.010281145;red_pink:-0.032092245;yellow_orange:-0.014622225;blue_purple:-0.0058812055;green_brown_inconspicuous:0.023099966
all_observed,northern_midlatitude,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2166,85,26.14513764967684,5,8.363412620058966e-05,white:-0.012647658;red_pink:-0.033766748;yellow_orange:-0.015664732;blue_purple:-0.0089905947;green_brown_inconspicuous:0.03131077,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2167,85,28.489374968999705,5,2.919703835959937e-05,white:-0.01093132;red_pink:-0.032684206;yellow_orange:-0.016292171;blue_purple:-0.0057649085;green_brown_inconspicuous:0.024969664
all_observed,northern_midlatitude,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1986,85,25.9459372146291,5,9.141630901755831e-05,white:-0.011829291;red_pink:-0.033158608;yellow_orange:-0.013339658;blue_purple:-0.0092434262;green_brown_inconspicuous:0.02890975,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1987,85,28.33032673340629,5,3.136719488923699e-05,white:-0.010281145;red_pink:-0.032092245;yellow_orange:-0.014622225;blue_purple:-0.0058812055;green_brown_inconspicuous:0.023099966
all_observed,northern_midlatitude,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2166,85,26.14513764967684,5,8.363412620058966e-05,white:-0.012647658;red_pink:-0.033766748;yellow_orange:-0.015664732;blue_purple:-0.0089905947;green_brown_inconspicuous:0.03131077,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,2167,85,28.489374968999705,5,2.919703835959937e-05,white:-0.01093132;red_pink:-0.032684206;yellow_orange:-0.016292171;blue_purple:-0.0057649085;green_brown_inconspicuous:0.024969664
all_observed,southern_extratropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,245,39,15.487342024592717,5,0.00847086097522879,white:0.031236159;red_pink:0.030041045;yellow_orange:-0.021212413;blue_purple:-0.047879787;green_brown_inconspicuous:-0.00076149521,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,245,39,20.08118300674193,5,0.0012066400458884,white:0.03587107;red_pink:0.029347647;yellow_orange:-0.018640562;blue_purple:-0.04739984;green_brown_inconspicuous:0.0081474343
all_observed,southern_extratropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,288,40,9.8062605472646,5,0.08091461813947765,white:0.012273291;red_pink:0.025511374;yellow_orange:-0.034473236;blue_purple:-0.046318836;green_brown_inconspicuous:-0.00074306029,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,288,40,12.00888763775539,5,0.0346662020699735,white:0.01537081;red_pink:0.025733639;yellow_orange:-0.033471446;blue_purple:-0.047447204;green_brown_inconspicuous:0.0079659367
all_observed,southern_extratropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,245,39,15.487342024592717,5,0.00847086097522879,white:0.031236159;red_pink:0.030041045;yellow_orange:-0.021212413;blue_purple:-0.047879787;green_brown_inconspicuous:-0.00076149521,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,245,39,20.08118300674193,5,0.0012066400458884,white:0.03587107;red_pink:0.029347647;yellow_orange:-0.018640562;blue_purple:-0.04739984;green_brown_inconspicuous:0.0081474343
all_observed,southern_extratropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,288,40,9.8062605472646,5,0.08091461813947765,white:0.012273291;red_pink:0.025511374;yellow_orange:-0.034473236;blue_purple:-0.046318836;green_brown_inconspicuous:-0.00074306029,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,288,40,12.00888763775539,5,0.0346662020699735,white:0.01537081;red_pink:0.025733639;yellow_orange:-0.033471446;blue_purple:-0.047447204;green_brown_inconspicuous:0.0079659367
all_observed,tropical,confirmatory,50,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1103,104,32.92683516049193,5,3.891442603033337e-06,white:0.068137231;red_pink:0.03888365;yellow_orange:0.026598241;blue_purple:-0.060462168;green_brown_inconspicuous:0.041217358,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1103,104,33.725979721428175,5,2.699559855866833e-06,white:0.067040326;red_pink:0.036039791;yellow_orange:0.026140153;blue_purple:-0.060157205;green_brown_inconspicuous:0.045412201
all_observed,tropical,confirmatory,50,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1494,111,20.212695747913056,5,0.0011399173662612213,white:0.048802221;red_pink:0.04279202;yellow_orange:0.032464129;blue_purple:-0.0042038398;green_brown_inconspicuous:0.03474482,50,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1494,111,21.617398334634508,5,0.0006189362086303,white:0.046948938;red_pink:0.040354311;yellow_orange:0.032579528;blue_purple:-0.0014049045;green_brown_inconspicuous:0.038802082
all_observed,tropical,pilot,30,conditional_selfing,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1103,104,32.92683516049193,5,3.891442603033337e-06,white:0.068137231;red_pink:0.03888365;yellow_orange:0.026598241;blue_purple:-0.060462168;green_brown_inconspicuous:0.041217358,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1103,104,33.725979721428175,5,2.699559855866833e-06,white:0.067040326;red_pink:0.036039791;yellow_orange:0.026140153;blue_purple:-0.060157205;green_brown_inconspicuous:0.045412201
all_observed,tropical,pilot,30,unconditional,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1494,111,20.212695747913056,5,0.0011399173662612213,white:0.048802221;red_pink:0.04279202;yellow_orange:0.032464129;blue_purple:-0.0042038398;green_brown_inconspicuous:0.03474482,30,fit,5,white|red_pink|yellow_orange|blue_purple|green_brown_inconspicuous,1494,111,21.617398334634508,5,0.0006189362086303,white:0.046948938;red_pink:0.040354311;yellow_orange:0.032579528;blue_purple:-0.0014049045;green_brown_inconspicuous:0.038802082
