stratum,context,colour,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,northern_high_latitude,blue_purple,confirmatory,50,conditional_selfing,fit,347,61,34.0,0.0074900377578854815,0.017187882430633076,0.6630004783149045,0.04565863683595961,0.025364469849446604,0.07184450940483263,0.7395202855932108,50,fit,347,61,34.0,0.0101307585827579,0.0165492394184219,0.5404328556769893,0.0453208705297588,0.0255819755344412,0.0764620013054622,0.600262354337475
all_observed,northern_high_latitude,green_brown_inconspicuous,confirmatory,50,conditional_selfing,fit,347,61,34.0,0.03420757488484555,0.020600567623229767,0.09681066514198947,0.004479698287283257,0.050437346887249046,0.9292272769390102,0.4474278103295523,50,fit,347,61,34.0,0.0290479719488007,0.0189354739331628,0.1250172465552297,0.0070879335655335,0.0504747827817831,0.8883240155510758,0.600262354337475
all_observed,northern_high_latitude,red_pink,confirmatory,50,conditional_selfing,fit,347,61,34.0,0.007776105436990255,0.015797745603040092,0.6225576036127085,-0.054552341550962,0.03873610465751736,0.15904007521404875,0.7395202855932108,50,fit,347,61,34.0,0.0081245844109854,0.0155042435373758,0.600262354337475,-0.0543436281005133,0.0387055684970359,0.1603110798334769,0.600262354337475
all_observed,northern_high_latitude,white,confirmatory,50,conditional_selfing,fit,347,61,34.0,0.02772789653159069,0.020631954737188186,0.17897112413182092,0.12915440498058092,0.04484899915623056,0.003979765583644266,0.4474278103295523,50,fit,347,61,34.0,0.0197375684045981,0.0221424706314902,0.3727201862792214,0.1322034604053976,0.0445955921004552,0.0030317905181747,0.600262354337475
all_observed,northern_high_latitude,yellow_orange,confirmatory,50,conditional_selfing,fit,347,61,34.0,0.005436669561267982,0.01635144255581303,0.7395202855932108,-0.26201484175504663,0.047287235160506716,3.0088467311750137e-08,0.7395202855932108,50,fit,347,61,34.0,0.0119130591910212,0.0148232687737177,0.4215859173242839,-0.2633564958092189,0.047110164901298,2.2677351171921898e-08,0.600262354337475
all_observed,northern_high_latitude,blue_purple,confirmatory,50,unconditional,fit,407,63,22.0,0.013346163294226276,0.017862905130235623,0.454976612432509,,,,0.5687207655406362,50,fit,407,63,22.0,0.015549280612213,0.0172467755664204,0.3672820929655259,,,,0.6121368216092099
all_observed,northern_high_latitude,green_brown_inconspicuous,confirmatory,50,unconditional,fit,407,63,22.0,0.0343847018265684,0.02176731446585545,0.11418742590080529,,,,0.2854685647520132,50,fit,407,63,22.0,0.0291465795865939,0.0201967887109639,0.148984022601547,,,,0.4859029735508361
all_observed,northern_high_latitude,red_pink,confirmatory,50,unconditional,fit,407,63,22.0,0.003120725459517304,0.017491605274812607,0.8583988341750184,,,,0.8583988341750184,50,fit,407,63,22.0,0.0042233963773683,0.0167334088197138,0.8007372582740497,,,,0.8007372582740497
all_observed,northern_high_latitude,white,confirmatory,50,unconditional,fit,407,63,22.0,0.04159438786873707,0.023549177880635236,0.07734927004841556,,,,0.2854685647520132,50,fit,407,63,22.0,0.032280697672051,0.0248736848272765,0.1943611894203344,,,,0.4859029735508361
all_observed,northern_high_latitude,yellow_orange,confirmatory,50,unconditional,fit,407,63,22.0,-0.01726185810806491,0.02224675934834813,0.43779217269968196,,,,0.5687207655406362,50,fit,407,63,22.0,-0.0071457240102486,0.0195700912860154,0.7150106841780854,,,,0.8007372582740497
all_observed,northern_high_latitude,blue_purple,pilot,30,conditional_selfing,fit,347,61,34.0,0.0074900377578854815,0.017187882430633076,0.6630004783149045,0.04565863683595961,0.025364469849446604,0.07184450940483263,0.7395202855932108,30,fit,347,61,34.0,0.0101307585827579,0.0165492394184219,0.5404328556769893,0.0453208705297588,0.0255819755344412,0.0764620013054622,0.600262354337475
all_observed,northern_high_latitude,green_brown_inconspicuous,pilot,30,conditional_selfing,fit,347,61,34.0,0.03420757488484555,0.020600567623229767,0.09681066514198947,0.004479698287283257,0.050437346887249046,0.9292272769390102,0.4474278103295523,30,fit,347,61,34.0,0.0290479719488007,0.0189354739331628,0.1250172465552297,0.0070879335655335,0.0504747827817831,0.8883240155510758,0.600262354337475
all_observed,northern_high_latitude,red_pink,pilot,30,conditional_selfing,fit,347,61,34.0,0.007776105436990255,0.015797745603040092,0.6225576036127085,-0.054552341550962,0.03873610465751736,0.15904007521404875,0.7395202855932108,30,fit,347,61,34.0,0.0081245844109854,0.0155042435373758,0.600262354337475,-0.0543436281005133,0.0387055684970359,0.1603110798334769,0.600262354337475
all_observed,northern_high_latitude,white,pilot,30,conditional_selfing,fit,347,61,34.0,0.02772789653159069,0.020631954737188186,0.17897112413182092,0.12915440498058092,0.04484899915623056,0.003979765583644266,0.4474278103295523,30,fit,347,61,34.0,0.0197375684045981,0.0221424706314902,0.3727201862792214,0.1322034604053976,0.0445955921004552,0.0030317905181747,0.600262354337475
all_observed,northern_high_latitude,yellow_orange,pilot,30,conditional_selfing,fit,347,61,34.0,0.005436669561267982,0.01635144255581303,0.7395202855932108,-0.26201484175504663,0.047287235160506716,3.0088467311750137e-08,0.7395202855932108,30,fit,347,61,34.0,0.0119130591910212,0.0148232687737177,0.4215859173242839,-0.2633564958092189,0.047110164901298,2.2677351171921898e-08,0.600262354337475
all_observed,northern_high_latitude,blue_purple,pilot,30,unconditional,fit,407,63,22.0,0.013346163294226276,0.017862905130235623,0.454976612432509,,,,0.5687207655406362,30,fit,407,63,22.0,0.015549280612213,0.0172467755664204,0.3672820929655259,,,,0.6121368216092099
all_observed,northern_high_latitude,green_brown_inconspicuous,pilot,30,unconditional,fit,407,63,22.0,0.0343847018265684,0.02176731446585545,0.11418742590080529,,,,0.2854685647520132,30,fit,407,63,22.0,0.0291465795865939,0.0201967887109639,0.148984022601547,,,,0.4859029735508361
all_observed,northern_high_latitude,red_pink,pilot,30,unconditional,fit,407,63,22.0,0.003120725459517304,0.017491605274812607,0.8583988341750184,,,,0.8583988341750184,30,fit,407,63,22.0,0.0042233963773683,0.0167334088197138,0.8007372582740497,,,,0.8007372582740497
all_observed,northern_high_latitude,white,pilot,30,unconditional,fit,407,63,22.0,0.04159438786873707,0.023549177880635236,0.07734927004841556,,,,0.2854685647520132,30,fit,407,63,22.0,0.032280697672051,0.0248736848272765,0.1943611894203344,,,,0.4859029735508361
all_observed,northern_high_latitude,yellow_orange,pilot,30,unconditional,fit,407,63,22.0,-0.01726185810806491,0.02224675934834813,0.43779217269968196,,,,0.5687207655406362,30,fit,407,63,22.0,-0.0071457240102486,0.0195700912860154,0.7150106841780854,,,,0.8007372582740497
all_observed,northern_midlatitude,blue_purple,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.009243426162914112,0.011665521159061814,0.4281441090496532,0.015276758831932136,0.020211486927309022,0.4497419105671258,0.5522134071358347,50,fit,1987,85,158.0,-0.005881205493072,0.0111777977695719,0.598783543589302,0.0146891764519275,0.020377771647977,0.4710060432924703,0.598783543589302
all_observed,northern_midlatitude,green_brown_inconspicuous,confirmatory,50,conditional_selfing,fit,1986,85,158.0,0.028909749627194496,0.009105580150749719,0.0014986300649081632,0.12257301975325574,0.033451326648722315,0.00024809348616212023,0.007493150324540816,50,fit,1987,85,158.0,0.0230999660128243,0.0093859927923744,0.0138507675009547,0.1238666384381437,0.0342210021438991,0.000295048804693,0.0346269187523869
all_observed,northern_midlatitude,red_pink,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.033158608387042515,0.01186046627623352,0.005178335712862119,-0.014678697001161367,0.024250968422610777,0.5449910275481522,0.012945839282155298,50,fit,1987,85,158.0,-0.0320922447810841,0.0104869538895239,0.0022118440790657,-0.0164111347306319,0.0241594312330914,0.4969574171799915,0.0110592203953285
all_observed,northern_midlatitude,white,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.011829290915320884,0.019899667504264053,0.5522134071358347,-0.037724845424328114,0.02106004381650769,0.07324525040328092,0.5522134071358347,50,fit,1987,85,158.0,-0.010281144524177,0.0193308997339942,0.5948296924792009,-0.0384056178231663,0.0210293784985596,0.0678074915940855,0.598783543589302
all_observed,northern_midlatitude,yellow_orange,confirmatory,50,conditional_selfing,fit,1986,85,158.0,-0.013339658036678255,0.021220806457665182,0.5296029649994884,-0.11384076723501527,0.03568985265412149,0.0014240889805120303,0.5522134071358347,50,fit,1987,85,158.0,-0.0146222251707796,0.0208833240189373,0.4838107331633292,-0.1135173553571814,0.0358554223963124,0.0015456430775578,0.598783543589302
all_observed,northern_midlatitude,blue_purple,confirmatory,50,unconditional,fit,2166,85,129.0,-0.008990594728522733,0.011901718012579806,0.45000715141850645,,,,0.532357381491836,50,fit,2167,85,129.0,-0.0057649085119362,0.0113926714877087,0.6128432944084612,,,,0.6128432944084612
all_observed,northern_midlatitude,green_brown_inconspicuous,confirmatory,50,unconditional,fit,2166,85,129.0,0.03131076952779782,0.00936933758927488,0.0008322686259935945,,,,0.004161343129967973,50,fit,2167,85,129.0,0.0249696642849554,0.0096783285451438,0.0098812830899953,,,,0.0247032077249882
all_observed,northern_midlatitude,red_pink,confirmatory,50,unconditional,fit,2166,85,129.0,-0.033766747591051,0.011910464292966744,0.004581868506693054,,,,0.011454671266732636,50,fit,2167,85,129.0,-0.0326842056892408,0.0105422191833132,0.0019331459779968,,,,0.009665729889984
all_observed,northern_midlatitude,white,confirmatory,50,unconditional,fit,2166,85,129.0,-0.012647657636865539,0.020255324974315293,0.532357381491836,,,,0.532357381491836,50,fit,2167,85,129.0,-0.0109313201555841,0.0197260452007511,0.5794716073419562,,,,0.6128432944084612
all_observed,northern_midlatitude,yellow_orange,confirmatory,50,unconditional,fit,2166,85,129.0,-0.015664731982780178,0.022305370912081426,0.4825013180498906,,,,0.532357381491836,50,fit,2167,85,129.0,-0.0162921710039488,0.0220573386211483,0.460132831847253,,,,0.6128432944084612
all_observed,northern_midlatitude,blue_purple,pilot,30,conditional_selfing,fit,1986,85,158.0,-0.009243426162914112,0.011665521159061814,0.4281441090496532,0.015276758831932136,0.020211486927309022,0.4497419105671258,0.5522134071358347,30,fit,1987,85,158.0,-0.005881205493072,0.0111777977695719,0.598783543589302,0.0146891764519275,0.020377771647977,0.4710060432924703,0.598783543589302
