stratum,context,combination,architecture_label,trait_name,support_tier,threshold,model,status,n_unique_islands,n_clusters,median_trials,distance_estimate,distance_se,distance_p,selfing_core_estimate,selfing_core_se,selfing_core_p,distance_q
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,1828,84,25.0,-0.03032850185852559,0.029099574950042416,0.2973042313151033,,,,0.5202824048014307
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1800,83,26.0,-0.029137732835460173,0.028810997752223275,0.3118534224932564,-0.040491336841796066,0.049367476341106074,0.4121005693320568,0.5457434893631987
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,1828,84,25.0,-0.03032850185852559,0.029099574950042416,0.2973042313151033,,,,0.5202824048014307
all_observed,northern_midlatitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,1800,83,26.0,-0.029137732835460173,0.028810997752223275,0.3118534224932564,-0.040491336841796066,0.049367476341106074,0.4121005693320568,0.5457434893631987
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,1823,84,27.0,-0.04082529612433275,0.034539974077406825,0.23721665160075242,,,,0.47443330320150484
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1799,84,28.0,-0.03559123988235119,0.033646813748834374,0.29015150771739245,-0.1593361018227369,0.05868505034991779,0.006625466433614816,0.5457434893631987
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,1823,84,27.0,-0.04082529612433275,0.034539974077406825,0.23721665160075242,,,,0.47443330320150484
all_observed,northern_midlatitude,yellow_orange__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,1799,84,28.0,-0.03559123988235119,0.033646813748834374,0.29015150771739245,-0.1593361018227369,0.05868505034991779,0.006625466433614816,0.5457434893631987
all_observed,northern_midlatitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,unconditional,fit,1797,83,24.0,-0.025869143677876627,0.03169265798414224,0.4143569557692516,,,,0.6445552645299469
all_observed,northern_midlatitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1780,83,25.0,-0.024275635661279993,0.03145867719217753,0.44031144315426257,-0.04687293065479581,0.045263271851523526,0.30040646244087194,0.6849289115732974
all_observed,northern_midlatitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,unconditional,fit,1797,83,24.0,-0.025869143677876627,0.03169265798414224,0.4143569557692516,,,,0.6445552645299469
all_observed,northern_midlatitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,pilot,30,conditional_selfing,fit,1780,83,25.0,-0.024275635661279993,0.03145867719217753,0.44031144315426257,-0.04687293065479581,0.045263271851523526,0.30040646244087194,0.6849289115732974
all_observed,northern_midlatitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1747,83,15.0,-0.06520693222883314,0.037274356622840524,0.0802257345601299,,,,0.2460011761146299
all_observed,northern_midlatitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1728,83,16.0,-0.06284605828449533,0.03618919124426808,0.0824582448151692,-0.047065212737227746,0.07100356420240306,0.5074221148424408,0.27801195926671357
all_observed,northern_midlatitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1747,83,15.0,-0.06520693222883314,0.037274356622840524,0.0802257345601299,,,,0.2460011761146299
all_observed,northern_midlatitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,1728,83,16.0,-0.06284605828449533,0.03618919124426808,0.0824582448151692,-0.047065212737227746,0.07100356420240306,0.5074221148424408,0.27801195926671357
all_observed,northern_midlatitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1749,82,15.0,0.019098118533712932,0.04914772860583239,0.6975824358778753,,,,0.8878321911172958
all_observed,northern_midlatitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1726,82,15.0,0.022890787519799435,0.04793600082828682,0.6329861143012652,-0.12151249478595527,0.0828823188148664,0.14262522891526547,0.8861805600217713
all_observed,northern_midlatitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1749,82,15.0,0.019098118533712932,0.04914772860583239,0.6975824358778753,,,,0.8878321911172958
all_observed,northern_midlatitude,yellow_orange__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,1726,82,15.0,0.022890787519799435,0.04793600082828682,0.6329861143012652,-0.12151249478595527,0.0828823188148664,0.14262522891526547,0.8861805600217713
all_observed,northern_midlatitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1792,84,16.0,-0.049933044072463975,0.037322271811657176,0.18093273562867176,,,,0.4221763831335674
all_observed,northern_midlatitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1753,84,17.0,-0.046014998875825525,0.03621858134705573,0.20391354879085175,-0.13615998674781682,0.05279821458974007,0.009912269597835073,0.4757982805119874
all_observed,northern_midlatitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1792,84,16.0,-0.049933044072463975,0.037322271811657176,0.18093273562867176,,,,0.4221763831335674
all_observed,northern_midlatitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,1753,84,17.0,-0.046014998875825525,0.03621858134705573,0.20391354879085175,-0.13615998674781682,0.05279821458974007,0.009912269597835073,0.4757982805119874
all_observed,northern_midlatitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,unconditional,fit,1828,84,25.0,-0.0021760914980309687,0.035221523511256264,0.9507356391482362,,,,0.9507356391482362
all_observed,northern_midlatitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1800,83,26.0,-0.0014047674442660418,0.034967571334927866,0.9679548565513922,-0.02413870936126869,0.048988002663951556,0.6221911039250163,0.9679548565513922
all_observed,northern_midlatitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,unconditional,fit,1828,84,25.0,-0.0021760914980309687,0.035221523511256264,0.9507356391482362,,,,0.9507356391482362
all_observed,northern_midlatitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,conditional_selfing,fit,1800,83,26.0,-0.0014047674442660418,0.034967571334927866,0.9679548565513922,-0.02413870936126869,0.048988002663951556,0.6221911039250163,0.9679548565513922
all_observed,northern_midlatitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,unconditional,fit,1823,84,27.0,-0.10078061537174299,0.05904621817002806,0.08785756289808211,,,,0.2460011761146299
all_observed,northern_midlatitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,1799,84,28.0,-0.09431236132710041,0.05721776587790882,0.09928998545239771,-0.20786750566945478,0.06722937155832953,0.0019886975228967417,0.27801195926671357
all_observed,northern_midlatitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,unconditional,fit,1823,84,27.0,-0.10078061537174299,0.05904621817002806,0.08785756289808211,,,,0.2460011761146299
all_observed,northern_midlatitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,pilot,30,conditional_selfing,fit,1799,84,28.0,-0.09431236132710041,0.05721776587790882,0.09928998545239771,-0.20786750566945478,0.06722937155832953,0.0019886975228967417,0.27801195926671357
all_observed,northern_midlatitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1747,83,15.0,-0.05464371343965243,0.027194044526255005,0.044494728799769165,,,,0.2076420677322561
all_observed,northern_midlatitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1728,83,16.0,-0.056381075524350566,0.026851033131358466,0.03574881072462366,0.08972899728545441,0.04751742859605936,0.058980500853186096,0.22866651906318494
all_observed,northern_midlatitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1747,83,15.0,-0.05464371343965243,0.027194044526255005,0.044494728799769165,,,,0.2076420677322561
all_observed,northern_midlatitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,conditional_selfing,fit,1728,83,16.0,-0.056381075524350566,0.026851033131358466,0.03574881072462366,0.08972899728545441,0.04751742859605936,0.058980500853186096,0.22866651906318494
all_observed,northern_midlatitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,unconditional,fit,1749,82,15.0,0.008409357715808974,0.04659482572851567,0.8567770419317812,,,,0.9226829682342259
all_observed,northern_midlatitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,1726,82,15.0,0.009546207891430486,0.047108227276136366,0.8394131589582967,-0.04528384062412294,0.06797897244922863,0.5053185364076884,0.9039834019550888
all_observed,northern_midlatitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,pilot,30,unconditional,fit,1749,82,15.0,0.008409357715808974,0.04659482572851567,0.8567770419317812,,,,0.9226829682342259
