stratum,context,status_original,n_retained_outcomes_original,retained_outcomes_original,n_unique_islands_original,n_clusters_original,joint_wald_chisq_original,joint_df_original,p_value_original,all_optimizers_converged_original,q_value_original,vector_supported_original,status_corrected,n_retained_outcomes_corrected,retained_outcomes_corrected,n_unique_islands_corrected,n_clusters_corrected,joint_wald_chisq_corrected,joint_df_corrected,p_value_corrected,all_optimizers_converged_corrected,q_value_corrected,vector_supported_corrected,_merge
all_native,northern_high_latitude,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
all_native,northern_midlatitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,27.79601476878257,7.0,0.0002394133438502,True,0.0004788266877005,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,46.51892404608942,7.0,6.927406519047456e-08,True,1.385481303809491e-07,True,both
all_native,southern_extratropical,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
all_native,tropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,6.830255666865592,7.0,0.446765165822422,True,0.446765165822422,False,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,6.958632291586318,7.0,0.433199743064339,True,0.433199743064339,False,both
all_observed,northern_high_latitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,408.0,63.0,52.347588137827856,7.0,4.986315526952372e-09,True,9.972631053904744e-09,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,408.0,63.0,49.39692411132649,7.0,1.89684889647556e-08,False,3.793697792951119e-08,True,both
all_observed,northern_midlatitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,2162.0,86.0,20.488558216560996,7.0,0.0046056603062788,True,0.0046056603062788,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,2161.0,86.0,29.12949887769225,7.0,0.0001370270106052,True,0.0001370270106052,True,both
all_observed,southern_extratropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,292.0,41.0,126.94862773664144,7.0,2.7261089472885308e-24,True,1.0904435789154125e-23,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,292.0,41.0,162.89397655626234,7.0,7.888664079919937e-32,True,3.155465631967975e-31,True,both
all_observed,tropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,1467.0,110.0,37.13382501890103,7.0,4.424647393046862e-06,True,5.899529857395816e-06,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,1467.0,110.0,33.00126105949784,7.0,2.6462125542092423e-05,True,3.528283405612323e-05,True,both
native_nonendemic,northern_high_latitude,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
native_nonendemic,northern_midlatitude,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,28.84911204287551,7.0,0.0001541453858179,True,0.0003082907716358,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,239.0,36.0,32.19046584012459,7.0,3.74429701873408e-05,True,7.48859403746816e-05,True,both
native_nonendemic,southern_extratropical,not_testable,0,,,,,,,,,False,not_testable,0,,,,,,,,,False,both
native_nonendemic,tropical,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,19.491878438348284,7.0,0.0067784035534501,True,0.0067784035534501,True,fit,7,self_compatibility|selfing_mating_system|autonomous_selfing|plain_colour|generalized_form|actinomorphic_symmetry|shallow_open_tube,136.0,46.0,26.087236190885964,7.0,0.0004859066180038,True,0.0004859066180038,True,both
