stratum,context,combination,architecture_label_corrected,trait_name_corrected,support_tier,threshold_corrected,model,status_corrected,n_unique_islands_corrected,n_clusters_corrected,median_trials_corrected,distance_estimate_corrected,distance_se_corrected,distance_p_corrected,selfing_core_estimate_corrected,selfing_core_se_corrected,selfing_core_p_corrected,distance_q_corrected,architecture_label_original,trait_name_original,threshold_original,status_original,n_unique_islands_original,n_clusters_original,median_trials_original,distance_estimate_original,distance_se_original,distance_p_original,selfing_core_estimate_original,selfing_core_se_original,selfing_core_p_original,distance_q_original
all_observed,northern_high_latitude,blue_purple__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,192,40,7.0,-0.342197897252416,0.23984610780122106,0.1536550179971931,-0.21272423530450735,0.29638927394255177,0.4729305198964261,0.2390189168845226,butterfly_associated_deep_tube,tube_depth_class,50,fit,192,40,7.0,-0.2363127676490988,0.2271619633794359,0.2982083603728382,-0.2504916935123735,0.2942524880410642,0.3946130101859622,0.4174917045219735
all_observed,northern_high_latitude,blue_purple__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,282,55,6.0,-0.2608576081104914,0.0650135177393771,6.0114848417614145e-05,0.06553113833219282,0.12991543126518995,0.6139706118811326,0.000420803938923299,butterfly_associated_form,floral_form,50,fit,282,55,6.0,-0.1996660505552192,0.0512326783986267,9.72951330331407e-05,0.0341713426464653,0.1325918917984535,0.7966244049702274,0.0006810659312319
all_observed,northern_high_latitude,blue_purple__large_bee_deep_tube_given_colour,large_bee_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,192,40,7.0,-0.26572033099593195,0.05495715779064779,1.3311551856849644e-06,-0.12225134657832304,0.0895824850888116,0.17235392623662707,1.8636172599589503e-05,large_bee_associated_intermediate_deep_tube,tube_depth_class,50,fit,192,40,7.0,-0.2472429356874794,0.0578179378101842,1.900828431922201e-05,-0.1355862069771644,0.0922686756250225,0.1417048941843155,0.0002661159804691
all_observed,northern_high_latitude,blue_purple__large_bee_form_given_colour,large_bee_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,282,55,6.0,-0.03693555011874003,0.022712322331033458,0.10389989222119503,-0.10825988540971776,0.08084229825366045,0.1805221611586478,0.1818248113870913,large_bee_associated_form,floral_form,50,fit,282,55,6.0,-0.0461223381387939,0.0253481894389158,0.0688273211261527,-0.1045456940861691,0.0808826251610871,0.1961630757761695,0.1376546422523055
all_observed,northern_high_latitude,red_pink__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,196,39,5.0,0.0927397565367023,0.17112010971934846,0.5878480671797559,0.22786820490875226,0.10918549375759766,0.036889724600766366,0.5878480671797559,bird_associated_intermediate_deep_tube,tube_depth_class,50,fit,196,39,5.0,0.0229441680800879,0.1447824117853284,0.8740837412824195,0.2425570230573285,0.1048802241801789,0.0207388617368566,0.8740837412824195
all_observed,northern_high_latitude,red_pink__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,297,56,5.0,0.12791798453621972,0.07281728089844165,0.07896926861046512,-0.17496864498578427,0.09275649044718978,0.05925152352436584,0.15793853722093024,bird_associated_form,floral_form,50,fit,297,56,5.0,0.1038197403286904,0.0596660617179941,0.081856684431488,-0.1665084944171225,0.0966185911165658,0.08482366958665,0.1432491977551041
all_observed,northern_high_latitude,red_pink__butterfly_deep_tube_given_colour,butterfly_associated_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,196,39,5.0,0.09809980526686513,0.1547998968736691,0.5262635086202743,-0.46230724576985693,0.15820483880773809,0.0034756075663783413,0.5748979383648845,butterfly_associated_deep_tube,tube_depth_class,50,fit,196,39,5.0,0.1071701749137057,0.138456635431659,0.4389105504531114,-0.4638257094509961,0.1584505538085432,0.0034196466922478,0.5586134278494145
all_observed,northern_high_latitude,red_pink__butterfly_form_given_colour,butterfly_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,297,56,5.0,-0.19653516746402389,0.07816413959173475,0.011923833526381503,-0.20252581392902425,0.0986195480321766,0.04001372469744341,0.03338673387386821,butterfly_associated_form,floral_form,50,fit,297,56,5.0,-0.1501731209356434,0.0742430968860222,0.0431018513991033,-0.2180316915241091,0.0979432286376095,0.02600729916839,0.1206851839174893
all_observed,northern_high_latitude,yellow_orange__bird_deep_tube_given_colour,bird_associated_intermediate_deep_tube,tube_depth_class,confirmatory,50,conditional_selfing,fit,187,43,6.0,0.08218686323263169,0.13209831485153925,0.5338337999102498,-0.059428823342833725,0.13620249895039416,0.6625995184969768,0.5748979383648845,bird_associated_intermediate_deep_tube,tube_depth_class,50,fit,187,43,6.0,0.0332358336541478,0.1412442199348393,0.8139700228842959,-0.0421139245262167,0.1364411461103941,0.7575801723079516,0.8740837412824195
all_observed,northern_high_latitude,yellow_orange__bird_form_given_colour,bird_associated_form,floral_form,confirmatory,50,conditional_selfing,fit,228,48,8.0,-0.15142098352143263,0.048179099487421204,0.0016729612478459455,-0.19336681154795698,0.1790788691587901,0.28023759698597717,0.005855364367460809,bird_associated_form,floral_form,50,fit,228,48,8.0,-0.1077140565124077,0.0573256718321314,0.0602465913656253,-0.2143383215458487,0.1730440080387879,0.2154807931077984,0.1376546422523055
