family,trait,analysis,inferential_role_original,evaluable_original,trait_state_estimate_original,trait_state_se_original,trait_state_z_original,trait_state_two_sided_p_original,trait_state_one_sided_negative_p_original,n_cells_original,n_publications_original,n_sites_original,n_species_original,reason_original,n_original,p_original,n_clusters_original,n_fixed_effect_groups_original,fixed_effect_group_columns_original,inferential_role_corrected,evaluable_corrected,trait_state_estimate_corrected,trait_state_se_corrected,trait_state_z_corrected,trait_state_two_sided_p_corrected,trait_state_one_sided_negative_p_corrected,n_cells_corrected,n_publications_corrected,n_sites_corrected,n_species_corrected,reason_corrected,n_corrected,p_corrected,n_clusters_corrected,n_fixed_effect_groups_corrected,fixed_effect_group_columns_corrected
reproductive_assurance,self_compatibility,primary,posthoc_functional_triangulation,True,-0.11772719233008366,0.08251487752719121,-1.4267389816010925,0.15365514503284738,0.07682757251642369,769.0,429.0,591.0,499.0,,,,,,,posthoc_functional_triangulation,True,-0.11885376634921838,0.08246374169561987,-1.4412851503624093,0.14950414074714286,0.07475207037357143,769.0,429.0,591.0,499.0,,,,,,
reproductive_assurance,self_compatibility,supplemental_only,posthoc_functional_triangulation,True,-0.03799001243419052,0.08417977697931982,-0.4512961877236074,0.6517760921139341,0.32588804605696703,504.0,237.0,374.0,296.0,,,,,,,posthoc_functional_triangulation,True,-0.04022704934680865,0.08420505708017478,-0.4777272380268916,0.632844355095161,0.3164221775475805,504.0,237.0,374.0,296.0,,,,,,
reproductive_assurance,self_compatibility,no_zero_constant,posthoc_functional_triangulation,True,-0.12100985641692383,0.08450839992251702,-1.4319269626199738,0.1521647248945236,0.0760823624472618,756.0,427.0,587.0,495.0,,,,,,,posthoc_functional_triangulation,True,-0.12222150602418672,0.08447125853498609,-1.4469004978014544,0.14792479370945247,0.07396239685472623,756.0,427.0,587.0,495.0,,,,,,
reproductive_assurance,self_compatibility,within_publication,posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,136.0,8.0,20.0,20.0,['study_key'],posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,136.0,8.0,20.0,20.0,['study_key']
reproductive_assurance,self_compatibility,within_publication_site,posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,86.0,7.0,17.0,21.0,"['study_key', 'site_key']",posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,86.0,7.0,17.0,21.0,"['study_key', 'site_key']"
reproductive_assurance,autonomous_selfing,primary,posthoc_functional_triangulation,True,-0.44672352555327316,0.08025341156030048,-5.5664116561277375,2.600385207879581e-08,1.3001926039397905e-08,865.0,469.0,640.0,558.0,,,,,,,posthoc_functional_triangulation,True,-0.4449226875391984,0.0801956940803842,-5.5479623019813245,2.8901817090851603e-08,1.4450908545425802e-08,865.0,469.0,640.0,558.0,,,,,,
reproductive_assurance,autonomous_selfing,supplemental_only,posthoc_functional_triangulation,True,-0.30372393676440634,0.06675974437238787,-4.54950718610043,5.3771697807524795e-06,2.6885848903762398e-06,556.0,257.0,392.0,327.0,,,,,,,posthoc_functional_triangulation,True,-0.30524997432600387,0.06670435410949992,-4.576162656862166,4.735823829729463e-06,2.3679119148647313e-06,556.0,257.0,392.0,327.0,,,,,,
reproductive_assurance,autonomous_selfing,no_zero_constant,posthoc_functional_triangulation,True,-0.45479848203235906,0.0808287088261758,-5.626694879048666,1.8369523445865986e-08,9.184761722932993e-09,848.0,467.0,637.0,553.0,,,,,,,posthoc_functional_triangulation,True,-0.4531287385009414,0.08078111679125272,-5.609339861837709,2.030998289413365e-08,1.0154991447066825e-08,848.0,467.0,637.0,553.0,,,,,,
reproductive_assurance,autonomous_selfing,within_publication,posthoc_functional_triangulation,True,-0.3060340850431666,0.14059018955198932,-2.176781225051249,0.029496894533072086,0.014748447266536043,205.0,30.0,87.0,145.0,,,,,30.0,['study_key'],posthoc_functional_triangulation,True,-0.3204643463323611,0.13484895959998508,-2.3764688083837213,0.01747923914348954,0.00873961957174477,205.0,30.0,87.0,145.0,,,,,30.0,['study_key']
reproductive_assurance,autonomous_selfing,within_publication_site,posthoc_functional_triangulation,True,-0.18635792070261323,0.10767263969610305,-1.7307825017441083,0.08349056396094647,0.04174528198047323,143.0,25.0,36.0,111.0,,,,,36.0,"['study_key', 'site_key']",posthoc_functional_triangulation,True,-0.18635792070261323,0.10767263969610305,-1.7307825017441083,0.08349056396094647,0.04174528198047323,143.0,25.0,36.0,111.0,,,,,36.0,"['study_key', 'site_key']"
