family,trait,analysis,inferential_role,evaluable,trait_state_estimate,trait_state_se,trait_state_z,trait_state_two_sided_p,trait_state_one_sided_negative_p,n_cells,n_publications,n_sites,n_species,reason,n,p,n_clusters,n_fixed_effect_groups,fixed_effect_group_columns
reproductive_assurance,self_compatibility,primary,posthoc_functional_triangulation,True,-0.11885376634921838,0.08246374169561987,-1.4412851503624093,0.14950414074714286,0.07475207037357143,769.0,429.0,591.0,499.0,,,,,,
reproductive_assurance,self_compatibility,supplemental_only,posthoc_functional_triangulation,True,-0.04022704934680865,0.08420505708017478,-0.4777272380268916,0.632844355095161,0.3164221775475805,504.0,237.0,374.0,296.0,,,,,,
reproductive_assurance,self_compatibility,no_zero_constant,posthoc_functional_triangulation,True,-0.12222150602418672,0.08447125853498609,-1.4469004978014544,0.14792479370945247,0.07396239685472623,756.0,427.0,587.0,495.0,,,,,,
reproductive_assurance,self_compatibility,within_publication,posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,136.0,8.0,20.0,20.0,['study_key']
reproductive_assurance,self_compatibility,within_publication_site,posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,86.0,7.0,17.0,21.0,"['study_key', 'site_key']"
reproductive_assurance,autonomous_selfing,primary,posthoc_functional_triangulation,True,-0.4449226875391984,0.0801956940803842,-5.5479623019813245,2.8901817090851603e-08,1.4450908545425802e-08,865.0,469.0,640.0,558.0,,,,,,
reproductive_assurance,autonomous_selfing,supplemental_only,posthoc_functional_triangulation,True,-0.30524997432600387,0.06670435410949992,-4.576162656862166,4.735823829729463e-06,2.3679119148647313e-06,556.0,257.0,392.0,327.0,,,,,,
reproductive_assurance,autonomous_selfing,no_zero_constant,posthoc_functional_triangulation,True,-0.4531287385009414,0.08078111679125272,-5.609339861837709,2.030998289413365e-08,1.0154991447066825e-08,848.0,467.0,637.0,553.0,,,,,,
reproductive_assurance,autonomous_selfing,within_publication,posthoc_functional_triangulation,True,-0.3204643463323611,0.13484895959998508,-2.3764688083837213,0.01747923914348954,0.00873961957174477,205.0,30.0,87.0,145.0,,,,,30.0,['study_key']
reproductive_assurance,autonomous_selfing,within_publication_site,posthoc_functional_triangulation,True,-0.18635792070261323,0.10767263969610305,-1.7307825017441083,0.08349056396094647,0.04174528198047323,143.0,25.0,36.0,111.0,,,,,36.0,"['study_key', 'site_key']"
reproductive_assurance,selfing_mating_system,parent_support_gate,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,
floral_architecture,generalized_form,primary,posthoc_functional_triangulation,True,-0.18447582934802761,0.09173915320384751,-2.010873470110587,0.04433882324895506,0.02216941162447753,426.0,246.0,348.0,246.0,,,,,,
floral_architecture,generalized_form,supplemental_only,posthoc_functional_triangulation,True,-0.11362700502902776,0.09753689930126545,-1.1649642939546834,0.24403344634346252,0.12201672317173126,317.0,160.0,252.0,171.0,,,,,,
floral_architecture,generalized_form,no_zero_constant,posthoc_functional_triangulation,True,-0.16611508679919124,0.0980335137224787,-1.6944724359206733,0.09017554519881782,0.04508777259940891,417.0,244.0,345.0,242.0,,,,,,
floral_architecture,generalized_form,within_publication,posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,56.0,10.0,7.0,7.0,['study_key']
floral_architecture,generalized_form,within_publication_site,posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,49.0,9.0,7.0,9.0,"['study_key', 'site_key']"
floral_architecture,actinomorphic_symmetry,primary,posthoc_functional_triangulation,True,-0.3807576952321883,0.08696688592289327,-4.378191666765858,1.1966808922087263e-05,5.983404461043632e-06,937.0,479.0,669.0,582.0,,,,,,
floral_architecture,actinomorphic_symmetry,supplemental_only,posthoc_functional_triangulation,True,-0.1668135062299531,0.08440108668632985,-1.9764378964681186,0.04810520300386441,0.024052601501932204,632.0,265.0,422.0,361.0,,,,,,
floral_architecture,actinomorphic_symmetry,no_zero_constant,posthoc_functional_triangulation,True,-0.3772904815169476,0.08949346678864208,-4.2158438493393,2.4884590986087322e-05,1.2442295493043661e-05,913.0,474.0,663.0,570.0,,,,,,
floral_architecture,actinomorphic_symmetry,within_publication,posthoc_functional_triangulation,True,-0.12173093723676998,0.18403101505938022,-0.6614696832351425,0.5083111506445894,0.2541555753222947,178.0,16.0,35.0,138.0,,,,,16.0,['study_key']
floral_architecture,actinomorphic_symmetry,within_publication_site,posthoc_functional_triangulation,True,-0.09712131067181244,0.20090224607824547,-0.483425708610478,0.628793497730745,0.3143967488653725,163.0,15.0,24.0,129.0,,,,,24.0,"['study_key', 'site_key']"
floral_architecture,shallow_open_tube,parent_support_gate,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,
