family,trait,analysis,inferential_role,evaluable,trait_state_estimate,trait_state_se,trait_state_z,trait_state_two_sided_p,trait_state_one_sided_negative_p,n_cells,n_publications,n_sites,n_species,reason,n,p,n_clusters,n_fixed_effect_groups,fixed_effect_group_columns
reproductive_assurance,self_compatibility,primary,posthoc_functional_triangulation,True,-0.11772719233008366,0.08251487752719121,-1.4267389816010925,0.15365514503284738,0.07682757251642369,769.0,429.0,591.0,499.0,,,,,,
reproductive_assurance,self_compatibility,supplemental_only,posthoc_functional_triangulation,True,-0.03799001243419052,0.08417977697931982,-0.4512961877236074,0.6517760921139341,0.32588804605696703,504.0,237.0,374.0,296.0,,,,,,
reproductive_assurance,self_compatibility,no_zero_constant,posthoc_functional_triangulation,True,-0.12100985641692383,0.08450839992251702,-1.4319269626199738,0.1521647248945236,0.0760823624472618,756.0,427.0,587.0,495.0,,,,,,
reproductive_assurance,self_compatibility,within_publication,posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,136.0,8.0,20.0,20.0,['study_key']
reproductive_assurance,self_compatibility,within_publication_site,posthoc_functional_triangulation,False,,,,,,,,,,design_not_full_rank,86.0,7.0,17.0,21.0,"['study_key', 'site_key']"
reproductive_assurance,autonomous_selfing,primary,posthoc_functional_triangulation,True,-0.44672352555327316,0.08025341156030048,-5.5664116561277375,2.600385207879581e-08,1.3001926039397905e-08,865.0,469.0,640.0,558.0,,,,,,
reproductive_assurance,autonomous_selfing,supplemental_only,posthoc_functional_triangulation,True,-0.30372393676440634,0.06675974437238787,-4.54950718610043,5.3771697807524795e-06,2.6885848903762398e-06,556.0,257.0,392.0,327.0,,,,,,
reproductive_assurance,autonomous_selfing,no_zero_constant,posthoc_functional_triangulation,True,-0.45479848203235906,0.0808287088261758,-5.626694879048666,1.8369523445865986e-08,9.184761722932993e-09,848.0,467.0,637.0,553.0,,,,,,
reproductive_assurance,autonomous_selfing,within_publication,posthoc_functional_triangulation,True,-0.3060340850431666,0.14059018955198932,-2.176781225051249,0.029496894533072086,0.014748447266536043,205.0,30.0,87.0,145.0,,,,,30.0,['study_key']
reproductive_assurance,autonomous_selfing,within_publication_site,posthoc_functional_triangulation,True,-0.18635792070261323,0.10767263969610305,-1.7307825017441083,0.08349056396094647,0.04174528198047323,143.0,25.0,36.0,111.0,,,,,36.0,"['study_key', 'site_key']"
reproductive_assurance,selfing_mating_system,parent_support_gate,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,
floral_architecture,generalized_form,primary,posthoc_functional_triangulation,True,-0.18410403961825744,0.09179854835657193,-2.005522341193724,0.04490723477943283,0.022453617389716414,426.0,246.0,348.0,246.0,,,,,,
floral_architecture,generalized_form,supplemental_only,posthoc_functional_triangulation,True,-0.11354035861327912,0.09829097652192527,-1.1551452903507602,0.24803093419624767,0.12401546709812383,317.0,160.0,252.0,171.0,,,,,,
floral_architecture,generalized_form,no_zero_constant,posthoc_functional_triangulation,True,-0.16577511533838105,0.09803379879809077,-1.6909996080005987,0.09083687751974014,0.04541843875987007,417.0,244.0,345.0,242.0,,,,,,
floral_architecture,generalized_form,within_publication,posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,56.0,10.0,7.0,7.0,['study_key']
floral_architecture,generalized_form,within_publication_site,posthoc_functional_triangulation,False,,,,,,,,,,insufficient_rows_or_clusters,49.0,9.0,7.0,9.0,"['study_key', 'site_key']"
floral_architecture,actinomorphic_symmetry,primary,posthoc_functional_triangulation,True,-0.3811940523382449,0.08699512824306116,-4.381786199259375,1.1771028955817754e-05,5.885514477908877e-06,937.0,479.0,669.0,582.0,,,,,,
floral_architecture,actinomorphic_symmetry,supplemental_only,posthoc_functional_triangulation,True,-0.1690983474302835,0.08451045996109299,-2.000916188459194,0.045401422694176956,0.022700711347088478,632.0,265.0,422.0,361.0,,,,,,
floral_architecture,actinomorphic_symmetry,no_zero_constant,posthoc_functional_triangulation,True,-0.3777647588218431,0.0895211689240026,-4.219837200098893,2.4447879971094935e-05,1.2223939985547468e-05,913.0,474.0,663.0,570.0,,,,,,
floral_architecture,actinomorphic_symmetry,within_publication,posthoc_functional_triangulation,True,-0.12190213888852128,0.18402904486961363,-0.6624070617488133,0.5077103791903966,0.2538551895951983,178.0,16.0,35.0,138.0,,,,,16.0,['study_key']
floral_architecture,actinomorphic_symmetry,within_publication_site,posthoc_functional_triangulation,True,-0.09712131067181244,0.20090224607824547,-0.483425708610478,0.628793497730745,0.3143967488653725,163.0,15.0,24.0,129.0,,,,,24.0,"['study_key', 'site_key']"
floral_architecture,shallow_open_tube,parent_support_gate,posthoc_functional_triangulation,False,,,,,,,,,,parent_support_gate_failed,,,,,
